"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"82422600000305","Nodes","305",21.000000,29.056587,"DDS demands","Known Flow",438463.635466,110649.057319,,0.000000,,,,,-1.279999,,,-1.144598,-1.279999,,"",,,,,"D1 PROFILE",,
"82422600000521","Nodes","521",21.000000,29.120579,"Default Known Flow Node","Known Flow",438458.510464,110642.432317,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600001002","Nodes","1002",21.000000,31.812942,"Default Known Flow Node","Known Flow",438239.385405,110442.182262,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600000093","Nodes","93",21.000000,31.779919,"DDS demands","Known Flow",438235.260404,110443.432263,,0.000000,,,-3.099999,,-14.160000,,,-15.434201,-17.260000,,"",,,"C3  PROFILE",,"D1 PROFILE",,
"82422600000514","Nodes","514",21.000000,39.502197,"Default Known Flow Node","Known Flow",439154.260654,111292.307494,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600000424","Nodes","424",21.000000,39.425269,"DDS demands","Known Flow",439190.385664,111345.182508,,0.000000,,,,,-3.209999,,,-2.870439,-3.209999,,"",,,,,"D1 PROFILE",,
"82422600000497","Nodes","497",21.000000,41.569595,"Default Known Flow Node","Known Flow",437598.260230,110258.182212,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600000485","Nodes","485",21.000000,22.459768,"Default Known Flow Node","Known Flow",439288.510690,110460.932267,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600001001","Nodes","1001",21.000000,21.556458,"Default Known Flow Node","Known Flow",439459.981205,110346.343187,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600000511","Nodes","511",21.000000,21.180623,"DDS demands","Known Flow",439507.885750,110290.557221,,0.000000,-198.009993,,,,,,,-177.064077,-198.009993,,"","C1 PROFILE",,,,,,
"82422600000029","Nodes","29",21.000000,44.301284,"DDS demands","Known Flow",438428.201456,109861.408104,,0.000000,,,,,-18.270000,,,-16.337361,-18.270000,,"",,,,,"D1 PROFILE",,
"82422600000437","Nodes","437",21.000000,43.872172,"Default Known Flow Node","Known Flow",438540.854650,109791.703175,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600003085","Nodes","3085",21.000000,33.986893,"Default Known Flow Node","Known Flow",438318.885426,110339.432234,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600000128","Nodes","128",21.000000,33.699096,"DDS demands","Known Flow",438313.644203,110351.661756,,0.000000,,,,,-8.189999,,,-7.323644,-8.189999,,"",,,,,"D1 PROFILE",,
"82422600003087","Nodes","3087",21.000000,32.035653,"Default Known Flow Node","Known Flow",438373.760441,110416.182255,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600003115","Nodes","3115",21.000000,28.295404,"Default Known Flow Node","Known Flow",438883.481563,110635.776902,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82422600000226","Nodes","226",21.000000,28.379749,"DDS demands","Known Flow",438886.766304,110637.435222,,0.000000,-1.190000,,,,-0.790000,,,-1.770551,-1.980000,,"","C1 PROFILE",,,,"D1 PROFILE",,
