"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82014800000508","Nodes","","0.000000","34.073947","DDS demands","Known Flow","495693.514081","104539.306182","","0.000000","-6.740000","","-4.060000","","","-5.070000","","","","","-14.191238","-15.869999","","","C1 PROFILE","","C3 PROFILE","","","D1 PROFILE","","","",""
"82014800000722","Nodes","722","21.000000","34.091550","Default Known Flow Node","Known Flow","495693.676626","104528.487734","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82014800000376","Nodes","376","21.000000","33.142435","DDS demands","Known Flow","495549.804928","104780.174519","","0.000000","","","","","","-4.050000","","","","","-3.621582","-4.050000","","","","","","","","D1 PROFILE","","","",""
"82014800000700","Nodes","700","21.000000","33.939099","DDS demands","Known Flow","494582.250736","105541.435929","","0.000000","","","","","","-14.640000","","","","","-13.091350","-14.640000","","","","","","","","D1 PROFILE","","","",""
"82014800000701","Nodes","701","21.000000","33.831532","Default Known Flow Node","Known Flow","494755.992608","105471.637947","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82014800000702","Nodes","702","21.000000","33.798216","DDS demands","Known Flow","494803.029358","105437.910980","","0.000000","-5.709999","","","0.000000","","-6.459999","","","","","-10.882631","-12.169999","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","",""
"82014800000311","Nodes","311","21.000000","39.734742","DDS demands","Known Flow","493787.106507","104482.533297","","0.000000","","","","","","-5.719999","","","","","-5.114926","-5.719999","","","","","","","","D1 PROFILE","","","",""
"82014800000543","Nodes","543","21.000000","29.737183","DDS demands","Known Flow","494142.944617","105212.702839","","0.000000","","","","","","-7.360000","","","","","-6.581443","-7.360000","","","","","","","","D1 PROFILE","","","",""
"82014800000544","Nodes","544","21.000000","29.634774","DDS demands","Known Flow","494121.515005","105145.787450","","0.000000","","","","","","-12.159999","","","","","-10.873689","-12.159999","","","","","","","","D1 PROFILE","","","",""
"82014800000674","Nodes","674","21.000000","33.569591","Default Known Flow Node","Known Flow","493853.828646","105244.023536","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82014800002234","Nodes","-11010","21.000000","36.472755","Default Known Flow Node","Known Flow","493858.664037","105243.483452","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
