"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82016600000165","Nodes","165",21.000000,55.512733,"DDS demands","Known Flow",415787.145257,140862.202672,,0.000000,,,,,-20.719998,,,,,,-18.528193,-20.719998,,"",,,,,"D1 PROFILE",,,,,
"82016600009009","Nodes","9009",21.000000,60.155109,"DDS demands","Known Flow",416565.667903,141316.670980,,0.000000,,,,,-0.899999,,,,,,-0.804796,-0.899999,,"",,,,,"D1 PROFILE",,,,,
"82016600009007","Nodes","9007",21.000000,60.155430,"DDS demands","Known Flow",416566.321877,141322.502976,,0.000000,,,,,-3.810000,,,,,,-3.406970,-3.810000,,"",,,,,"D1 PROFILE",,,,,
"82016600009008","Nodes","9008",21.000000,60.104684,"DDS demands","Known Flow",416574.149640,141321.570307,,0.000000,,,,,-11.430000,,,,,,-10.220911,-11.430000,,"",,,,,"D1 PROFILE",,,,,
"82016600009006","Nodes","9006",21.000000,60.728139,"DDS demands","Known Flow",416517.436117,141348.813907,,0.000000,,,,,-2.599999,,,,,,-2.324966,-2.599999,,"",,,,,"D1 PROFILE",,,,,
"82016600000364","Nodes","P00064703, Butterfield Down, 172.07",30.000000,48.371485,"CSEP DDS Matched","Known Flow",416622.702523,141428.161694,,0.000000,,,,,,-172.070000,,,,,-153.868075,-172.070000,,"",,,,,,"DC PROFILE",,,,
"82016600009003","Nodes","9003",21.000000,67.655380,"Default Known Flow Node","Known Flow",416137.331391,141968.976841,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600009002","Nodes","9002",21.000000,67.661659,"Default Known Flow Node","Known Flow",416139.135975,141962.864206,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000065","Nodes","65",21.000000,67.214490,"DDS demands","Known Flow",416045.939366,141949.302836,,0.000000,,,,,-10.790000,,,,,,-9.648611,-10.790000,,"",,,,,"D1 PROFILE",,,,,
"82016600000243","Nodes","243",21.000000,68.113148,"DDS demands","Known Flow",416204.728792,141970.972857,,0.000000,,,,,,,,-4.709999,,,-4.211766,-4.709999,,"",,,,,,,,"I2 PROFILE",,
"82016600000238","Nodes","Logger 1096, Holder Road",21.000000,57.410458,"Val Log Cath","Known Flow",416274.511428,141624.458747,,0.000000,,,,,-4.489999,,,,,,-4.015038,-4.489999,,"",,,,,"D1 PROFILE",,,,,
"82016600000159","Nodes","Logger 1123, Salisbury Road",21.000000,61.439658,"Val Log Cath","Known Flow",415758.815596,141053.049891,,0.000000,-4.570000,,-25.010000,,-11.439999,,,,,,-36.680816,-41.020000,,"","C1 PROFILE",,"C3  PROFILE",,"D1 PROFILE",,,,,
"82016600000002","Nodes","Solstice Rise DG, Constant, Site ID 3514",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",415967.382463,141245.997350,,7150.000080,,,,,,,,,,,752.524036,841.544379,,"",,,,,,,,,,
"82016600000246","Nodes","246",21.000000,69.971955,"Default Known Flow Node","Known Flow",416347.229799,141979.829516,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000006","Nodes","NAFFI DG, Constant, Site ID 3515",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",416349.368448,141979.464844,,7150.000080,,,,,,,,,,,814.637496,911.005579,,"",,,,,,,,,,
"82016600000077","Nodes","77",21.000000,53.292298,"DDS demands","Known Flow",415252.624599,142716.068824,,0.000000,,,,,-27.339999,,,,,,-24.447917,-27.339999,,"",,,,,"D1 PROFILE",,,,,
"82016600000079","Nodes","79",21.000000,53.265405,"DDS demands","Known Flow",415233.879145,143014.191125,,0.000000,-5.320000,,,,-6.090000,,,,,,-10.203026,-11.409999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"82016600000140","Nodes","140",21.000000,69.541771,"DDS demands","Known Flow",416112.377384,141182.444627,,0.000000,,,,,-1.519999,,,,,,-1.359211,-1.519999,,"",,,,,"D1 PROFILE",,,,,
"82016600000137","Nodes","137",21.000000,69.809305,"Default Known Flow Node","Known Flow",416121.658437,141153.726606,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000289","Nodes","P00007036, Bonnewe Rise, 27.23",25.000000,60.006272,"CSEP DDS Matched","Known Flow",416674.688537,141209.093634,,0.000000,-3.359999,,,,-13.430000,-27.229998,,,,,-39.363472,-44.019999,,"","C1 PROFILE",,,,"D1 PROFILE","DC PROFILE",,,,
"82016600000338","Nodes","338",21.000000,58.426358,"DDS demands","Known Flow",415588.587241,141245.381644,,0.000000,,,,,-0.759999,,,,,,-0.679605,-0.759999,,"",,,,,"D1 PROFILE",,,,,
"82016600000339","Nodes","339",21.000000,57.821783,"DDS demands","Known Flow",415484.211213,141245.215644,,0.000000,,,,,-9.100000,,,,,,-8.137383,-9.100000,,"",,,,,"D1 PROFILE",,,,,
"82016600000341","Nodes","341",21.000000,67.738986,"Default Known Flow Node","Known Flow",416533.798499,141155.198620,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000293","Nodes","293",21.000000,68.284958,"DDS demands","Known Flow",416536.491499,141118.745610,,0.000000,,,,,-0.810000,,,,,,-0.724316,-0.810000,,"",,,,,"D1 PROFILE",,,,,
"82016600000342","Nodes","342",21.000000,67.622376,"DDS demands","Known Flow",416456.687417,141163.176791,,0.000000,,,,,-2.450000,,,,,,-2.190834,-2.450000,,"",,,,,"D1 PROFILE",,,,,
"82016600000340","Nodes","340",21.000000,67.421634,"DDS demands","Known Flow",416530.222498,141175.091625,,0.000000,,,,,-0.410000,,,,,,-0.366629,-0.410000,,"",,,,,"D1 PROFILE",,,,,
"82016600000286","Nodes","286",45.000000,66.222701,"DDS demands","Known Flow",416529.431433,141192.039952,,0.000000,,,,,-7.580000,,,,,,-6.778171,-7.580000,,"",,,,,"D1 PROFILE",,,,,
"82016600000287","Nodes","287",21.000000,63.363306,"DDS demands","Known Flow",416513.919719,141259.542488,,0.000000,,,,,-5.400000,,,,,,-4.828776,-5.400000,,"",,,,,"D1 PROFILE",,,,,
"82016600000288","Nodes","288",21.000000,65.669808,"DDS demands","Known Flow",416607.768519,141219.840637,,0.000000,,,,,-19.680000,,,,,,-17.598209,-19.680000,,"",,,,,"D1 PROFILE",,,,,
"82016600000365","Nodes","365",21.000000,61.310497,"Default Known Flow Node","Known Flow",416466.168480,141341.245670,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000373","Nodes","373",21.000000,60.955917,"DDS demands","Known Flow",416369.921135,141276.264100,,0.000000,,,,,-10.399999,,,,,,-9.299865,-10.399999,,"",,,,,"D1 PROFILE",,,,,
"82016600000375","Nodes","375",21.000000,61.039375,"Default Known Flow Node","Known Flow",416407.064464,141275.958652,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000374","Nodes","374",21.000000,60.955917,"Default Known Flow Node","Known Flow",416357.819451,141244.621644,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000371","Nodes","371",21.000000,61.229037,"Default Known Flow Node","Known Flow",416380.421403,141308.050425,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000372","Nodes","372",21.000000,61.145608,"Default Known Flow Node","Known Flow",416359.580050,141322.902789,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000369","Nodes","369",21.000000,61.228503,"Default Known Flow Node","Known Flow",416415.695407,141356.523104,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000370","Nodes","370",21.000000,61.228503,"Default Known Flow Node","Known Flow",416393.536910,141370.745600,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000367","Nodes","367",21.000000,61.304563,"Default Known Flow Node","Known Flow",416461.184690,141347.538630,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000368","Nodes","368",21.000000,61.304563,"Default Known Flow Node","Known Flow",416493.301488,141383.158682,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82016600000362","Nodes","362",21.000000,62.509291,"DDS demands","Known Flow",416504.272399,141291.167113,,0.000000,,,,,-1.049999,,,,,,-0.938928,-1.049999,,"",,,,,"D1 PROFILE",,,,,
