"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"82110200015089","Nodes","15089, 20629/01, 45-47 Millbrook Rd East, 16.71",22.999998,33.302239,"CSEP DDS Matched","Known Flow",440938.062500,112330.046875,,0.000000,,,,,,,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200096065","Nodes","96065",21.000000,33.319703,"Default Known Flow Node","Known Flow",440963.000000,112319.101562,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001487","Nodes","1487",21.000000,38.438202,"Default Known Flow Node","Known Flow",441183.500000,113660.750000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200011660","Nodes","11660, S205017/808590, Atherley School, 50",26.000000,38.438202,"CSEP DDS Matched","Known Flow",441178.906250,113658.656250,,0.000000,,,,,,,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200096066","Nodes","96066",21.000000,38.438202,"Default Known Flow Node","Known Flow",441195.093750,113659.398437,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200096067","Nodes","96067",21.000000,27.952324,"Default Known Flow Node","Known Flow",440578.531250,113833.453125,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200011550","Nodes","11550, 24069/01, Dev @ Withedwood Avenue, 8.95",24.000000,27.952324,"CSEP DDS Matched","Known Flow",440585.031250,113825.851562,,0.000000,,,,,,,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200096068","Nodes","96068",21.000000,30.624552,"Default Known Flow Node","Known Flow",437124.562500,113673.273437,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200011165","Nodes","11165, 39130/01, 45 Old Redbridge Road, 8.86",24.000000,30.571826,"CSEP DDS Matched","Known Flow",437122.156250,113661.062500,,0.000000,,,,,,,,-8.859999,,,,,,,,-7.922770,-8.859999,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200001482","Nodes","1482",21.000000,30.848870,"Default Known Flow Node","Known Flow",441391.062500,113260.812500,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200002866","Nodes","2866, 20739/01, 66 Northlands Road, 21.32",22.999998,30.848490,"CSEP DDS Matched","Known Flow",441386.781250,113263.171875,,0.000000,,,,,,,-3.199999,0.000000,,,,,,,,-2.861497,-3.199999,,,"",,,,,,,"D1 PROFILE","DC PROFILE",,,,,,,,
"82110200096020","Nodes","96020",21.000000,30.755687,"Default Known Flow Node","Known Flow",441401.875000,113280.500000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200002864","Nodes","2864",21.000000,31.007200,"DDS demands","Known Flow",441368.593750,113219.187500,,0.000000,,,,-6.059999,,,-5.229999,,,,,,,,,-10.095719,-11.289999,,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,,
"82110200161883","Nodes","161883",21.000000,31.803845,"Default Known Flow Node","Known Flow",441374.875000,113060.132812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200002460","Nodes","2460, 39131/01, Overdell Court, Archers Road, 20.12",26.000000,31.722689,"CSEP DDS Matched","Known Flow",441370.500000,113058.453125,,0.000000,,,,,,,,-20.120000,,,,,,,,-17.991664,-20.120000,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200001130","Nodes","1130, 39308/01, Bridgewater court, 11.72",22.999998,31.952800,"CSEP DDS Matched","Known Flow",440557.031250,112480.609375,,0.000000,,,,,,,,-11.719999,,,,,,,,-10.480234,-11.719999,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200096021","Nodes","96021",21.000000,32.289450,"Default Known Flow Node","Known Flow",440566.312500,112529.046875,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200011049","Nodes","11049, 29587/01, South Mill Rd/King Georges Rd, 40.15",26.000000,31.939532,"CSEP DDS Matched","Known Flow",439165.781250,113076.609375,,0.000000,,,,,,,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200001471","Nodes","1471",21.000000,31.939532,"Default Known Flow Node","Known Flow",439173.718750,113086.656250,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200096069","Nodes","96069",21.000000,31.936479,"Default Known Flow Node","Known Flow",439168.281250,113090.562500,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200014182","Nodes","14182",21.000000,31.989081,"Default Known Flow Node","Known Flow",439185.312500,113078.296875,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001128","Nodes","1128, 41125/01, Hulse Road, 25.85",22.999998,25.965218,"CSEP DDS Matched","Known Flow",441823.187500,113446.921875,,0.000000,,,,,,,,-26.399998,,,,,,,,-23.607350,-26.399998,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200001470","Nodes","1470",21.000000,25.983265,"Default Known Flow Node","Known Flow",441827.937500,113449.132812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200096022","Nodes","96022",21.000000,25.984025,"Default Known Flow Node","Known Flow",441824.093750,113458.132812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200002326","Nodes","Logger 2085, Hulse Road",21.000000,26.013721,"Val Log Cath","Known Flow",441836.500000,113430.000000,,0.000000,,,-6.530000,,,,-12.749999,,,,,,,,,-17.240520,-19.279999,,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,,,,,,,
"82110200002325","Nodes","2325",21.000000,26.719789,"Default Known Flow Node","Known Flow",441856.375000,113382.000000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
