"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"82822900000041","Nodes","41",21.000000,31.675716,"DDS demands","Known Flow",416760.254560,140865.315541,,0.000000,-4.169999,,-3.728888,-4.169999,,"","D1 PROFILE",
"82822900000044","Nodes","44",21.000000,31.564396,"DDS demands","Known Flow",416853.129585,140855.065538,,0.000000,-3.190000,,-2.852555,-3.190000,,"","D1 PROFILE",
"82822900000201","Nodes","201",21.000000,69.757196,"Default Known Flow Node","Known Flow",417019.879631,141422.565692,,0.000000,,,0.000000,0.000000,,"",,
"82822900000200","Nodes","200",21.000000,69.962544,"DDS demands","Known Flow",416856.629586,141418.440691,,0.000000,-2.369999,,-2.119296,-2.369999,,"","D1 PROFILE",
"82822900000002","Nodes","2, BEVERLY HILLS MOBILE HOME VILLAGE DG",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",416843.879583,141418.565691,,359.999986,,,21.926219,24.520000,,"",,
"82822900000202","Nodes","202",21.000000,69.799081,"Default Known Flow Node","Known Flow",416875.754592,141401.190687,,0.000000,,,0.000000,0.000000,,"",,
"82822900000203","Nodes","203",21.000000,69.422518,"DDS demands","Known Flow",417065.379643,141395.190685,,0.000000,-4.139999,,-3.702062,-4.139999,,"","D1 PROFILE",
"82822900000204","Nodes","204",21.000000,69.245699,"Default Known Flow Node","Known Flow",416878.879592,141361.565676,,0.000000,,,0.000000,0.000000,,"",,
"82822900000206","Nodes","206",21.000000,69.327957,"Default Known Flow Node","Known Flow",416867.629589,141358.690675,,0.000000,,,0.000000,0.000000,,"",,
"82822900000205","Nodes","205, The Office Beverley Hills PArk Porton Road, Amesbury NA:12623",21.000000,66.527592,"DDS demands","Known Flow",417064.379643,141376.440680,,0.000000,-10.949999,-7.060000,-16.104863,-18.010000,,"","D1 PROFILE","PL-AF PROFILE"
"82822900000097","Nodes","97",21.000000,35.336074,"DDS demands","Known Flow",416978.004619,140872.190543,,0.000000,-1.659999,,-1.484401,-1.659999,,"","D1 PROFILE",
"82822900000098","Nodes","98",21.000000,35.335778,"DDS demands","Known Flow",416979.379620,140868.440542,,0.000000,-1.029999,,-0.921044,-1.029999,,"","D1 PROFILE",
"82822900000095","Nodes","95",21.000000,35.218256,"DDS demands","Known Flow",417003.504626,140878.690544,,0.000000,-2.850000,,-2.548521,-2.850000,,"","D1 PROFILE",
"82822900000096","Nodes","96",21.000000,35.248650,"Default Known Flow Node","Known Flow",416974.004618,140889.565547,,0.000000,,,0.000000,0.000000,,"",,
"82822904904546","Nodes","-4904546",21.000000,35.337360,"Default Known Flow Node","Known Flow",417004.377438,140874.326487,,0.000000,,,0.000000,0.000000,,"",,
"82822900000037","Nodes","37",21.000000,35.330333,"DDS demands","Known Flow",416989.191038,140930.430119,,0.000000,-8.279999,,-7.404124,-8.279999,,"","D1 PROFILE",
"82822900000094","Nodes","94",21.000000,35.370479,"Default Known Flow Node","Known Flow",416886.504595,140987.315574,,0.000000,,,0.000000,0.000000,,"",,
