"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"82012600009212","Nodes","-789",21.000000,24.528291,"DDS demands","Known Flow",433472.337764,110395.690592,,0.000000,,,-11.350000,,,,-10.149373,-11.350000,,"",,,"C3  PROFILE",,,
"82012600000125","Nodes","125",21.000000,28.387962,"DDS demands","Known Flow",434150.670292,110756.757348,,0.000000,,,0.000000,,-9.430000,,-8.432475,-9.430000,,"",,,"C3  PROFILE",,"D1 PROFILE",
"82012600000019","Nodes","19",21.000000,28.379163,"DDS demands","Known Flow",434149.466016,110758.685038,,0.000000,,,,,-11.439999,,-10.229852,-11.439999,,"",,,,,"D1 PROFILE",
"82012600000030","Nodes","30",21.000000,27.785341,"DDS demands","Known Flow",434058.291317,110904.090888,,0.000000,,,,,-16.819999,,-15.040745,-16.819999,,"",,,,,"D1 PROFILE",
"82012600000060","Nodes","60",21.000000,26.375620,"DDS demands","Known Flow",433877.967144,110717.094898,,0.000000,,,,,-15.670000,,-14.012395,-15.670000,,"",,,,,"D1 PROFILE",
"82012600000010","Nodes","10",21.000000,28.155599,"Default Known Flow Node","Known Flow",433938.443676,110624.075110,,0.000000,,,0.000000,,,,0.000000,0.000000,,"",,,"C3  PROFILE",,,
"82012600000128","Nodes","128",21.000000,28.202465,"DDS demands","Known Flow",433939.905235,110621.553311,,0.000000,,,,,-12.819999,,-11.463872,-12.819999,,"",,,,,"D1 PROFILE",
"82012600000126","Nodes","126",21.000000,35.957921,"DDS demands","Known Flow",434562.668490,111036.124624,,0.000000,,,,,-3.700000,,-3.308606,-3.700000,,"",,,,,"D1 PROFILE",
"82012600000129","Nodes","129",21.000000,35.957921,"Default Known Flow Node","Known Flow",434563.424043,111036.679162,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82012600000046","Nodes","46",21.000000,24.410073,"DDS demands","Known Flow",434296.769132,111583.249973,,0.000000,,,,,-19.370000,,-17.321001,-19.370000,,"",,,,,"D1 PROFILE",
"82012600000059","Nodes","59",21.000000,23.492476,"DDS demands","Known Flow",434370.690193,111708.727332,,0.000000,,,,,-22.419998,,-20.048364,-22.419998,,"",,,,,"D1 PROFILE",
"82012600009220","Nodes","-931",21.000000,27.583046,"Default Known Flow Node","Known Flow",434007.777253,110983.246410,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82012600000028","Nodes","28",21.000000,27.389862,"DDS demands","Known Flow",433957.892240,110943.955399,,0.000000,,,,,-4.070000,,-3.639466,-4.070000,,"",,,,,"D1 PROFILE",
"82012600000029","Nodes","29",21.000000,27.410030,"DDS demands","Known Flow",433969.399306,110953.018728,,0.000000,,,,,-0.649999,,-0.581241,-0.649999,,"",,,,,"D1 PROFILE",
"82012600000116","Nodes","116",21.000000,29.272010,"Default Known Flow Node","Known Flow",434222.644813,110798.541030,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82012600000120","Nodes","120",21.000000,28.790314,"Default Known Flow Node","Known Flow",434183.588795,110774.455188,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
