"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82018600000054","Nodes","54",21.000000,39.571998,"DDS demands","Known Flow",424890.000000,123878.632812,,0.000000,,,,-1.679999,,,,-1.502286,-1.679999,,"",,,,"D1 PROFILE",,,
"82018600000046","Nodes","46",21.000000,39.036945,"DDS demands","Known Flow",424974.125000,123938.632812,,0.000000,,,,-6.849999,,,,-6.125392,-6.849999,,"",,,,"D1 PROFILE",,,
"82018600000058","Nodes","58",21.000000,39.376217,"DDS demands","Known Flow",424904.125000,123963.750000,,0.000000,,,,-6.919999,,,,-6.187987,-6.919999,,"",,,,"D1 PROFILE",,,
"82018600000047","Nodes","47",21.000000,39.067344,"DDS demands","Known Flow",424973.375000,123982.250000,,0.000000,,,,-3.569999,,,,-3.192357,-3.569999,,"",,,,"D1 PROFILE",,,
"82018600000048","Nodes","48",21.000000,38.122618,"DDS demands","Known Flow",425001.875000,123929.382812,,0.000000,,,,-4.570000,,,,-4.086576,-4.570000,,"",,,,"D1 PROFILE",,,
"82018600000038","Nodes","38",21.000000,54.765896,"DDS demands","Known Flow",425037.625000,123843.000000,,0.000000,,,,-0.959999,,,,-0.858449,-0.959999,,"",,,,"D1 PROFILE",,,
"82018600000041","Nodes","41",21.000000,49.349955,"DDS demands","Known Flow",425352.750000,123736.250000,,0.000000,,,,-8.890000,,,,-7.949597,-8.890000,,"",,,,"D1 PROFILE",,,
"82018600000042","Nodes","42",21.000000,49.426973,"Default Known Flow Node","Known Flow",425432.000000,123673.500000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000050","Nodes","50",21.000000,37.816400,"DDS demands","Known Flow",425033.375000,123921.750000,,0.000000,,,,-4.880000,,,,-4.363783,-4.880000,,"",,,,"D1 PROFILE",,,
"82018600000049","Nodes","49",21.000000,38.165707,"DDS demands","Known Flow",424996.125000,123898.882812,,0.000000,,,,-3.720000,,,,-3.326490,-3.720000,,"",,,,"D1 PROFILE",,,
"82018600000052","Nodes","52",21.000000,37.679135,"DDS demands","Known Flow",425089.750000,123920.000000,,0.000000,,,,-5.070000,,,,-4.533684,-5.070000,,"",,,,"D1 PROFILE",,,
"82018600000051","Nodes","51",21.000000,37.644923,"DDS demands","Known Flow",425047.875000,123964.132812,,0.000000,,,,-5.099999,,,,-4.560511,-5.099999,,"",,,,"D1 PROFILE",,,
"82018600000036","Nodes","36",21.000000,54.841550,"Default Known Flow Node","Known Flow",424686.750000,124056.500000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000066","Nodes",,21.000000,59.272253,"Default Known Flow Node","Known Flow",424611.531338,123237.913273,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000067","Nodes",,21.000000,59.272253,"Default Known Flow Node","Known Flow",424637.567516,123254.863921,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000010","Nodes",,21.000000,64.657418,"Default Known Flow Node","Known Flow",424460.834644,123090.038207,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000002","Nodes",,21.000000,16.972711,"Default Known Flow Node","Known Flow",424086.467178,123459.562444,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000006","Nodes",,21.000000,60.679218,"Default Known Flow Node","Known Flow",424594.543065,123314.463798,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000068","Nodes",,21.000000,39.380931,"Default Known Flow Node","Known Flow",424904.853568,123962.230768,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000004","Nodes",,21.000000,16.972711,"Default Known Flow Node","Known Flow",424063.798692,123496.165505,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000003","Nodes",,21.000000,16.972711,"Default Known Flow Node","Known Flow",424062.780002,123497.224144,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000005","Nodes",,21.000000,16.972711,"Default Known Flow Node","Known Flow",424050.934850,123500.756908,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000007","Nodes",,21.000000,60.712728,"Default Known Flow Node","Known Flow",424594.947897,123311.598976,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000008","Nodes",,21.000000,60.679218,"Default Known Flow Node","Known Flow",424633.850330,123319.715275,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000009","Nodes",,21.000000,60.712728,"Default Known Flow Node","Known Flow",424712.771279,123317.299223,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000030","Nodes",,21.000000,64.657418,"Default Known Flow Node","Known Flow",424422.275957,123055.476146,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
