"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"82120900000045","Nodes","45","21.000000","22.679575","DDS demands","Known Flow","372380.367484","86353.050708","","0.000000","","","","","-9.109999","","","-8.146324","-9.109999","","","","","","","D1 PROFILE","",""
"82120900000046","Nodes","46","21.000000","21.682372","DDS demands","Known Flow","372214.242439","86330.800701","","0.000000","","","","","-9.949999","","","-8.897467","-9.949999","","","","","","","D1 PROFILE","",""
"82120900000025","Nodes","25","21.000000","27.323879","DDS demands","Known Flow","372987.492649","86553.050762","","0.000000","","","","-6.000000","-10.800000","","","-15.022861","-16.800000","","","","","","C4 PROFILE","D1 PROFILE","",""
"82120900002121","Nodes","-2121","21.000000","27.323879","Default Known Flow Node","Known Flow","372995.492651","86563.550765","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900002955","Nodes","-2955","21.000000","27.320268","Default Known Flow Node","Known Flow","372996.742652","86552.675762","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900311014","Nodes","-311014","21.000000","27.302560","Default Known Flow Node","Known Flow","372953.992640","86567.425766","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000031","Nodes","31","21.000000","25.899333","DDS demands","Known Flow","373123.492686","86527.050755","","0.000000","","","","","-9.340000","","","-8.351995","-9.340000","","","","","","","D1 PROFILE","",""
"82120900000103","Nodes","103","21.000000","25.899333","Default Known Flow Node","Known Flow","373080.617674","86557.550763","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000083","Nodes","83","21.000000","33.616890","DDS demands","Known Flow","373056.867668","86428.550728","","0.000000","","","","","-4.610000","","","-4.122344","-4.610000","","","","","","","D1 PROFILE","",""
"82120900000078","Nodes","78","21.000000","29.979543","DDS demands","Known Flow","372957.367641","86458.925736","","0.000000","","","","","-3.170000","","","-2.834670","-3.170000","","","","","","","D1 PROFILE","",""
"82120900000020","Nodes","20","21.000000","28.300473","Default Known Flow Node","Known Flow","372874.617618","86496.300747","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000079","Nodes","79","21.000000","29.961904","DDS demands","Known Flow","372959.367641","86467.425739","","0.000000","","","","","-0.889999","","","-0.795853","-0.889999","","","","","","","D1 PROFILE","",""
"82120900000080","Nodes","80","21.000000","29.902999","DDS demands","Known Flow","372936.242635","86473.800740","","0.000000","","","","","-4.800000","","","-4.292246","-4.800000","","","","","","","D1 PROFILE","",""
"82120900000072","Nodes","72","21.000000","33.977589","DDS demands","Known Flow","372558.117532","86741.425813","","0.000000","","","","","-4.060000","","","-3.630524","-4.060000","","","","","","","D1 PROFILE","",""
"82120900000073","Nodes","73","21.000000","33.968275","DDS demands","Known Flow","372527.117524","86764.925820","","0.000000","","","","","-1.840000","","","-1.645360","-1.840000","","","","","","","D1 PROFILE","",""
"82120900000001","Nodes","1, BRAMBLE DROVE DG, Site ID 3962","21.000000","33.999999","Default Known Pressure Node","Known Pressure","372560.617533","86744.050814","","419.999989","","","","","","","","196.647765","219.910338","","","","","","","","",""
"82120900000980","Nodes","-980","21.000000","33.903058","Default Known Flow Node","Known Flow","372548.970642","86732.699932","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000602","Nodes","-602","21.000000","26.659141","Default Known Flow Node","Known Flow","373199.492707","86435.425730","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000604","Nodes","-604","21.000000","26.702927","Default Known Flow Node","Known Flow","373180.742702","86412.550724","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000603","Nodes","-603","21.000000","26.659141","Default Known Flow Node","Known Flow","373214.742711","86428.300728","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000601","Nodes","-601","21.000000","26.659141","Default Known Flow Node","Known Flow","373201.992707","86439.800731","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900002890","Nodes","-2890","21.000000","26.659141","Default Known Flow Node","Known Flow","373136.367690","86460.300737","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000104","Nodes","104","21.000000","26.702927","Default Known Flow Node","Known Flow","373282.367729","86409.425723","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000081","Nodes","81","21.000000","26.133721","DDS demands","Known Flow","373151.117694","86496.925747","","0.000000","","","","","-2.949999","","","-2.637942","-2.949999","","","","","","","D1 PROFILE","",""
"82120900000011","Nodes","11","21.000000","31.859832","DDS demands","Known Flow","372605.242545","86634.550784","","0.000000","","","","","-5.409999","","","-4.837718","-5.409999","","","","","","","D1 PROFILE","",""
"82120900000012","Nodes","12","21.000000","31.816552","DDS demands","Known Flow","372613.190745","86620.012156","","0.000000","","","","","-1.999999","","","-1.788435","-1.999999","","","","","","","D1 PROFILE","",""
"82120900000010","Nodes","10","21.000000","31.861283","DDS demands","Known Flow","372574.400980","86610.992570","","0.000000","","","","","-2.440000","","","-2.181891","-2.440000","","","","","","","D1 PROFILE","",""
"82120900000039","Nodes","39","21.000000","28.224862","DDS demands","Known Flow","372868.367617","86543.800759","","0.000000","","","","","-4.600000","","","-4.113402","-4.600000","","","","","","","D1 PROFILE","",""
"82120900000037","Nodes","37","21.000000","28.217553","DDS demands","Known Flow","372882.610226","86515.883301","","0.000000","","","","","-3.280000","","","-2.933034","-3.280000","","","","","","","D1 PROFILE","",""
"82120900000019","Nodes","19","21.000000","28.254425","Default Known Flow Node","Known Flow","372879.242620","86500.550748","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000042","Nodes","42","21.000000","28.561654","DDS demands","Known Flow","372735.617581","86402.800721","","0.000000","","-22.729998","","","","","","-20.325572","-22.729998","","","","C2 PROFILE","","","","",""
"82120900000043","Nodes","43","21.000000","25.268195","DDS demands","Known Flow","372596.038914","86310.365368","","0.000000","","","","","-9.600000","","","-8.584492","-9.600000","","","","","","","D1 PROFILE","",""
"82120900000076","Nodes","76","21.000000","23.863297","DDS demands","Known Flow","372521.742522","86260.550682","","0.000000","","","-3.859999","","-3.780000","","","-6.831824","-7.639999","","","","","C3 PROFILE","","D1 PROFILE","",""
"82120900000044","Nodes","44","21.000000","22.948002","DDS demands","Known Flow","372438.367500","86305.800695","","0.000000","","","","","-3.910000","","","-3.496392","-3.910000","","","","","","","D1 PROFILE","",""
"82120900000047","Nodes","47","21.000000","22.477860","DDS demands","Known Flow","372263.870658","86228.776635","","0.000000","","","","","-4.320000","","","-3.863021","-4.320000","","","","","","","D1 PROFILE","",""
"82120900000048","Nodes","48","21.000000","22.500418","DDS demands","Known Flow","372024.617387","86314.550697","","0.000000","","","","","-3.970000","","","-3.550045","-3.970000","","","","","","","D1 PROFILE","",""
"82120900000089","Nodes","89","21.000000","28.550301","DDS demands","Known Flow","373350.242748","87852.051115","","0.000000","","","","-3.800000","-12.189999","","","-14.298544","-15.989999","","","","","","C4 PROFILE","D1 PROFILE","",""
"82120900000097","Nodes","97","21.000000","29.325498","DDS demands","Known Flow","373330.407563","87806.842065","","0.000000","","","","","-1.779999","","","-1.591707","-1.779999","","","","","","","D1 PROFILE","",""
"82120900000088","Nodes","88","21.000000","31.676573","DDS demands","Known Flow","373313.742738","87644.551059","","0.000000","","","","","-11.799999","","","-10.551771","-11.799999","","","","","","","D1 PROFILE","",""
"82120900000093","Nodes","93","21.000000","42.775017","DDS demands","Known Flow","373396.823028","87310.458833","","0.000000","","","","","-5.349999","","","-4.784065","-5.349999","","","","","","","D1 PROFILE","",""
"82120900000095","Nodes","95","21.000000","42.588844","DDS demands","Known Flow","373404.166227","87326.746207","","0.000000","","","","","-14.999999","","","-13.413268","-14.999999","","","","","","","D1 PROFILE","",""
"82120900002084","Nodes","-2084","21.000000","42.546113","Default Known Flow Node","Known Flow","373434.367771","87344.425977","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82120900000003","Nodes","3, KNIGHTON LANE / WATERCRESS LANE DG, no Sire ID","21.000000","34.999999","Default Known Pressure Node","Known Pressure","373155.617695","87033.550893","","419.999989","","","","","","","","40.347110","45.119999","","","","","","","","",""
"82120900000057","Nodes","57","21.000000","34.655455","DDS demands","Known Flow","373158.269769","87037.455537","","0.000000","","","","","-3.499999","","","-3.129762","-3.499999","","","","","","","D1 PROFILE","",""
"82120900000068","Nodes","68","21.000000","31.512033","DDS demands","Known Flow","373207.992709","87024.425890","","0.000000","","","","","-12.729999","","","-11.383393","-12.729999","","","","","","","D1 PROFILE","",""
"82120900000032","Nodes","32","21.000000","33.876232","DDS demands","Known Flow","372548.150073","86731.847466","","0.000000","","","","","-6.569999","","","-5.875011","-6.569999","","","","","","","D1 PROFILE","",""
