"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"82019800000022","Nodes","22","21.000000","46.893000","DDS demands","Known Flow","364766.814261","88960.194400","","0.000000","","","-2.039999","","","-1.824204","-2.039999","","","","","D1 PROFILE","",""
"82019800000024","Nodes","24","21.000000","45.809436","DDS demands","Known Flow","364854.180436","88928.638408","","0.000000","","","-3.160000","","","-2.825728","-3.160000","","","","","D1 PROFILE","",""
"82019800000026","Nodes","26","21.000000","45.082148","DDS demands","Known Flow","364904.473450","88898.857400","","0.000000","","","-6.639999","","","-5.937606","-6.639999","","","","","D1 PROFILE","",""
"82019800000032","Nodes","32","21.000000","41.103731","DDS demands","Known Flow","365063.667493","88825.164380","","0.000000","","","-13.770000","","","-12.313380","-13.770000","","","","","D1 PROFILE","",""
"82019800000040","Nodes","40","21.000000","40.944805","DDS demands","Known Flow","365065.062248","88824.688309","","0.000000","","","-6.329999","","","-5.660399","-6.329999","","","","","D1 PROFILE","",""
"82019800000001","Nodes","Martinstown, ID 3136","21.000000","49.999998","Default Known Pressure Node","Known Pressure","364470.402332","89088.099452","","2099.999985","","","","","","165.779054","185.390000","","","","","","",""
"82019800000033","Nodes","33","21.000000","39.613304","DDS demands","Known Flow","365293.193555","88628.856327","","0.000000","","","-5.530000","","","-4.945025","-5.530000","","","","","D1 PROFILE","",""
"82019800000044","Nodes","44","21.000000","39.641060","DDS demands","Known Flow","365247.051737","88775.612784","","0.000000","","","-4.969999","","","-4.444263","-4.969999","","","","","D1 PROFILE","",""
"82019800000039","Nodes","39","21.000000","43.899378","DDS demands","Known Flow","364891.954007","88822.263994","","0.000000","","","-13.970000","","","-12.492224","-13.970000","","","","","D1 PROFILE","",""
"82019800001014","Nodes","1014","21.000000","45.863481","DDS demands","Known Flow","362262.195041","90238.593513","","0.000000","","","-2.869999","","","-2.566405","-2.869999","","","","","D1 PROFILE","",""
