"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82002300000348","Nodes","348","21.000000","26.811564","DDS demands","Known Flow","478152.771266","127731.561967","","0.000000","","","","-4.889999","","","","","","","-4.372725","-4.889999","","","","","","D1 PROFILE","","","","","",""
"82002300000002","Nodes","2, ""LISS FOREST - 2/ PL01D, 1021'","21.000000","49.999998","Default Known Pressure Node","Known Pressure","478146.330853","129249.120951","","4749.999932","","","","","","","","","","","714.236013","798.727067","","","","","","","","","","","",""
"82002300000564","Nodes","564","21.000000","23.413483","Default Known Flow Node","Known Flow","478445.146345","127646.311944","","0.000000","","","","-11.850000","","","","","","","-10.596483","-11.850000","","","","","","D1 PROFILE","","","","","",""
"82002300000592","Nodes","592","21.000000","23.404278","Default Known Flow Node","Known Flow","478447.237330","127641.048429","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000566","Nodes","566","21.000000","21.986009","DDS demands","Known Flow","478539.646371","127567.561922","","0.000000","","","","-12.789999","","","","","","","-11.437046","-12.789999","","","","","","D1 PROFILE","","","","","",""
"82002300000324","Nodes","324","21.000000","28.990784","DDS demands","Known Flow","477546.351991","127209.125461","","0.000000","","","","-12.960000","","","","","","","-11.589064","-12.960000","","","","","","D1 PROFILE","","","","","",""
"82002300000073","Nodes","73","21.000000","30.171243","Default Known Flow Node","Known Flow","477692.021140","127281.311844","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000326","Nodes","326","21.000000","28.212784","DDS demands","Known Flow","477189.896004","126800.811714","","0.000000","","","","-9.279999","","","","","","","-8.298341","-9.279999","","","","","","D1 PROFILE","","","","","",""
"82002300000325","Nodes","325","21.000000","28.389127","DDS demands","Known Flow","477346.262320","127014.119075","","0.000000","","","","-25.489998","","","","","","","-22.793613","-25.489998","","","","","","D1 PROFILE","","","","","",""
"820023-42823","Nodes","-42823","21.000000","34.079957","Default Known Flow Node","Known Flow","477304.896035","128282.812117","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
