"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82009600000193","Nodes","193",21.000000,36.861206,"DDS demands","Known Flow",450718.768794,94429.179180,,0.000000,,,,,,-2.559999,,,,-2.289197,-2.559999,,"",,,,,,"D1 PROFILE",,,
"82009600000194","Nodes","194",21.000000,37.073212,"DDS demands","Known Flow",450788.388820,94434.427907,,0.000000,,,,,,-5.639999,,,,-5.043388,-5.639999,,"",,,,,,"D1 PROFILE",,,
"82009600000132","Nodes","132",21.000000,32.268708,"Default Known Flow Node","Known Flow",450866.515354,94844.838522,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82009600000201","Nodes","201",21.000000,33.783964,"Default Known Flow Node","Known Flow",450866.647232,94845.989069,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82009600000057","Nodes","57",21.000000,31.991845,"DDS demands","Known Flow",450656.263784,95484.678192,,0.000000,,,,,,-17.490000,,,,-15.639871,-17.490000,,"",,,,,,"D1 PROFILE",,,
"82009600000155","Nodes","155",21.000000,29.641573,"DDS demands","Known Flow",450631.659576,95668.825265,,0.000000,,,,,,-14.129999,,,,-12.635299,-14.129999,,"",,,,,,"D1 PROFILE",,,
"82009600000154","Nodes","154",21.000000,28.321150,"DDS demands","Known Flow",450612.388772,95761.553268,,0.000000,,,,,,-8.069999,,,,-7.216338,-8.069999,,"",,,,,,"D1 PROFILE",,,
"82009600009566","Nodes","-94481",21.000000,29.554958,"Default Known Flow Node","Known Flow",450616.263773,95712.178254,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82009600000209","Nodes","209,",21.000000,25.525559,"Default Known Flow Node","Known Flow",450168.138651,95655.053239,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82009600009573","Nodes","-95629",21.000000,25.525559,"Default Known Flow Node","Known Flow",450186.138656,95705.428252,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82009600000020","Nodes","20",21.000000,25.525559,"DDS demands","Known Flow",450188.638656,95713.053254,,0.000000,,,,-2.279999,,-1.869999,,,,-3.711004,-4.149999,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,
"82009600009563","Nodes","-51221",21.000000,30.118124,"Default Known Flow Node","Known Flow",451078.888899,94763.802996,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82009600000127","Nodes","127",21.000000,30.118124,"Default Known Flow Node","Known Flow",451165.763922,94741.177990,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
