"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82006700014627","Nodes","-30464",21.000000,44.251048,"Default Known Flow Node","Known Flow",466678.577959,106652.430845,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82006700002820","Nodes","2820",21.000000,32.840631,"DDS demands","Known Flow",467544.768379,107224.181387,,0.000000,,-45.930002,,,,,-9.050000,,,,,,,,,-49.164102,-54.980001,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,,,,
"82006700001318","Nodes",,21.000000,32.801133,"DDS demands","Known Flow",467545.245360,107303.737081,,0.000000,,,,,,,,-203.820000,,,,,,,,-182.259491,-203.820000,,"",,,,,,,,"",,,,,,,
"82006700001269","Nodes","1269",21.000000,32.838742,"DDS demands","Known Flow",467543.546379,107317.455412,,0.000000,,,,,,,-8.140000,,,,,,,,,-7.278933,-8.140000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82006700001129","Nodes","1129",21.000000,40.795306,"Default Known Flow Node","Known Flow",469602.954093,112965.908891,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82006700001130","Nodes","1130",21.000000,40.779936,"Default Known Flow Node","Known Flow",469592.768936,112965.432949,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82006700000361","Nodes","P00039739, Catherington Lane CP2, 4.8",22.999998,40.729458,"CSEP DDS Matched","Known Flow",469591.393936,112965.432949,,0.000000,,,,,,,,-4.800000,,,,,,,,-4.292246,-4.800000,,"",,,,,,,,"DC PROFILE",,,,,,,
"82006700000366","Nodes","366",21.000000,40.452471,"DDS demands","Known Flow",469604.643940,112835.432914,,0.000000,,,,,,,-17.280001,,,,,,,,,-15.452086,-17.280001,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82006700000443","Nodes","443",21.000000,40.838243,"DDS demands","Known Flow",469602.643939,112981.307953,,0.000000,,,,,,,-23.200001,,,,,,,,,-20.745856,-23.200001,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82006700001536","Nodes","1536",21.000000,42.162991,"Default Known Flow Node","Known Flow",469558.168200,110605.793453,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
