"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82013600000476","Nodes","476",21.000000,29.552693,"Default Known Flow Node","Known Flow",411067.022011,104250.452578,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000479","Nodes","479",21.000000,29.405019,"Default Known Flow Node","Known Flow",411136.300977,104378.583354,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000489","Nodes","489",21.000000,29.500939,"Default Known Flow Node","Known Flow",411107.494022,104356.021606,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000478","Nodes","478",21.000000,29.396342,"DDS demands","Known Flow",411130.359028,104386.857615,,0.000000,,,,,-3.499999,,,,-3.129762,-3.499999,,"",,,,,"D1 PROFILE",,,
"82013600000480","Nodes","480",21.000000,27.335077,"DDS demands","Known Flow",411210.667050,104670.929692,,0.000000,,,,,-4.309999,,,,-3.854079,-4.309999,,"",,,,,"D1 PROFILE",,,
"82013600000482","Nodes","482",21.000000,24.872536,"Default Known Flow Node","Known Flow",410996.350992,104520.205651,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000468","Nodes","468",21.000000,29.419454,"Default Known Flow Node","Known Flow",411048.473006,104435.593628,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000496","Nodes","496",21.000000,29.462788,"Default Known Flow Node","Known Flow",411050.906007,104418.457623,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000490","Nodes","490",21.000000,29.397277,"Default Known Flow Node","Known Flow",411063.022010,104122.938543,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000492","Nodes","492",21.000000,29.820520,"Default Known Flow Node","Known Flow",411262.382064,104275.716584,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
