"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82007200001522","Nodes","1522","21.000000","40.786486","DDS demands","Known Flow","468285.893581","105774.680992","","0.000000","","","","","","-4.860000","","","","","","","-4.345898","-4.860000","","","","","","","","D1 PROFILE","","","","","",""
"82007200002411","Nodes","2411","21.000000","40.819150","DDS demands","Known Flow","468289.039796","105764.927726","","0.000000","-0.959999","","","","","-3.039999","","","","","","","-3.576871","-3.999999","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"82007200002027","Nodes","2027","21.000000","41.248500","DDS demands","Known Flow","468310.768588","105630.430953","","0.000000","","","","","","-21.190000","","","","","","","-18.948478","-21.190000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001517","Nodes","1517","21.000000","40.364221","DDS demands","Known Flow","468505.518641","105660.930961","","0.000000","","","","","","-10.419999","","","","","","","-9.317750","-10.419999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001518","Nodes","1518","21.000000","40.466813","DDS demands","Known Flow","468434.472373","105658.558316","","0.000000","","","","","","-5.800000","","","","","","","-5.186464","-5.800000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001519","Nodes","1519","21.000000","40.614734","DDS demands","Known Flow","468357.259324","105637.363582","","0.000000","","","","","","-15.070000","","","","","","","-13.475863","-15.070000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001616","Nodes","1616","21.000000","43.786656","DDS demands","Known Flow","468599.518666","105429.805898","","0.000000","","","","","","-2.170000","","","","","","","-1.940452","-2.170000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001619","Nodes","1619","21.000000","43.786446","DDS demands","Known Flow","468618.158025","105423.250121","","0.000000","","","","","","-4.590000","","","","","","","-4.104460","-4.590000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001624","Nodes","1624","21.000000","43.735166","DDS demands","Known Flow","468540.393650","105283.555859","","0.000000","","","","","","-3.010000","","","","","","","-2.691595","-3.010000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001623","Nodes","1623","21.000000","43.735154","DDS demands","Known Flow","468545.246397","105309.529197","","0.000000","","","","","","-4.590000","","","","","","","-4.104460","-4.590000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001644","Nodes","1644","21.000000","43.735997","DDS demands","Known Flow","468529.018647","105329.555871","","0.000000","","","","","","-5.239999","","","","","","","-4.685701","-5.239999","","","","","","","","D1 PROFILE","","","","","",""
"82007200002197","Nodes","2197","21.000000","48.423434","DDS demands","Known Flow","467735.981129","105145.531469","","0.000000","","","","","","","","","-5.870000","","","","-5.249059","-5.870000","","","","","","","","","","","I2 PROFILE","","",""
"82007200001549","Nodes","1549","21.000000","48.481811","DDS demands","Known Flow","467731.086163","105145.990820","","0.000000","-5.070000","","","","","","","","","","","","-4.533684","-5.070000","","","C1 PROFILE","","","","","","","","","","",""
"82007200001550","Nodes","1550","21.000000","49.229585","Default Known Flow Node","Known Flow","467671.268414","105156.305824","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001846","Nodes","1846","21.000000","48.194197","Default Known Flow Node","Known Flow","467755.393437","105144.680821","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200002768","Nodes","2768","21.000000","47.490199","Default Known Flow Node","Known Flow","467603.893395","105091.305806","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200002769","Nodes","2769","21.000000","46.602871","Default Known Flow Node","Known Flow","467546.888018","105102.908021","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001552","Nodes","1552","21.000000","46.518752","Default Known Flow Node","Known Flow","467543.143379","105101.680809","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001576","Nodes","1576","21.000000","40.275532","DDS demands","Known Flow","467915.518480","105566.930936","","0.000000","","","","","","-16.469999","","","","","","","-14.727768","-16.469999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001932","Nodes","1932","21.000000","40.546137","DDS demands","Known Flow","468123.176642","105600.250405","","0.000000","","","","","","-34.729999","","","","","","","-31.056186","-34.729999","","","","","","","","D1 PROFILE","","","","","",""
"82007200007516","Nodes","-4904758","21.000000","40.362565","Default Known Flow Node","Known Flow","468011.221863","105720.674035","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001931","Nodes","1931","21.000000","40.472501","DDS demands","Known Flow","468082.571672","105729.824681","","0.000000","","","","","","-21.500000","","","","","","","-19.225685","-21.500000","","","","","","","","D1 PROFILE","","","","","",""
