"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82222700000051","Nodes","51",21.000000,21.681190,"DDS demands","Known Flow",480462.285662,103798.929145,,0.000000,,,,,,-21.690001,,,,,-19.395586,-21.690001,,"",,,,,,"D1 PROFILE",,,,
"82222700000049","Nodes","49",21.000000,23.183525,"Default Known Flow Node","Known Flow",480493.114348,103851.247401,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82222700000105","Nodes","105",21.000000,32.956079,"DDS demands","Known Flow",481575.672197,105379.611885,,0.000000,,,,,,-4.679999,,,,,-4.184939,-4.679999,,"",,,,,,"D1 PROFILE",,,,
"82222700000137","Nodes","P10123972, FLATS 1-4 BARNSIDE, 5.35",22.999998,33.246461,"CSEP DDS Matched","Known Flow",481604.877357,105316.702289,,0.000000,,,,,,,-1.590000,,,,-1.421806,-1.590000,,"",,,,,,,"DC PROFILE",,,
"82222700000144","Nodes","P08119564, TAYLORS LANE, 79.3",22.999998,35.181446,"CSEP DDS Matched","Known Flow",481248.737062,104264.817788,,0.000000,,,,,-67.849998,-1.659999,-7.499998,,,,-68.863718,-77.009998,,"",,,,,"CC PROFILE","D1 PROFILE","DC PROFILE",,,
"82222700000145","Nodes","145",21.000000,33.204687,"Default Known Flow Node","Known Flow",481592.570202,105266.331854,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82222700000104","Nodes","104",21.000000,33.296896,"DDS demands","Known Flow",481575.474628,105336.734031,,0.000000,,,,,,-4.460000,,,,,-3.988211,-4.460000,,"",,,,,,"D1 PROFILE",,,,
"82222700000106","Nodes","106",21.000000,33.203309,"DDS demands","Known Flow",481558.426023,105285.398252,,0.000000,,,,,,-2.669999,,,,,-2.387561,-2.669999,,"",,,,,,"D1 PROFILE",,,,
"82222700000153","Nodes","153",21.000000,40.341812,"DDS demands","Known Flow",480406.592879,104408.398621,,0.000000,,,,,,-2.119999,,,,,-1.895741,-2.119999,,"",,,,,,"D1 PROFILE",,,,
"82222700000154","Nodes","154",21.000000,40.301891,"Default Known Flow Node","Known Flow",480329.036858,104325.181598,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82222700000032","Nodes","32",21.000000,40.328994,"DDS demands","Known Flow",480401.310878,104494.537644,,0.000000,,,,,,-1.460000,,,,,-1.305558,-1.460000,,"",,,,,,"D1 PROFILE",,,,
