"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82520900000088","Nodes","88",21.000000,23.563124,"DDS demands","Known Flow",382345.896250,89045.948437,,0.000000,,,,,-10.670000,,,,,-9.541305,-10.670000,,"",,,,,"D1 PROFILE",,,,
"82520900307838","Nodes","-307838",21.000000,26.052228,"Default Known Flow Node","Known Flow",382712.490000,88851.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000067","Nodes","67",21.000000,26.052228,"Default Known Flow Node","Known Flow",382716.677500,88850.151562,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000066","Nodes","66",21.000000,25.866004,"DDS demands","Known Flow",382895.802500,88821.346875,,0.000000,-12.539999,-17.350000,,,-0.340000,,,,,-27.032207,-30.229999,,"","C1 PROFILE","C2 PROFILE",,,"D1 PROFILE",,,,
"82520900000004","Nodes","4",21.000000,26.363419,"Default Known Flow Node","Known Flow",382764.990000,88423.948437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307859","Nodes","-307859",21.000000,26.453623,"Default Known Flow Node","Known Flow",382768.115000,88425.932812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000101","Nodes","101",21.000000,23.913944,"Default Known Flow Node","Known Flow",382566.583750,88493.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000102","Nodes","102",21.000000,21.118506,"DDS demands","Known Flow",382451.990000,88441.550000,,0.000000,-19.000000,,,,,,,,,-16.990140,-19.000000,,"","C1 PROFILE",,,,,,,,
"82520900307813","Nodes","-307813",21.000000,23.918197,"Default Known Flow Node","Known Flow",382567.490000,88494.932812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307816","Nodes","-307816",21.000000,23.918197,"Default Known Flow Node","Known Flow",382575.365000,88491.682812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
