"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82009800000177","Nodes","177","21.000000","42.512751","DDS demands","Known Flow","414380.353913","113782.023171","","0.000000","","","","","","-2.069999","","","","-1.851031","-2.069999","","","","","","","","D1 PROFILE","","",""
"82009800000175","Nodes","175","21.000000","42.522807","DDS demands","Known Flow","414379.886795","113808.858868","","0.000000","","","","","","-0.680000","","","","-0.608068","-0.680000","","","","","","","","D1 PROFILE","","",""
"82009800003795","Nodes","3795","21.000000","37.992163","Default Known Flow Node","Known Flow","413999.100947","114216.041535","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82009800001003","Nodes","1003","21.000000","37.900219","Default Known Flow Node","Known Flow","414010.192140","114211.972526","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82009800000452","Nodes","452","21.000000","36.630761","Default Known Flow Node","Known Flow","414149.099412","114195.563412","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82009800000104","Nodes","104","21.000000","38.862994","DDS demands","Known Flow","413735.377117","114376.815541","","0.000000","-9.370000","-11.880000","","","","-7.179999","","","","-25.422615","-28.429998","","","C1 PROFILE","C2 PROFILE","","","","D1 PROFILE","","",""
"82009800000102","Nodes","102","21.000000","38.721008","DDS demands","Known Flow","413786.150135","114367.042043","","0.000000","","","","","","-14.550000","","","","-13.010870","-14.550000","","","","","","","","D1 PROFILE","","",""
"82009800000208","Nodes","208","21.000000","35.397089","Default Known Flow Node","Known Flow","414904.602986","114273.856990","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82009800000235","Nodes","235","21.000000","37.315263","DDS demands","Known Flow","414997.349080","114480.647361","","0.000000","-8.399999","","-14.829999","-4.280000","","-3.499999","","","","-27.729695","-31.009999","","","C1 PROFILE","","C3 PROFILE","C4 PROFILE","","D1 PROFILE","","",""
"82009800000147","Nodes","147","21.000000","38.802855","DDS demands","Known Flow","413731.464787","114377.926979","","0.000000","","","","","","-0.199999","","","","-0.178843","-0.199999","","","","","","","","D1 PROFILE","","",""
"82009800000144","Nodes","Logger 914, Station Road (25-33)","21.000000","38.525329","Val Log Post","Known Flow","413952.903796","114238.571295","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"82009800001006","Nodes","1006","21.000000","38.663930","DDS demands","Known Flow","413868.378072","114318.536126","","0.000000","","","","","","-1.700000","","","","-1.520170","-1.700000","","","","","","","","D1 PROFILE","","",""
"82009800003793","Nodes","3793","21.000000","38.751065","DDS demands","Known Flow","413819.943760","114501.979367","","0.000000","","","","","","-1.230000","","","","-1.099888","-1.230000","","","","","","","","D1 PROFILE","","",""
"82009800000353","Nodes","353","21.000000","40.156847","DDS demands","Known Flow","413617.162705","114319.433317","","0.000000","","","","","","-1.900000","","-117.769994","","-107.011054","-119.669996","","","","","","","","D1 PROFILE","","I2 PROFILE",""
"82009800000146","Nodes","146","21.000000","41.309683","DDS demands","Known Flow","413689.448725","114327.966320","","0.000000","","","","","","-6.229999","","","","-5.570977","-6.229999","","","","","","","","D1 PROFILE","","",""
"82009800000101","Nodes","101","21.000000","44.242977","DDS demands","Known Flow","413605.329702","114194.397283","","0.000000","","","","","","-2.049999","","","","-1.833146","-2.049999","","","","","","","","D1 PROFILE","","",""
"82009800000099","Nodes","99","21.000000","41.201449","DDS demands","Known Flow","413754.131204","114310.313020","","0.000000","","","","","","-4.439999","","","","-3.970327","-4.439999","","","","","","","","D1 PROFILE","","",""
"82009800000145","Nodes","P07113922, Victoria Lane, 10.15","22.999998","39.604661","CSEP DDS Matched","Known Flow","413851.023086","114271.640340","","0.000000","","","","","","","-10.150000","","","-9.076311","-10.150000","","","","","","","","","DC PROFILE","",""
"82009800000427","Nodes","427","21.000000","40.639388","DDS demands","Known Flow","414395.111340","113719.381191","","0.000000","","","","","","-1.999999","","","","-1.788435","-1.999999","","","","","","","","D1 PROFILE","","",""
"82009800008009","Nodes","OPR, Frog Lane","21.000000","39.707886","OPR","Known Flow","414370.010636","113518.547353","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
