"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82000800001215","Nodes","1215","21.000000","34.919015","Default Known Flow Node","Known Flow","404206.501144","100511.679560","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800001216","Nodes","1216","21.000000","34.913225","DDS demands","Known Flow","404215.376147","100514.804561","","0.000000","","","","","-1.599999","","","","","","-1.430748","-1.599999","","","","","","","D1 PROFILE","","","","",""
"82000800000180","Nodes","180","21.000000","29.373426","DDS demands","Known Flow","403424.750931","100066.929439","","0.000000","","","","","-1.009999","","","","","","-0.903160","-1.009999","","","","","","","D1 PROFILE","","","","",""
"82000800000181","Nodes","181","21.000000","29.373521","DDS demands","Known Flow","403462.000942","100062.679438","","0.000000","","","","","-13.939999","","","","","","-12.465396","-13.939999","","","","","","","D1 PROFILE","","","","",""
"82000800000208","Nodes","208","21.000000","29.420027","DDS demands","Known Flow","403573.000972","100010.429424","","0.000000","","","","","-10.580000","","","","","","-9.460826","-10.580000","","","","","","","D1 PROFILE","","","","",""
"82000800001120","Nodes","1120","21.000000","30.211416","Default Known Flow Node","Known Flow","403817.876038","100785.929635","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000709","Nodes","709","21.000000","31.085550","DDS demands","Known Flow","400976.953265","100415.028534","","0.000000","","","","","-4.679999","","","","","","-4.184939","-4.679999","","","","","","","D1 PROFILE","","","","",""
"82000800000710","Nodes","710, P09120395, CSEP, -6.92 SCMH","22.999998","27.318657","CSEP DDS Matched","Known Flow","400895.059819","100337.805559","","0.000000","","","","","","-6.919999","","","","","-6.187987","-6.919999","","","","","","","","DC PROFILE","","","",""
"82000800001213","Nodes","1213","21.000000","34.179338","Default Known Flow Node","Known Flow","404180.501137","100477.679551","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000499","Nodes","499","21.000000","24.012038","DDS demands","Known Flow","403381.500920","101849.929924","","0.000000","","","","","-1.190000","","","","","","-1.064119","-1.190000","","","","","","","D1 PROFILE","","","","",""
"82000800001428","Nodes","1428","21.000000","26.517469","Default Known Flow Node","Known Flow","399947.516985","100449.337543","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800001429","Nodes","1429","21.000000","26.429986","Default Known Flow Node","Known Flow","399976.924993","100462.079547","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800001446","Nodes","1446","21.000000","28.166186","Default Known Flow Node","Known Flow","402198.375598","99602.804313","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
