"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82820900000105","Nodes","105",21.000000,35.691903,"DDS demands","Known Flow",383952.466222,86483.125805,,0.000000,,,,-1.779999,,,,,-1.591707,-1.779999,,"",,,,"D1 PROFILE",,,,
"82820900000095","Nodes","95",21.000000,35.100540,"Default Known Flow Node","Known Flow",384439.745765,86533.550757,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000096","Nodes","96",21.000000,34.992343,"Default Known Flow Node","Known Flow",384436.353824,86512.001955,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000097","Nodes","97",21.000000,34.851310,"DDS demands","Known Flow",384433.870764,86491.800745,,0.000000,,,,-16.209998,,,,,-14.495270,-16.209998,,"",,,,"D1 PROFILE",,,,
"82820900000125","Nodes","125",21.000000,30.436464,"Default Known Flow Node","Known Flow",384586.870805,86380.800715,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000103","Nodes","103",21.000000,30.682700,"DDS demands","Known Flow",384559.633338,86397.680273,,0.000000,,,,-1.749999,,,,,-1.564881,-1.749999,,"",,,,"D1 PROFILE",,,,
"82820900000102","Nodes","102",21.000000,30.776128,"Default Known Flow Node","Known Flow",384551.370796,86402.800721,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000114","Nodes","114",21.000000,30.309689,"DDS demands","Known Flow",384642.617081,86737.214608,,0.000000,,,-3.930000,-3.989999,,,,,-7.082205,-7.919999,,"",,,"C4 PROFILE","D1 PROFILE",,,,
"82820900000133","Nodes","133",21.000000,31.640742,"DDS demands","Known Flow",384631.520640,86812.126268,,0.000000,,,,-9.140000,,,,,-8.173152,-9.140000,,"",,,,"D1 PROFILE",,,,
"82820900259753","Nodes","-259753",21.000000,33.867045,"Default Known Flow Node","Known Flow",384574.745802,86840.425840,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000069","Nodes","69",21.000000,34.095537,"DDS demands","Known Flow",384492.753484,86667.295383,,0.000000,,,,-3.999999,,,,,-3.576871,-3.999999,,"",,,,"D1 PROFILE",,,,
