"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"82224800000110","Nodes","110","21.000000","21.498601","DDS demands","Known Flow","427357.255444","94989.806058","","0.000000","","","-2.660000","","","-2.378619","-2.660000","","","","","D1 PROFILE","",""
"82224800000106","Nodes","106","21.000000","21.605062","Default Known Flow Node","Known Flow","427378.652450","94934.654043","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"82224800000014","Nodes","14","21.000000","36.287351","DDS demands","Known Flow","426815.007296","95271.053134","","0.000000","","","-1.838000","","","-1.643572","-1.838000","","","","","D1 PROFILE","",""
"82224800001069","Nodes","-8201","21.000000","36.979809","Default Known Flow Node","Known Flow","426810.132295","95279.553137","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"82224800001070","Nodes","-8204","21.000000","35.062851","Default Known Flow Node","Known Flow","426824.757299","95249.428128","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"82224800001067","Nodes","-600","21.000000","36.180324","Default Known Flow Node","Known Flow","426834.642943","95287.003786","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"82224800000114","Nodes","114","21.000000","36.907538","DDS demands","Known Flow","426831.382301","95404.178170","","0.000000","","","-7.679999","","","-6.867593","-7.679999","","","","","D1 PROFILE","",""
"82224800000115","Nodes","115","21.000000","36.837149","DDS demands","Known Flow","426821.757298","95368.803161","","0.000000","","","-4.010000","","","-3.585814","-4.010000","","","","","D1 PROFILE","",""
"82224800000116","Nodes","P10124652, Heath Road, -10.15","22.999998","32.493851","CSEP DDS Matched","Known Flow","426578.461640","95160.271295","","0.000000","","","","-10.150000","","-9.076311","-10.150000","","","","","","DC PROFILE",""
"82224800000117","Nodes","117","21.000000","36.745579","DDS demands","Known Flow","426852.507306","95432.678178","","0.000000","","","-3.700000","","","-3.308606","-3.700000","","","","","D1 PROFILE","",""
"82224800000012","Nodes","12","21.000000","37.181035","DDS demands","Known Flow","426750.382279","95430.553178","","0.000000","","","-15.630000","","","-13.976626","-15.630000","","","","","D1 PROFILE","",""
"82224800000125","Nodes","125","21.000000","21.963639","Default Known Flow Node","Known Flow","427541.257494","94661.177968","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"82224800000043","Nodes","43","21.000000","21.562012","DDS demands","Known Flow","427473.758875","94603.803161","","0.000000","","","-8.800000","","","-7.869117","-8.800000","","","","","D1 PROFILE","",""
"82224800000046","Nodes","46","21.000000","21.531648","DDS demands","Known Flow","427526.150961","94782.890312","","0.000000","","","-12.130000","","","-10.846863","-12.130000","","","","","D1 PROFILE","",""
"82224800000044","Nodes","44","21.000000","21.576317","DDS demands","Known Flow","427446.397089","94748.596042","","0.000000","","","-9.149999","","","-8.182093","-9.149999","","","","","D1 PROFILE","",""
"82224800000049","Nodes","49","21.000000","21.488454","DDS demands","Known Flow","427621.132516","94849.678020","","0.000000","","","-16.190000","","","-14.477388","-16.190000","","","","","D1 PROFILE","",""
"82224800000047","Nodes","47","21.000000","21.536615","DDS demands","Known Flow","427475.882476","94909.928036","","0.000000","","","-14.779999","","","-13.216540","-14.779999","","","","","D1 PROFILE","",""
"82224800000050","Nodes","50","21.000000","21.510046","DDS demands","Known Flow","427668.632528","94904.678035","","0.000000","","","-22.349999","","","-19.985769","-22.349999","","","","","D1 PROFILE","",""
"82224800000051","Nodes","51","21.000000","21.603624","DDS demands","Known Flow","427523.257489","95026.178068","","0.000000","","","-15.469999","","","-13.833550","-15.469999","","","","","D1 PROFILE","",""
"82224800001003","Nodes","-100","21.000000","22.080446","Default Known Flow Node","Known Flow","427646.507522","95501.428197","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"82224800001089","Nodes","-98","21.000000","22.483001","Default Known Flow Node","Known Flow","427598.882509","95459.053185","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"82224800000076","Nodes","76","21.000000","21.719477","DDS demands","Known Flow","427640.083521","95547.995210","","0.000000","","","-11.260000","","","-10.068893","-11.260000","","","","","D1 PROFILE","",""
"82224800001090","Nodes","-99","21.000000","22.483001","Default Known Flow Node","Known Flow","427599.382510","95449.178183","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"82224800000037","Nodes","37","21.000000","22.948331","DDS demands","Known Flow","427535.132492","95472.053189","","0.000000","","","-17.399999","","","-15.559390","-17.399999","","","","","D1 PROFILE","",""
"82224800000129","Nodes","129","21.000000","31.052837","DDS demands","Known Flow","426973.257339","95031.303069","","0.000000","","","-6.540000","","","-5.848185","-6.540000","","","","","D1 PROFILE","",""
"82224800000131","Nodes","131","21.000000","30.804069","DDS demands","Known Flow","426948.368469","95050.669949","","0.000000","","","-7.719999","","","-6.903361","-7.719999","","","","","D1 PROFILE","",""
"82224800000130","Nodes","130","21.000000","30.912743","DDS demands","Known Flow","426938.507330","95008.303063","","0.000000","","","-4.219999","","","-3.773599","-4.219999","","","","","D1 PROFILE","",""
"82224800001001","Nodes","1001","21.000000","31.650311","DDS demands","Known Flow","426996.007345","95005.928062","","0.000000","","","-7.119999","","","-6.366831","-7.119999","","","","","D1 PROFILE","",""
"82224800000128","Nodes","128","21.000000","31.733740","DDS demands","Known Flow","426959.003353","94947.047834","","0.000000","","","-6.130000","","","-5.481555","-6.130000","","","","","D1 PROFILE","",""
"82224800001004","Nodes","P00048812, Stopples Lane, -9.78","21.000000","31.733331","CSEP DDS Matched","Known Flow","426960.632336","94945.803046","","0.000000","","","","-9.779999","","-8.745450","-9.779999","","","","","","DC PROFILE",""
"82224800000127","Nodes","127","21.000000","32.049215","DDS demands","Known Flow","426900.880916","95000.930815","","0.000000","","","-1.190000","","","-1.064119","-1.190000","","","","","D1 PROFILE","",""
"82224800000122","Nodes","122","21.000000","35.722289","DDS demands","Known Flow","426909.414066","95331.845078","","0.000000","","","-3.440000","","","-3.076109","-3.440000","","","","","D1 PROFILE","",""
"82224800000123","Nodes","123","21.000000","35.562377","DDS demands","Known Flow","426943.257331","95339.803153","","0.000000","","","-5.639999","","","-5.043388","-5.639999","","","","","D1 PROFILE","",""
