"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82010700000323","Nodes","323",21.000000,27.016991,"DDS demands","Known Flow",379860.925739,125948.097737,,0.000000,,,,,,,-1.139999,,,,-1.019408,-1.139999,,"",,,,,,,"D1 PROFILE",,,
"82010700000554","Nodes","554",21.000000,25.001538,"DDS demands","Known Flow",380226.730954,126677.485873,,0.000000,,,,,,,-5.769999,,,,-5.159637,-5.769999,,"",,,,,,,"D1 PROFILE",,,
"82010700000406","Nodes","406",21.000000,25.782316,"DDS demands","Known Flow",380152.419090,126693.297667,,0.000000,,,,,,,-9.949999,,,,-8.897467,-9.949999,,"",,,,,,,"D1 PROFILE",,,
"82010700000555","Nodes","555",21.000000,24.605741,"DDS demands","Known Flow",380203.569613,126776.829707,,0.000000,,,,,,,-7.109999,,,,-6.357889,-7.109999,,"",,,,,,,"D1 PROFILE",,,
"82010700000069","Nodes","69",21.000000,31.938042,"DDS demands","Known Flow",380419.826672,126483.303627,,0.000000,,,,,,,-12.979999,,,,-11.606948,-12.979999,,"",,,,,,,"D1 PROFILE",,,
"82010700009004","Nodes","9004",21.000000,29.106021,"DDS demands","Known Flow",380225.788490,126571.208820,,0.000000,-8.050000,,,,,,-4.780000,,,,-11.472816,-12.830000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,
"82010700051047","Nodes","51047",21.000000,32.196176,"Default Known Flow Node","Known Flow",380423.566673,126484.131628,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82010700021047","Nodes","21047",21.000000,31.804339,"Default Known Flow Node","Known Flow",380421.450101,126474.714723,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82010700000083","Nodes","83",21.000000,31.544335,"DDS demands","Known Flow",380384.296662,126437.378615,,0.000000,,,,,,,-6.929999,,,,-6.196929,-6.929999,,"",,,,,,,"D1 PROFILE",,,
"82010700001046","Nodes","1046",21.000000,42.706559,"DDS demands","Known Flow",380580.760715,126857.451729,,0.000000,-15.469999,,,,,,-5.670000,,,,-18.903766,-21.140000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,
