"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"82226800008010","Nodes","-231957",21.000000,35.857174,"Default Known Flow Node","Known Flow",390573.971987,109183.449904,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000025","Nodes","25",21.000000,38.139936,"DDS demands","Known Flow",390581.090437,109258.994940,,0.000000,-3.020000,,,,-2.269999,,,-4.730413,-5.290000,,"","C1 PROFILE",,,,"D1 PROFILE",,
"82226800000027","Nodes","27",21.000000,38.028594,"DDS demands","Known Flow",390587.131438,109223.938931,,0.000000,,,,,-4.679999,,,-4.184939,-4.679999,,"",,,,,"D1 PROFILE",,
"82226800000024","Nodes","24",21.000000,38.695598,"DDS demands","Known Flow",390601.214442,109275.358945,,0.000000,,,-10.560000,,-3.940000,,,-12.966160,-14.500000,,"",,,"C3  PROFILE",,"D1 PROFILE",,
"82226800008014","Nodes","-231980",21.000000,38.863816,"Default Known Flow Node","Known Flow",390637.225452,109378.916973,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800008013","Nodes","-231969",21.000000,33.687158,"Default Known Flow Node","Known Flow",390610.741445,109101.006897,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000028","Nodes","28",21.000000,38.813396,"DDS demands","Known Flow",390631.580301,109210.791977,,0.000000,,,,,-4.900000,,,-4.381668,-4.900000,,"",,,,,"D1 PROFILE",,
"82226800000020","Nodes","20",21.000000,39.090580,"DDS demands","Known Flow",390663.938384,109497.278857,,0.000000,,,,,-6.360000,,,-5.687226,-6.360000,,"",,,,,"D1 PROFILE",,
"82226800000062","Nodes","62",21.000000,38.245560,"Default Known Flow Node","Known Flow",390669.340461,109343.276963,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000063","Nodes","63",21.000000,38.189234,"DDS demands","Known Flow",390692.343467,109305.797953,,0.000000,,,,,-2.089999,,,-1.868915,-2.089999,,"",,,,,"D1 PROFILE",,
"82226800000064","Nodes","64",21.000000,38.054793,"DDS demands","Known Flow",390714.679473,109357.046967,,0.000000,,,,,-5.969999,,,-5.338480,-5.969999,,"",,,,,"D1 PROFILE",,
"82226800000065","Nodes","65",21.000000,38.054793,"Default Known Flow Node","Known Flow",390687.845466,109372.426971,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000047","Nodes","47",21.000000,37.966729,"DDS demands","Known Flow",390749.957482,109368.284970,,0.000000,,,,,-3.899999,,,-3.487449,-3.899999,,"",,,,,"D1 PROFILE",,
"82226800000048","Nodes","48",21.000000,38.110051,"DDS demands","Known Flow",390717.061474,109394.132977,,0.000000,,,,,-5.070000,,,-4.533684,-5.070000,,"",,,,,"D1 PROFILE",,
"82226800000056","Nodes","56",21.000000,35.277795,"Default Known Flow Node","Known Flow",390334.189369,109658.338049,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000055","Nodes","55",21.000000,35.234563,"Default Known Flow Node","Known Flow",390361.329377,109567.002024,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000060","Nodes","60",21.000000,34.652627,"Default Known Flow Node","Known Flow",390378.604381,109615.556037,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000059","Nodes","59",21.000000,34.652627,"Default Known Flow Node","Known Flow",390407.193389,109624.997040,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000054","Nodes","P00097028, Bushes Road, -33.88",24.000000,35.759621,"CSEP DDS Matched","Known Flow",390384.761383,109516.380010,,0.000000,,,,,-7.620000,-33.880002,,-37.110044,-41.500001,,"",,,,,"D1 PROFILE","DC PROFILE",
"82226800000057","Nodes","57",21.000000,34.652627,"DDS demands","Known Flow",390417.256392,109597.438033,,0.000000,,,,,-4.730000,,,-4.229650,-4.730000,,"",,,,,"D1 PROFILE",,
"82226800000061","Nodes","61",21.000000,34.999058,"Default Known Flow Node","Known Flow",390427.788395,109631.837042,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000058","Nodes","58",21.000000,34.681370,"DDS demands","Known Flow",390436.279397,109607.022035,,0.000000,,,,,-9.390000,,,-8.396706,-9.390000,,"",,,,,"D1 PROFILE",,
"82226800008006","Nodes","-231936",21.000000,39.136545,"Default Known Flow Node","Known Flow",390495.332413,109628.456041,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800008005","Nodes","-231935",21.000000,39.136545,"Default Known Flow Node","Known Flow",390493.960413,109629.454041,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800008007","Nodes","-231937",21.000000,39.136545,"Default Known Flow Node","Known Flow",390498.844414,109629.962041,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000070","Nodes","70",21.000000,39.050441,"DDS demands","Known Flow",390504.092416,109581.423028,,0.000000,,,,,-1.669999,,,-1.493343,-1.669999,,"",,,,,"D1 PROFILE",,
"82226800000011","Nodes","11",21.000000,38.874477,"DDS demands","Known Flow",390562.026431,109475.085999,,0.000000,,,,,-8.260000,,,-7.386240,-8.260000,,"",,,,,"D1 PROFILE",,
"82226800000012","Nodes","12",21.000000,39.113322,"DDS demands","Known Flow",390639.327949,109518.243122,,0.000000,,,,,-8.239999,,,-7.368355,-8.239999,,"",,,,,"D1 PROFILE",,
"82226800000010","Nodes","10",21.000000,39.141629,"DDS demands","Known Flow",390542.259426,109576.059027,,0.000000,,,,,-2.079999,,,-1.859973,-2.079999,,"",,,,,"D1 PROFILE",,
"82226800000018","Nodes","18",21.000000,39.434240,"DDS demands","Known Flow",390629.731450,109656.424049,,0.000000,,,,,-4.610000,,,-4.122344,-4.610000,,"",,,,,"D1 PROFILE",,
"82226800000016","Nodes","16",21.000000,39.348896,"DDS demands","Known Flow",390623.636448,109650.951047,,0.000000,,,,,-3.790000,,,-3.389085,-3.790000,,"",,,,,"D1 PROFILE",,
"82226800000015","Nodes","15",21.000000,39.105580,"DDS demands","Known Flow",390656.579457,109511.713009,,0.000000,,,,,-3.729999,,,-3.335432,-3.729999,,"",,,,,"D1 PROFILE",,
"82226800000014","Nodes","14",21.000000,39.237325,"DDS demands","Known Flow",390579.588076,109609.303420,,0.000000,,,,,-4.849999,,,-4.336956,-4.849999,,"",,,,,"D1 PROFILE",,
"82226800000008","Nodes","8",21.000000,39.046841,"DDS demands","Known Flow",390515.781419,109594.055032,,0.000000,-2.599999,,,,-3.890000,,,-5.803474,-6.489999,,"","C1 PROFILE",,,,"D1 PROFILE",,
"82226800008008","Nodes","-231941",21.000000,39.046841,"Default Known Flow Node","Known Flow",390521.056420,109600.933033,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000009","Nodes","9",21.000000,39.066214,"DDS demands","Known Flow",390535.823424,109569.564025,,0.000000,,,,,-5.469999,,,-4.891371,-5.469999,,"",,,,,"D1 PROFILE",,
"82226800000013","Nodes","13",21.000000,39.240863,"DDS demands","Known Flow",390575.418435,109605.361035,,0.000000,,,,,-4.659999,,,-4.167055,-4.659999,,"",,,,,"D1 PROFILE",,
"82226800000017","Nodes","17",21.000000,39.260569,"DDS demands","Known Flow",390712.717472,109543.613018,,0.000000,,,,,-9.949999,,,-8.897467,-9.949999,,"",,,,,"D1 PROFILE",,
"82226800000019","Nodes","19",21.000000,39.348017,"DDS demands","Known Flow",390617.700446,109669.693052,,0.000000,,,,,-1.549999,,,-1.386037,-1.549999,,"",,,,,"D1 PROFILE",,
"82226800008001","Nodes",,21.000000,38.753433,"Default Known Flow Node","Known Flow",390627.579146,109195.297860,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000076","Nodes",,21.000000,23.618166,"Default Known Flow Node","Known Flow",390540.974426,108938.826853,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000080","Nodes",,21.000000,38.065597,"DDS demands","Known Flow",390456.013402,109391.191976,,0.000000,-6.000000,,,,,,,-5.365307,-6.000000,,"","C1 PROFILE",,,,,,
"82226800000084","Nodes",,21.000000,34.268929,"Default Known Flow Node","Known Flow",390546.626427,109064.901888,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000088","Nodes",,21.000000,22.827767,"Default Known Flow Node","Known Flow",390482.486410,108808.732818,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000090","Nodes",,21.000000,23.082486,"Default Known Flow Node","Known Flow",390472.466407,108925.361850,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000128","Nodes",,21.000000,38.708769,"Default Known Flow Node","Known Flow",390734.442478,109281.199946,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000102","Nodes",,21.000000,38.809594,"Default Known Flow Node","Known Flow",390631.968450,109212.828928,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000085","Nodes",,21.000000,35.946090,"Default Known Flow Node","Known Flow",390573.972435,109185.518920,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000104","Nodes",,21.000000,38.207115,"DDS demands","Known Flow",390511.517418,109359.437968,,0.000000,,,,,,,-9.060000,-8.101614,-9.060000,,"",,,,,,,"I2 PROFILE"
"82226800000106","Nodes",,21.000000,21.573457,"Default Known Flow Node","Known Flow",390408.964390,108837.568826,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
