"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"82121200000014","Nodes","14",21.000000,32.821466,"DDS demands","Known Flow",446187.410499,134953.207798,,0.000000,,,,-4.099999,,,-3.666293,-4.099999,,"",,,,"D1 PROFILE",,
"82121200000078","Nodes","78",21.000000,29.736618,"DDS demands","Known Flow",447353.788227,135988.266603,,0.000000,,,,-9.260000,,,-8.280457,-9.260000,,"",,,,"D1 PROFILE",,
"82121200000143","Nodes","P09121477, Downlands Way, 34.25",24.000000,39.344158,"CSEP DDS Matched","Known Flow",446615.209338,135705.259214,,0.000000,,,,,-34.250000,,-30.626964,-34.250000,,"",,,,,"DC PROFILE",
"82121200000700","Nodes","700",21.000000,35.945831,"DDS demands","Known Flow",446876.820548,135857.632516,,0.000000,,,,-2.359999,,,-2.110354,-2.359999,,"",,,,"D1 PROFILE",,
"82121200000061","Nodes","61",21.000000,38.331747,"DDS demands","Known Flow",446749.412437,135850.155299,,0.000000,,,,-12.040000,,,-10.766383,-12.040000,,"",,,,"D1 PROFILE",,
"82121200000142","Nodes","142",21.000000,35.719339,"DDS demands","Known Flow",446891.023340,135858.123633,,0.000000,,,,-17.770000,,,-15.890252,-17.770000,,"",,,,"D1 PROFILE",,
"82121200000105","Nodes","105",21.000000,30.600718,"DDS demands","Known Flow",447084.292216,135994.712435,,0.000000,,,,-8.579999,,,-7.672389,-8.579999,,"",,,,"D1 PROFILE",,
"82121200000106","Nodes","106",21.000000,30.301657,"DDS demands","Known Flow",447069.341680,136042.732647,,0.000000,,,,-10.750000,,,-9.612842,-10.750000,,"",,,,"D1 PROFILE",,
"82121200000074","Nodes","74",21.000000,30.830124,"DDS demands","Known Flow",446948.424490,135989.748232,,0.000000,,,,-19.350001,,,-17.303117,-19.350001,,"",,,,"D1 PROFILE",,
"82121200000128","Nodes","128",21.000000,21.835520,"DDS demands","Known Flow",446105.472940,136011.041077,,0.000000,,,,-3.759999,,,-3.362259,-3.759999,,"",,,,"D1 PROFILE",,
"82121200000126","Nodes","126",21.000000,21.886008,"DDS demands","Known Flow",446099.323544,135974.918210,,0.000000,,,,-19.509999,,,-17.446189,-19.509999,,"",,,,"D1 PROFILE",,
"82121200000152","Nodes","152",21.000000,23.230806,"DDS demands","Known Flow",446002.664517,136039.525228,,0.000000,,,,-2.630000,,,-2.351793,-2.630000,,"",,,,"D1 PROFILE",,
"82121200000151","Nodes","151",21.000000,23.812770,"DDS demands","Known Flow",446022.348523,135856.354178,,0.000000,,,,-3.309999,,,-2.959861,-3.309999,,"",,,,"D1 PROFILE",,
"82121200000006","Nodes","BLACKWELL ROAD DG, Site ID 2134",21.000000,32.999999,"Default Known Pressure Node","Known Pressure",446168.070136,134907.516615,,1899.999973,,,,,,,181.883904,203.400000,,"",,,,,,
"82121200000010","Nodes","10",21.000000,32.966234,"DDS demands","Known Flow",446174.107030,134905.958041,,0.000000,,,,-2.009999,,,-1.797377,-2.009999,,"",,,,"D1 PROFILE",,
"82121200000044","Nodes","44",21.000000,43.636832,"DDS demands","Known Flow",446745.294261,135694.745379,,0.000000,,,,-1.840000,,,-1.645360,-1.840000,,"",,,,"D1 PROFILE",,
"82121200000043","Nodes","43",21.000000,44.796256,"DDS demands","Known Flow",446748.371703,135667.375738,,0.000000,,,,-0.730000,,,-0.652779,-0.730000,,"",,,,"D1 PROFILE",,
"82121200000076","Nodes","76",21.000000,31.341440,"DDS demands","Known Flow",447266.694730,135985.046390,,0.000000,,,,-2.980000,,,-2.664769,-2.980000,,"",,,,"D1 PROFILE",,
