"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82013300000440","Nodes","440","21.000000","23.229232","DDS demands","Known Flow","423956.862518","149391.255861","","0.000000","","","","","","-3.020000","","","","","","","","-2.700538","-3.020000","","","","","","","","D1 PROFILE","","","","","","",""
"82013300001003","Nodes","1003","21.000000","23.415838","DDS demands","Known Flow","423982.765525","149404.515864","","0.000000","","","","","","-2.319999","","","","","","","","-2.074585","-2.319999","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000229","Nodes","229","21.000000","26.041220","DDS demands","Known Flow","423012.795262","148793.985698","","0.000000","-31.999999","","","","","","","","","","","","","-28.614972","-31.999999","","","C1 PROFILE","","","","","","","","","","","",""
"82013300000215","Nodes","215","21.000000","29.574123","DDS demands","Known Flow","423134.648836","148784.512361","","0.000000","-31.999999","","","","","","","","","","","","","-28.614972","-31.999999","","","C1 PROFILE","","","","","","","","","","","",""
"82013300000214","Nodes","214","21.000000","30.135068","DDS demands","Known Flow","423144.368297","148781.171695","","0.000000","","","","","","-11.249999","","","","","","","","-10.059950","-11.249999","","","","","","","","D1 PROFILE","","","","","","",""
"82013300001014","Nodes","1014","21.000000","31.018037","Default Known Flow Node","Known Flow","424082.430836","149180.745602","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000418","Nodes","418","21.000000","30.440538","DDS demands","Known Flow","423955.381518","149031.942763","","0.000000","","","","","","-4.800000","","","","","","","","-4.292246","-4.800000","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000196","Nodes","196","21.000000","28.510843","DDS demands","Known Flow","424305.657613","149065.412772","","0.000000","","","","","","-1.830000","","","","","","","","-1.636418","-1.830000","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000203","Nodes","203","21.000000","28.383322","Default Known Flow Node","Known Flow","424276.044811","149076.825511","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000197","Nodes","197","21.000000","28.335045","DDS demands","Known Flow","424281.933607","149093.487780","","0.000000","","","","","","-4.949999","","","","","","","","-4.426378","-4.949999","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000036","Nodes","36","21.000000","31.210664","DDS demands","Known Flow","423796.953475","148522.311624","","0.000000","","-6.000000","0.000000","","","-4.150000","","","","","","","","-9.076312","-10.150000","","","","C2 PROFILE","C4 PROFILE","","","D1 PROFILE","","","","","","",""
