"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82720900000103","Nodes","103",21.000000,41.286115,"DDS demands","Known Flow",376356.243566,87952.426143,,0.000000,,,,-4.389999,,,,,-3.925616,-4.389999,,"",,,,"D1 PROFILE",,,,
"82720900000104","Nodes","104",21.000000,41.285132,"DDS demands","Known Flow",376340.618562,87960.301145,,0.000000,,,,-0.899999,,,,,-0.804796,-0.899999,,"",,,,"D1 PROFILE",,,,
"82720900000130","Nodes","130, 71751-01, WOODSFORD ROAD, 123.82 scmh",24.000000,33.898586,"CSEP DDS Matched","Known Flow",376541.363642,88884.813839,,0.000000,,,,-9.779999,-123.819995,,,,-119.467503,-133.599995,,"",,,,"D1 PROFILE","DC PROFILE",,,
"82720900001003","Nodes","1003",21.000000,35.444082,"DDS demands","Known Flow",376474.650744,88885.065179,,0.000000,,,,-8.660000,,,,,-7.743927,-8.660000,,"",,,,"D1 PROFILE",,,,
"82720900000129","Nodes","129",21.000000,35.813510,"DDS demands","Known Flow",376518.993610,88783.926369,,0.000000,,,,-5.579999,,,,,-4.989735,-5.579999,,"",,,,"D1 PROFILE",,,,
"82720900001002","Nodes","1002",21.000000,35.711210,"DDS demands","Known Flow",376467.125596,88839.137384,,0.000000,,,,-13.899999,,,,,-12.429627,-13.899999,,"",,,,"D1 PROFILE",,,,
"82720900001001","Nodes","1001",21.000000,35.667862,"DDS demands","Known Flow",376422.445228,88850.497422,,0.000000,,,,-1.490000,,,,,-1.332384,-1.490000,,"",,,,"D1 PROFILE",,,,
"82720900001000","Nodes","1000",21.000000,35.451948,"Default Known Flow Node","Known Flow",376484.967601,88997.294427,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82720900000128","Nodes","128",21.000000,35.742406,"DDS demands","Known Flow",376539.618616,88787.051370,,0.000000,,,,-2.400000,,,,,-2.146123,-2.400000,,"",,,,"D1 PROFILE",,,,
"82720900000126","Nodes","126",21.000000,35.453711,"Default Known Flow Node","Known Flow",376584.493628,88776.176367,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82720900000133","Nodes","133",21.000000,35.453711,"Default Known Flow Node","Known Flow",376614.118636,88785.801370,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82720900000124","Nodes","124",21.000000,35.899158,"DDS demands","Known Flow",376594.730554,88748.671744,,0.000000,,,,-1.519999,,,,,-1.359211,-1.519999,,"",,,,"D1 PROFILE",,,,
"82720900000118","Nodes","118",21.000000,35.310508,"DDS demands","Known Flow",376580.743627,88785.926370,,0.000000,,,,-10.220000,,,,,-9.138907,-10.220000,,"",,,,"D1 PROFILE",,,,
