"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"82622900008026","Nodes","8026",21.000000,32.260393,"Default Known Flow Node","Known Flow",423386.523363,149300.971836,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000006","Nodes","6",21.000000,32.180658,"DDS demands","Known Flow",423389.347364,149310.007839,,0.000000,,,,-10.679999,,,,-9.550247,-10.679999,,,"",,,,"D1 PROFILE",,,,
"82622900008010","Nodes","8010",21.000000,31.974075,"Default Known Flow Node","Known Flow",423437.549483,149354.640007,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000056","Nodes","56",21.000000,31.900628,"DDS demands","Known Flow",423474.224600,149331.812205,,0.000000,-4.190000,,,,,,,-3.746773,-4.190000,,,"C1 PROFILE","C1 PROFILE",,,,,,,
"82622900000069","Nodes","P08116948, Pennings Road, 32.86",22.999998,23.137834,"CSEP DDS Matched","Known Flow",423506.859815,149223.139282,,0.000000,,,,,-32.860001,,,-29.384002,-32.860001,,,"",,,,,"DC PROFILE",,,
"82622900000070","Nodes","70",21.000000,31.292330,"DDS demands","Known Flow",423529.321550,149275.322817,,0.000000,,,-6.730000,-2.059999,,,,-7.860175,-8.790000,,,"",,,"C4 PROFILE","D1 PROFILE",,,,
"82622900000034","Nodes","34",21.000000,29.957901,"DDS demands","Known Flow",422975.338744,149501.929076,,0.000000,,,,-7.280000,,,,-6.509906,-7.280000,,,"",,,,"D1 PROFILE",,,,
"82622900008005","Nodes","8005",21.000000,29.808209,"Default Known Flow Node","Known Flow",422828.718316,149504.196341,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000037","Nodes","37",21.000000,29.676293,"DDS demands","Known Flow",422825.964211,149570.772910,,0.000000,,,,-16.430000,,,,-14.692001,-16.430000,,,"",,,,"D1 PROFILE",,,,
"82622900000057","Nodes","57",21.000000,29.773039,"DDS demands","Known Flow",422894.293229,149639.945928,,0.000000,,,,-8.890000,,,,-7.949597,-8.890000,,,"",,,,"D1 PROFILE",,,,
"82622900000038","Nodes","38",21.000000,29.942219,"DDS demands","Known Flow",422820.846194,149642.265067,,0.000000,,,,-12.479999,,,,-11.159838,-12.479999,,,"",,,,"D1 PROFILE",,,,
"82622900000039","Nodes","39",21.000000,29.634910,"DDS demands","Known Flow",422958.005247,149626.327925,,0.000000,,,,-8.630000,,,,-7.717100,-8.630000,,,"",,,,"D1 PROFILE",,,,
"82622900000044","Nodes","44",21.000000,29.424636,"DDS demands","Known Flow",422896.589278,149499.071869,,0.000000,,,,-13.229999,,,,-11.830502,-13.229999,,,"",,,,"D1 PROFILE",,,,
"82622900008001","Nodes","8001",21.000000,29.627558,"DDS demands","Known Flow",422976.453252,149765.531963,,0.000000,,-4.659999,,,,,,-4.167055,-4.659999,,,"",,"C2 PROFILE",,,,,,
"82622900000041","Nodes","41",21.000000,29.461978,"DDS demands","Known Flow",422968.177249,149613.723921,,0.000000,,,,-2.140000,,,,-1.913626,-2.140000,,,"",,,,"D1 PROFILE",,,,
"82622900000040","Nodes","40",21.000000,29.565053,"DDS demands","Known Flow",422858.229788,149540.459739,,0.000000,,,,-10.280000,,,,-9.192560,-10.280000,,,"",,,,"D1 PROFILE",,,,
"82622900000042","Nodes","42",21.000000,29.503012,"DDS demands","Known Flow",422989.400255,149645.965930,,0.000000,,,,-6.749999,,,,-6.035970,-6.749999,,,"",,,,"D1 PROFILE",,,,
"82622900000019","Nodes","19",21.000000,29.978100,"DDS demands","Known Flow",423144.022093,149541.835534,,0.000000,,,,-9.649999,,,,-8.629202,-9.649999,,,"",,,,"D1 PROFILE",,,,
"82622900000015","Nodes","15",21.000000,29.842594,"DDS demands","Known Flow",423315.752246,149505.938545,,0.000000,,,,-15.819999,,,,-14.146526,-15.819999,,,"",,,,"D1 PROFILE",,,,
"82622900000055","Nodes","55",21.000000,29.437310,"DDS demands","Known Flow",423464.423384,149729.089953,,0.000000,,,,-5.290000,,,,-4.730413,-5.290000,,,"",,,,"D1 PROFILE",,,,
"82622900008002","Nodes","8002",21.000000,29.637032,"Default Known Flow Node","Known Flow",423461.382112,149642.964155,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000052","Nodes","52",21.000000,29.948829,"DDS demands","Known Flow",423222.285319,149573.249910,,0.000000,,,,-4.169999,,,,-3.728888,-4.169999,,,"",,,,"D1 PROFILE",,,,
"82622900000016","Nodes","16",21.000000,29.691774,"DDS demands","Known Flow",423153.416260,149472.596913,,0.000000,,,,-13.749999,,,,-12.295496,-13.749999,,,"",,,,"D1 PROFILE",,,,
"82622900000017","Nodes","17",21.000000,30.010136,"DDS demands","Known Flow",423321.971346,149531.308899,,0.000000,,,,-9.270000,,,,-8.289400,-9.270000,,,"",,,,"D1 PROFILE",,,,
"82622900000018","Nodes","18",21.000000,29.655248,"DDS demands","Known Flow",423418.859324,149512.715846,,0.000000,,,,-10.209999,,,,-9.129964,-10.209999,,,"",,,,"D1 PROFILE",,,,
"82622900000593","Nodes","593",21.000000,27.637431,"Default Known Flow Node","Known Flow",423497.000058,149288.413976,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000002","Nodes","2",21.000000,29.619721,"DDS demands","Known Flow",423455.162052,149554.819810,,0.000000,,,,,,,,0.000000,0.000000,,,"C1 PROFILE",,,,,,,,
"82622900002097","Nodes","2097, TEMP CONNECTION, P13132401,PENNINGS ROAD, SCH 223.75",28.000000,32.059012,"CSEP Unmatched","Known Flow",423389.153189,149321.029217,,0.000000,,,,,,-36.279998,,-32.442223,-36.279998,,,"",,,,,,"DC PROFILE",,
"82622900000003","Nodes","3",21.000000,28.238962,"DDS demands","Known Flow",423252.163287,149703.881233,,0.000000,,,,-13.409999,,,,-11.991461,-13.409999,,,"",,,,"D1 PROFILE",,,,
"82622910000069","Nodes","Logger",21.000000,22.887969,"DDS demands","Known Flow",423500.777564,149205.793460,,0.000000,,,-10.649999,,,,,-9.523420,-10.649999,,,"",,,"C4 PROFILE",,,,,
"82622900000072","Nodes","72",21.000000,29.642928,"Default Known Flow Node","Known Flow",423454.230875,149541.983325,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000187","Nodes","187",21.000000,29.644876,"Default Known Flow Node","Known Flow",422952.012245,149716.858949,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000106","Nodes","106",21.000000,30.090142,"DDS demands","Known Flow",422962.315248,149490.784888,,0.000000,,,,-3.520000,,,,-3.147647,-3.520000,,,"",,,,"D1 PROFILE",,,,
"82622900000108","Nodes","108",21.000000,30.092659,"DDS demands","Known Flow",422969.795250,149424.221870,,0.000000,,,,-17.020000,,,,-15.219588,-17.020000,,,"",,,,"D1 PROFILE",,,,
"82622900000109","Nodes","109",21.000000,30.159138,"DDS demands","Known Flow",423047.873271,149400.974863,,0.000000,,,,-3.720000,,,,-3.326490,-3.720000,,,"",,,,"D1 PROFILE",,,,
"82622900000110","Nodes","P14133712, PLASSEY ROAD CSEP, 70.43 SCMH",25.000000,32.322741,"CSEP Unmatched","Known Flow",423373.051378,149289.331448,,0.000000,,,,,,-35.259997,,-31.530121,-35.259997,,,"",,,,,,"DC PROFILE",,
"82622900000112","Nodes","112",21.000000,32.401839,"DDS demands","Known Flow",423180.222307,149171.458801,,0.000000,,,,-7.369999,,,,-6.590385,-7.369999,,,"",,,,"D1 PROFILE",,,,
"82622900000113","Nodes","113",21.000000,32.406877,"Default Known Flow Node","Known Flow",423198.989312,149180.251803,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000123","Nodes","123",21.000000,32.398000,"Default Known Flow Node","Known Flow",423193.281311,149156.548797,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000125","Nodes","125",21.000000,30.341053,"Default Known Flow Node","Known Flow",423331.082348,149454.460878,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000128","Nodes","128",21.000000,29.359717,"DDS demands","Known Flow",422814.651208,149300.511836,,0.000000,,,,-6.489999,,,,-5.803474,-6.489999,,,"",,,,"D1 PROFILE",,,,
"82622900000129","Nodes","129",21.000000,29.359717,"Default Known Flow Node","Known Flow",422816.020208,149299.121836,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000139","Nodes","139",21.000000,29.377793,"Default Known Flow Node","Known Flow",422869.694223,149377.725857,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000133","Nodes","133",21.000000,30.649719,"Default Known Flow Node","Known Flow",423339.333350,149432.217872,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000134","Nodes","134",21.000000,31.643150,"Default Known Flow Node","Known Flow",423322.243346,149345.875848,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000132","Nodes","132",21.000000,29.377793,"Default Known Flow Node","Known Flow",422871.610223,149375.284856,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000176","Nodes","176",21.000000,30.615595,"Default Known Flow Node","Known Flow",423339.421091,149435.027662,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000107","Nodes","107",21.000000,29.956085,"DDS demands","Known Flow",422990.506255,149514.907894,,0.000000,,,,-6.409999,,,,-5.731936,-6.409999,,,"",,,,"D1 PROFILE",,,,
"82622900000152","Nodes","152",21.000000,31.750495,"Default Known Flow Node","Known Flow",423336.038349,149342.356847,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000145","Nodes","145",21.000000,29.302232,"Default Known Flow Node","Known Flow",423010.301261,149247.368822,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000175","Nodes","175",21.000000,30.170337,"DDS demands","Known Flow",423051.628691,149400.123033,,0.000000,,,,-7.129999,,,,-6.375773,-7.129999,,,"",,,,"D1 PROFILE",,,,
"82622900000127","Nodes","127",21.000000,29.624605,"DDS demands","Known Flow",423059.474274,149569.261909,,0.000000,,,,-8.479999,,,,-7.582967,-8.479999,,,"",,,,"D1 PROFILE",,,,
"82622900000161","Nodes","161",21.000000,30.588987,"Default Known Flow Node","Known Flow",423142.834297,149414.047867,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000165","Nodes","165",21.000000,29.372259,"DDS demands","Known Flow",422868.325222,149259.467825,,0.000000,,,,-7.349999,,,,-6.572501,-7.349999,,,"",,,,"D1 PROFILE",,,,
"82622900000124","Nodes","124",21.000000,32.354005,"Default Known Flow Node","Known Flow",423191.096310,149049.941768,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000170","Nodes","170",21.000000,32.398003,"Default Known Flow Node","Known Flow",423201.323313,149168.534800,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000171","Nodes","171",21.000000,32.310022,"Default Known Flow Node","Known Flow",423251.887327,149110.799784,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000172","Nodes","172",21.000000,29.479651,"Default Known Flow Node","Known Flow",422906.806233,149536.305900,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000173","Nodes","173",21.000000,29.479563,"DDS demands","Known Flow",422907.088233,149538.114901,,0.000000,,,,-4.570000,,,,-4.086576,-4.570000,,,"",,,,"D1 PROFILE",,,,
"82622900000103","Nodes","103",21.000000,29.731609,"Default Known Flow Node","Known Flow",422949.232244,149733.590954,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000184","Nodes","184",21.000000,29.641372,"Default Known Flow Node","Known Flow",422953.850246,149716.185949,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000185","Nodes","185",21.000000,29.633739,"DDS demands","Known Flow",422958.057247,149716.903949,,0.000000,,-4.219999,,-1.039999,,,,-4.703586,-5.259999,,,"",,"C2 PROFILE",,"D1 PROFILE",,,,
