"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82006500001585","Nodes","1585",21.000000,31.762373,"Default Known Flow Node","Known Flow",442309.609605,105404.803644,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500000072","Nodes","72",21.000000,30.819569,"DDS demands","Known Flow",442318.316515,108026.564605,,0.000000,,,,,,,-3.020000,,,,,-2.700538,-3.020000,,"",,,,,,,"D1 PROFILE",,,,
"82006500001100","Nodes","1100",21.000000,30.944379,"Default Known Flow Node","Known Flow",442327.472517,108039.922609,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500000071","Nodes","71",21.000000,31.247199,"DDS demands","Known Flow",442344.556522,108065.216616,,0.000000,-4.999999,,,-2.789999,,,-12.539999,,,,,-18.179449,-20.330000,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,
"82006500000919","Nodes","919",21.000000,30.378110,"DDS demands","Known Flow",442372.011529,108009.806601,,0.000000,-15.999999,,,,,,,,,,,-14.307486,-15.999999,,"","C1 PROFILE",,,,,,,,,,
"82006500000923","Nodes","923",21.000000,30.309366,"DDS demands","Known Flow",442354.777525,108026.075605,,0.000000,-1.429999,,,,,,,,,,,-1.278731,-1.429999,,"","C1 PROFILE",,,,,,,,,,
"82006500001424","Nodes","1424",21.000000,31.987411,"Default Known Flow Node","Known Flow",442401.912274,105333.610103,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500002007","Nodes","2007",21.000000,32.304080,"Default Known Flow Node","Known Flow",442441.497778,105330.522428,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500001427","Nodes","1427",21.000000,32.724839,"Default Known Flow Node","Known Flow",442486.267119,105367.325542,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500001709","Nodes","1709",21.000000,33.100974,"Default Known Flow Node","Known Flow",442214.261486,108285.181675,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500001062","Nodes","1062",21.000000,30.927363,"DDS demands","Known Flow",442263.103691,108306.155981,,0.000000,-4.810000,,,-7.570000,,,-8.339999,,,,,-18.528195,-20.720000,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,
"82006500000951","Nodes","951",21.000000,30.488779,"DDS demands","Known Flow",442282.261505,108306.931681,,0.000000,,,,,,,-2.599999,,,,,-2.324966,-2.599999,,"",,,,,,,"D1 PROFILE",,,,
"82006500000286","Nodes","286",21.000000,35.904451,"DDS demands","Known Flow",441992.840193,106155.049522,,0.000000,,,,,,,-5.719999,,,,,-5.114926,-5.719999,,"",,,,,,,"D1 PROFILE",,,,
"82006500000090","Nodes","90",21.000000,38.402637,"DDS demands","Known Flow",442030.261436,107756.931532,,0.000000,0.000000,,,,,,,,,,,0.000000,0.000000,,"","C1 PROFILE",,,,,,,,,,
"82006500000091","Nodes","91",21.000000,38.248260,"DDS demands","Known Flow",442043.544298,107743.219546,,0.000000,,,,,,,-13.020000,,,,,-11.642717,-13.020000,,"",,,,,,,"D1 PROFILE",,,,
"82006500001308","Nodes","1308",21.000000,36.447358,"Default Known Flow Node","Known Flow",442155.761471,107522.681468,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500001115","Nodes","1115",21.000000,37.120140,"DDS demands","Known Flow",440402.760994,106717.681249,,0.000000,,,,,,,-6.730000,,,,,-6.018086,-6.730000,,"",,,,,,,"D1 PROFILE",,,,
"82006500001099","Nodes","1099",21.000000,37.069398,"DDS demands","Known Flow",440405.416259,106728.058922,,0.000000,,,,,,,-2.570000,,,,,-2.298140,-2.570000,,"",,,,,,,"D1 PROFILE",,,,
"82006500001094","Nodes","1094",21.000000,37.048945,"DDS demands","Known Flow",440396.510992,106774.431264,,0.000000,,,,,,,-1.890000,,,,,-1.690071,-1.890000,,"",,,,,,,"D1 PROFILE",,,,
"82006500000690","Nodes","690",21.000000,38.887578,"DDS demands","Known Flow",440915.886133,107475.431455,,0.000000,,,,,,,-5.369999,,,,,-4.801949,-5.369999,,"",,,,,,,"D1 PROFILE",,,,
"82006500000694","Nodes","694",21.000000,38.900745,"DDS demands","Known Flow",440922.042936,107479.494945,,0.000000,,,,,,,-3.739999,,,,,-3.344374,-3.739999,,"",,,,,,,"D1 PROFILE",,,,
"82006500000691","Nodes","691",21.000000,39.030830,"DDS demands","Known Flow",440943.261141,107437.056445,,0.000000,,,,,,,-1.350000,,,,,-1.207194,-1.350000,,"",,,,,,,"D1 PROFILE",,,,
"82006500000901","Nodes","901",21.000000,37.556735,"Default Known Flow Node","Known Flow",440893.261127,106874.431292,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500000902","Nodes","902",21.000000,37.521561,"Default Known Flow Node","Known Flow",440796.230725,106844.898629,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500001075","Nodes","1075",21.000000,37.523583,"DDS demands","Known Flow",440792.140594,106844.509092,,0.000000,,,,,,,-0.629999,,,,,-0.563357,-0.629999,,"",,,,,,,"D1 PROFILE",,,,
"82006500000678","Nodes","678",21.000000,39.252498,"Default Known Flow Node","Known Flow",440829.261110,107248.931393,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82006500000679","Nodes","679",21.000000,39.226702,"DDS demands","Known Flow",440830.619716,107246.434496,,0.000000,,,,,,,-2.279999,,,,,-2.038816,-2.279999,,"",,,,,,,"D1 PROFILE",,,,
"82006500000680","Nodes","680",21.000000,38.862390,"DDS demands","Known Flow",440866.011120,107220.806386,,0.000000,,,,,,,-5.550000,,,,,-4.962909,-5.550000,,"",,,,,,,"D1 PROFILE",,,,
"82006500000288","Nodes","288",21.000000,35.846954,"DDS demands","Known Flow",441999.138407,106143.357243,,0.000000,,,,,,,-2.750000,,,,,-2.459099,-2.750000,,"",,,,,,,"D1 PROFILE",,,,
