"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82005100009093","Nodes","-127209",21.000000,31.884137,"Default Known Flow Node","Known Flow",368989.952466,89996.229143,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001046","Nodes","1046",21.000000,33.150533,"Default Known Flow Node","Known Flow",368875.066759,90313.235976,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000111","Nodes","111",21.000000,30.426069,"DDS demands","Known Flow",368804.875511,90509.822839,,0.000000,,,,,,,-24.110001,,,,,,,-21.559593,-24.110001,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000110","Nodes","110,",21.000000,33.915041,"DDS demands","Known Flow",368876.099530,90283.694777,,0.000000,-16.819999,,,,,,-9.970000,,,,,,,-23.956096,-26.789998,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"82005100000959","Nodes","959",21.000000,41.552741,"Default Known Flow Node","Known Flow",367594.975182,90110.410730,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000958","Nodes","958",21.000000,41.704595,"Default Known Flow Node","Known Flow",367574.334176,90146.203740,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001043","Nodes","1043",21.000000,31.740993,"Default Known Flow Node","Known Flow",368119.923146,89910.271049,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001045","Nodes","1045",21.000000,31.693719,"Default Known Flow Node","Known Flow",368055.045773,89890.800288,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100009227","Nodes",,21.000000,31.691974,"DDS demands","Known Flow",368042.444303,89917.639677,,0.000000,,-12.050000,,,,,,,,,,,,-10.775325,-12.050000,,"",,"C2 PROFILE",,,,,,,,,,,
"82005100001044","Nodes","1044",21.000000,31.740993,"Default Known Flow Node","Known Flow",368117.552324,89903.066674,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000953","Nodes","953",21.000000,31.627162,"Default Known Flow Node","Known Flow",368588.389441,89876.863079,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001039","Nodes","1039",21.000000,31.951333,"Default Known Flow Node","Known Flow",369128.491599,90856.098933,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001040","Nodes","1040",21.000000,31.951333,"Default Known Flow Node","Known Flow",369126.214389,90813.965167,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
