"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"82017800000081","Nodes","","21.000000","65.650974","DDS demands","Known Flow","490410.401342","107581.047054","","0.000000","","","","","-14.029999","","","-12.545876","-14.029999","","","","","","","D1 PROFILE","",""
"82017800048584","Nodes","","21.000000","65.659727","Default Known Flow Node","Known Flow","490402.206599","107581.143484","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000079","Nodes","","21.000000","66.323596","DDS demands","Known Flow","490475.271954","107623.966458","","0.000000","","","","","-8.779999","","","-7.851233","-8.779999","","","","","","","D1 PROFILE","",""
"82017800000076","Nodes","","21.000000","67.822591","DDS demands","Known Flow","490604.415654","107483.649457","","0.000000","","","","","-10.379999","","","-9.281981","-10.379999","","","","","","","D1 PROFILE","",""
"82017800000011","Nodes","The Anglesey Arms DG","21.000000","69.999999","Default Known Pressure Node","Known Pressure","490947.671747","108108.947627","","359.999986","","","","","","","","7.180570","8.030000","","","","","","","","",""
"82017800000225","Nodes","","21.000000","69.804481","DDS demands","Known Flow","490703.963681","108044.426610","","0.000000","","","","","-1.720000","","","-1.538054","-1.720000","","","","","","","D1 PROFILE","",""
"82017800000244","Nodes","","21.000000","69.384480","Default Known Flow Node","Known Flow","490373.173042","104791.778513","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000243","Nodes","","21.000000","67.076790","DDS demands","Known Flow","489990.704528","104933.411208","","0.000000","","","-9.920000","","","","","-8.870642","-9.920000","","","","","C4 PROFILE","","","",""
"82017800000242","Nodes","","21.000000","67.080711","Default Known Flow Node","Known Flow","489984.413659","104924.575222","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000245","Nodes","","21.000000","69.344198","Default Known Flow Node","Known Flow","490393.681597","104784.265723","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000258","Nodes","","21.000000","69.949788","Default Known Flow Node","Known Flow","490546.095638","106173.293101","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000255","Nodes","","21.000000","57.947028","Default Known Flow Node","Known Flow","490470.072068","106642.825901","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000252","Nodes","","21.000000","57.686356","Default Known Flow Node","Known Flow","490466.102443","106673.307582","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000259","Nodes","","21.000000","55.745768","Default Known Flow Node","Known Flow","490597.567853","106814.107695","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000248","Nodes","","21.000000","57.364838","Default Known Flow Node","Known Flow","490325.466206","106546.183080","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000256","Nodes","","21.000000","57.904234","Default Known Flow Node","Known Flow","490462.274582","106645.287303","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000250","Nodes","","21.000000","69.960900","Default Known Flow Node","Known Flow","490302.661845","106181.227553","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000251","Nodes","","21.000000","69.972349","Default Known Flow Node","Known Flow","490346.162803","106187.458380","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000261","Nodes","","21.000000","69.187408","Default Known Flow Node","Known Flow","490636.300663","107468.876453","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000220","Nodes","","21.000000","59.198342","Default Known Flow Node","Known Flow","490574.800646","106634.683226","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000208","Nodes","","21.000000","69.018479","Default Known Flow Node","Known Flow","490248.329557","105022.441788","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000235","Nodes","","21.000000","67.068378","Default Known Flow Node","Known Flow","489928.169470","105049.607795","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000209","Nodes","","21.000000","69.003290","DDS demands","Known Flow","490315.552575","104972.501774","","0.000000","","","","","-1.409999","","","-1.260847","-1.409999","","","","","","","D1 PROFILE","",""
"82017800000230","Nodes","","21.000000","67.065448","DDS demands","Known Flow","489916.901467","105094.495807","","0.000000","","","","","-0.970000","","","-0.867391","-0.970000","","","","","","","D1 PROFILE","",""
"82017800000062","Nodes","","21.000000","57.723092","DDS demands","Known Flow","490467.438813","106666.283987","","0.000000","","","","","-4.309999","","","-3.854079","-4.309999","","","","","","","D1 PROFILE","",""
"82017800000237","Nodes","","21.000000","57.179503","DDS demands","Known Flow","490257.021948","106387.174189","","0.000000","","","","","-4.800000","","","-4.292246","-4.800000","","","","","","","D1 PROFILE","",""
"82017800000205","Nodes","","21.000000","56.723178","DDS demands","Known Flow","490607.448279","106709.371075","","0.000000","","","","","-11.289999","","","-10.095719","-11.289999","","","","","","","D1 PROFILE","",""
"82017800000239","Nodes","","21.000000","68.530876","Default Known Flow Node","Known Flow","490571.684645","107252.904395","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000238","Nodes","","21.000000","68.449921","Default Known Flow Node","Known Flow","490574.553646","107123.645359","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000240","Nodes","","21.000000","68.530876","Default Known Flow Node","Known Flow","490625.851660","107274.045400","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000302","Nodes","","21.000000","67.080711","Default Known Flow Node","Known Flow","489971.713482","104876.190748","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000306","Nodes","","21.000000","67.951842","DDS demands","Known Flow","490127.460524","104938.251765","","0.000000","-7.940000","","","","-17.889999","","","-23.097648","-25.829999","","","C1 PROFILE","","","","D1 PROFILE","",""
"82017800000301","Nodes","","21.000000","69.657102","Default Known Flow Node","Known Flow","490218.837549","104905.988756","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000314","Nodes","","21.000000","69.384480","Default Known Flow Node","Known Flow","490315.426575","104800.819727","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000315","Nodes","","21.000000","69.384480","Default Known Flow Node","Known Flow","490348.677584","104804.231728","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000319","Nodes","","21.000000","69.384480","Default Known Flow Node","Known Flow","490257.362560","104800.802727","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000303","Nodes","","21.000000","67.080711","Default Known Flow Node","Known Flow","489985.418486","104925.911761","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000320","Nodes","","21.000000","67.080711","Default Known Flow Node","Known Flow","489991.284487","104933.069763","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000322","Nodes","","21.000000","67.068378","Default Known Flow Node","Known Flow","489965.633480","105076.051802","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000336","Nodes","","21.000000","54.359129","Default Known Flow Node","Known Flow","490186.504540","106439.358173","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000395","Nodes","","21.000000","66.985808","Default Known Flow Node","Known Flow","490150.012162","106516.542811","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000340","Nodes","","21.000000","67.633981","Default Known Flow Node","Known Flow","490132.387526","106080.952076","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000342","Nodes","","21.000000","61.081494","DDS demands","Known Flow","490452.059613","106477.405184","","0.000000","","","","","-1.059999","","","-0.947870","-1.059999","","","","","","","D1 PROFILE","",""
"82017800000356","Nodes","","21.000000","64.902958","Default Known Flow Node","Known Flow","490525.903633","106442.118174","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000346","Nodes","","21.000000","57.364838","Default Known Flow Node","Known Flow","490326.796578","106530.195198","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000348","Nodes","","21.000000","57.212996","Default Known Flow Node","Known Flow","490374.429591","106307.681137","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000349","Nodes","","21.000000","57.212996","Default Known Flow Node","Known Flow","490364.435589","106306.351137","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000353","Nodes","","21.000000","69.778837","Default Known Flow Node","Known Flow","490278.876565","106182.656103","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000355","Nodes","","21.000000","64.634441","Default Known Flow Node","Known Flow","490529.480634","106384.619158","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
