"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82012400004253","Nodes","4253",21.000000,48.227168,"DDS demands","Known Flow",465928.392939,103122.930271,,0.000000,,,,,,,-3.069999,,,,,,,-2.745248,-3.069999,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400001560","Nodes","1560",21.000000,34.984263,"Default Known Flow Node","Known Flow",466207.143015,102346.930060,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001557","Nodes","P09120396, 171-173(FLATS 1-8) HIGHLAND ROAD CSEP, 8.4",22.999998,34.776536,"CSEP DDS Matched","Known Flow",466151.314613,98997.867287,,0.000000,,,,,,,,-8.399999,,,,,,-7.511430,-8.399999,,"",,,,,,,,"",,,,,
"82012400006851","Nodes","6851",21.000000,36.235257,"Default Known Flow Node","Known Flow",466371.018060,102316.930051,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400008009","Nodes","8009",21.000000,35.024525,"DDS demands","Known Flow",466224.207644,102344.636125,,0.000000,-119.179999,,,,,,,,,,,,,-106.572891,-119.179999,,"","C1 PROFILE",,,,,,,,,,,,
"82012400000696","Nodes","696",21.000000,34.821355,"DDS demands","Known Flow",465644.823862,102355.539062,,0.000000,,,,,,,-32.229998,,,,,,,-28.820642,-32.229998,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400045154","Nodes","-331562",21.000000,30.421955,"Default Known Flow Node","Known Flow",464364.371605,102076.299352,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400000003","Nodes","3",21.000000,30.908765,"Default Known Flow Node","Known Flow",464396.583730,102011.243248,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400043405","Nodes","-203904",21.000000,29.848892,"Default Known Flow Node","Known Flow",464300.888220,102133.060080,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001749","Nodes","1749",21.000000,36.573539,"DDS demands","Known Flow",465789.425485,99640.785216,,0.000000,,,,,,,-36.049998,,,,,,,-32.236554,-36.049998,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400045540","Nodes","-83924",21.000000,34.659236,"Default Known Flow Node","Known Flow",466087.767983,99578.304306,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400004442","Nodes","4442",21.000000,22.619530,"DDS demands","Known Flow",463177.394072,99494.178585,,0.000000,,,,-9.829999,,,-11.709999,,,,,,,-19.261453,-21.539999,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82012400045788","Nodes","-991562",21.000000,22.618681,"Default Known Flow Node","Known Flow",463176.968191,99493.031283,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400005285","Nodes","5285",21.000000,22.557847,"DDS demands","Known Flow",463136.767180,99370.304250,,0.000000,,,,,,,-11.479999,,,,,,,-10.265620,-11.479999,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400045344","Nodes","-54",21.000000,35.156262,"Default Known Flow Node","Known Flow",466478.768089,98974.679142,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400045479","Nodes","-7751562",21.000000,35.191975,"Default Known Flow Node","Known Flow",466572.139125,98991.045983,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400002532","Nodes","2532",21.000000,35.184697,"DDS demands","Known Flow",466574.268115,98990.804146,,0.000000,-14.770000,,,,,,-25.069998,,,,,,,-35.625639,-39.839997,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"82012400006504","Nodes","6504",21.000000,43.945496,"Default Known Flow Node","Known Flow",465759.267893,103243.055303,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400000113","Nodes","113",21.000000,42.784075,"DDS demands","Known Flow",465403.767797,103282.555314,,0.000000,,,,,,,-10.379999,,,,,,,-9.281981,-10.379999,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400000874","Nodes","874",21.000000,26.773690,"DDS demands","Known Flow",463195.017196,100073.804441,,0.000000,,,,-0.899999,,,,,,,,,,-0.804796,-0.899999,,"",,,,"C4 PROFILE",,,,,,,,,
"82012400045254","Nodes","-4461562",21.000000,26.808357,"Default Known Flow Node","Known Flow",463217.392202,100058.554437,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400000879","Nodes","879",21.000000,26.855999,"Default Known Flow Node","Known Flow",463280.517219,100016.179425,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001021","Nodes","1021",21.000000,39.787382,"Default Known Flow Node","Known Flow",466251.128640,103878.381315,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001016","Nodes","1016",21.000000,39.819194,"Default Known Flow Node","Known Flow",466252.143027,103877.930476,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001023","Nodes","1023",21.000000,39.819194,"Default Known Flow Node","Known Flow",466289.547080,103862.373825,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400002483","Nodes","2483",21.000000,34.817340,"DDS demands","Known Flow",465807.267906,98914.179126,,0.000000,,,,-15.649999,,,-21.629998,,,,,,,-33.336441,-37.279996,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82012400045219","Nodes","-41562",21.000000,34.724323,"Default Known Flow Node","Known Flow",465814.165136,98951.068181,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400045157","Nodes","-3321",21.000000,34.693136,"Default Known Flow Node","Known Flow",465816.477698,98963.436657,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400043060","Nodes","-1276",21.000000,28.781556,"Default Known Flow Node","Known Flow",464814.774291,98246.072549,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400045365","Nodes","-61562",21.000000,28.791376,"Default Known Flow Node","Known Flow",464820.914462,98243.876430,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400006312","Nodes","6312",21.000000,28.818530,"DDS demands","Known Flow",464837.892643,98237.803941,,0.000000,,,,,,,-22.440000,,,,,,,-20.066249,-22.440000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400045308","Nodes","-4953",21.000000,40.107380,"Default Known Flow Node","Known Flow",467655.359965,100264.429022,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400045488","Nodes","-7871562",21.000000,40.107380,"Default Known Flow Node","Known Flow",467665.087705,100271.053790,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400006883","Nodes","6883",21.000000,40.107380,"Default Known Flow Node","Known Flow",467665.268412,100268.554494,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007036","Nodes","7036",21.000000,24.414406,"Default Known Flow Node","Known Flow",463132.868873,99646.994483,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007037","Nodes","7037",21.000000,24.506669,"DDS demands","Known Flow",463168.431360,99647.331797,,0.000000,,,,-9.239999,,,,,,,,,,-8.262573,-9.239999,,"",,,,"C4 PROFILE",,,,,,,,,
"82012400007038","Nodes","7038",21.000000,24.584677,"Default Known Flow Node","Known Flow",463191.431366,99647.549954,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007045","Nodes","7045",21.000000,24.646475,"DDS demands","Known Flow",463201.267197,99655.304327,,0.000000,,,,,,,-4.130000,,,,,,,-3.693120,-4.130000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400007041","Nodes","7041",21.000000,24.949511,"Default Known Flow Node","Known Flow",463216.110819,99693.523080,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007040","Nodes","7040",21.000000,24.835623,"Default Known Flow Node","Known Flow",463216.235863,99671.359017,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007052","Nodes","7052",21.000000,24.661142,"DDS demands","Known Flow",463205.149297,99655.364985,,0.000000,,,,,,,-13.270000,,,,,,,-11.866272,-13.270000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400007042","Nodes","7042",21.000000,25.148633,"Default Known Flow Node","Known Flow",463215.892157,99732.280892,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400007030","Nodes","7030",21.000000,25.262407,"Default Known Flow Node","Known Flow",463215.767201,99754.429354,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
