"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96122805708001","Nodes","THE BULL DG, Site ID 4001,","21.000000","30.000000","Default Known Pressure Node","Known Pressure","592350.560000","139864.535000","","4699.999857","","","","","","288.161687","322.250007","","","","","","",""
"96122805708011","Nodes","5708011","21.000000","29.977909","DDS demands","Known Flow","592361.685000","139882.410000","","0.000000","","-2.710000","-4.389999","","","-6.348946","-7.099999","","","","C4 PROFILE","D1 PROFILE","",""
"96122805708031","Nodes","5708031","21.000000","27.515254","Default Known Flow Node","Known Flow","592812.685000","140236.535000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708024","Nodes","5708024","21.000000","26.240620","DDS demands","Known Flow","592914.185000","140274.753750","","0.000000","","","-2.269999","","","-2.029874","-2.269999","","","","","D1 PROFILE","",""
"96122805708055","Nodes","-321009","21.000000","25.651658","Default Known Flow Node","Known Flow","593090.935000","140262.035000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708013","Nodes","5708013","21.000000","29.646166","DDS demands","Known Flow","592491.810000","139892.410000","","0.000000","","","-1.269999","","","-1.135656","-1.269999","","","","","D1 PROFILE","",""
"96122805708045","Nodes","-320976","21.000000","29.646645","Default Known Flow Node","Known Flow","592488.560000","139891.535000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96122805708012","Nodes","5708012","21.000000","29.826076","DDS demands","Known Flow","592439.935000","139858.160000","","0.000000","","","-0.479999","","","-0.429224","-0.479999","","","","","D1 PROFILE","",""
"96122805708047","Nodes","-320966","21.000000","29.838041","DDS demands","Known Flow","592186.810000","139911.785000","","0.000000","","","-0.869999","","","-0.777969","-0.869999","","","","","D1 PROFILE","",""
"96122805708034","Nodes","-320973","21.000000","29.826057","DDS demands","Known Flow","592438.560000","139855.285000","","0.000000","","","-7.450000","","","-6.661923","-7.450000","","","","","D1 PROFILE","",""
