"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96108800002049","Nodes","2049","21.000000","37.006349","DDS demands","Known Flow","619671.684772","168131.322960","","0.000000","","","","","","","-15.789999","","","","","","","","-14.119700","-15.789999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504021","Nodes","5504021","21.000000","36.907073","DDS demands","Known Flow","619693.059778","168155.197967","","0.000000","","","","","","","-15.899999","","","","","","","","-14.218064","-15.899999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504022","Nodes","5504022","21.000000","36.519099","DDS demands","Known Flow","619787.184803","168250.447992","","0.000000","","","","","","","-6.480000","","","","","","","","-5.794532","-6.480000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002051","Nodes","2051","21.000000","34.095148","DDS demands","Known Flow","619797.434806","168133.947961","","0.000000","","","","","","","-6.989999","","","","","","","","-6.250582","-6.989999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002001","Nodes","2001","21.000000","34.202179","Default Known Flow Node","Known Flow","619905.059835","168021.322930","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002047","Nodes","2047","21.000000","36.322570","DDS demands","Known Flow","619874.184827","168125.947959","","0.000000","","","","","","","-4.269999","","","","","","","","-3.818310","-4.269999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002048","Nodes","2048","21.000000","36.140823","DDS demands","Known Flow","619924.434841","168129.822960","","0.000000","","","","","","","-6.650000","","","","","","","","-5.946549","-6.650000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504023","Nodes","5504023","21.000000","34.213268","DDS demands","Known Flow","619971.559853","168062.322941","","0.000000","","","","","","","-10.069999","","","","","","","","-9.004774","-10.069999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002046","Nodes","2046","21.000000","36.140823","Default Known Flow Node","Known Flow","619920.059839","168125.822959","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108801462929","Nodes","1462929","21.000000","36.097910","Default Known Flow Node","Known Flow","619927.184841","168116.072956","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002033","Nodes","2033","21.000000","36.097910","Default Known Flow Node","Known Flow","619942.934846","168095.947950","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002028","Nodes","2028","21.000000","34.273443","Default Known Flow Node","Known Flow","619978.309855","168054.322939","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108805504109","Nodes","5504109","21.000000","37.708703","DDS demands","Known Flow","619566.809743","168040.197935","","0.000000","-9.130000","","","","","","-3.520000","","","","","","","","-11.311856","-12.650000","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","","",""
"96108800002016","Nodes","2016","21.000000","37.613053","DDS demands","Known Flow","619581.309747","168042.572936","","0.000000","","","","","","","-3.769999","","","","","","","","-3.371201","-3.769999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108801462930","Nodes","1462930","21.000000","36.263252","DDS demands","Known Flow","619883.184829","168319.198011","","0.000000","","","","","","","-7.440000","","","","","","","","-6.652981","-7.440000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504025","Nodes","5504025","21.000000","36.338281","DDS demands","Known Flow","619880.559829","168325.323013","","0.000000","","","","","","","-13.650000","","","","","","","","-12.206074","-13.650000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504026","Nodes","5504026","21.000000","36.157820","DDS demands","Known Flow","619951.676520","168376.470105","","0.000000","","","","","","","-17.739999","","","","","","","","-15.863424","-17.739999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108801462533","Nodes","1462533","21.000000","35.258094","DDS demands","Known Flow","619991.559859","168180.197973","","0.000000","","","","","","","-10.819999","","","","","","","","-9.675437","-10.819999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504067","Nodes","5504067","21.000000","34.291071","DDS demands","Known Flow","619997.559861","168171.947971","","0.000000","","","","","","","-14.550000","","","","","","","","-13.010870","-14.550000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800001991","Nodes","1991","21.000000","34.273443","Default Known Flow Node","Known Flow","619905.934836","168000.697924","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800001999","Nodes","1999","21.000000","34.273443","Default Known Flow Node","Known Flow","619916.574358","168015.801531","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800001981","Nodes","1981","21.000000","30.862230","Default Known Flow Node","Known Flow","620298.309942","167963.447914","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800001969","Nodes","1969","21.000000","30.687069","DDS demands","Known Flow","620298.434942","167939.572908","","0.000000","","","","","","","-12.199999","","","","","","","","-10.909458","-12.199999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108801462943","Nodes","1462943","21.000000","30.971685","Default Known Flow Node","Known Flow","620374.963218","167983.285752","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800001987","Nodes","1987","21.000000","30.971685","Default Known Flow Node","Known Flow","620374.813963","167981.484919","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800001986","Nodes","1986","21.000000","30.971685","Default Known Flow Node","Known Flow","620366.807921","167978.329858","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800005621","Nodes","Logger 5621, Reculver Drive","21.000000","36.058746","Val Log Post","Known Flow","620034.684871","168410.448036","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108805504114","Nodes","5504114","21.000000","36.053235","DDS demands","Known Flow","620038.559872","168407.323035","","0.000000","","","","","","","-7.469999","","","","","","","","-6.679807","-7.469999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504115","Nodes","5504115","21.000000","36.004240","DDS demands","Known Flow","620063.753027","168384.984521","","0.000000","","","","","","","-7.129999","","","","","","","","-6.375773","-7.129999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002133","Nodes","2133","21.000000","35.145742","Default Known Flow Node","Known Flow","620104.384151","168307.797109","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002041","Nodes","2041","21.000000","33.377444","DDS demands","Known Flow","620164.304282","168107.443259","","0.000000","","","","","","","-9.800000","","","","","","","","-8.763336","-9.800000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002144","Nodes","2144","21.000000","31.383765","Default Known Flow Node","Known Flow","620233.809925","168335.698016","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002124","Nodes","2124","21.000000","31.383765","DDS demands","Known Flow","620258.005690","168295.214169","","0.000000","","","","","","","-14.730000","","","","","","","","-13.171829","-14.730000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504077","Nodes","5504077","21.000000","31.247864","DDS demands","Known Flow","620294.914465","168147.732166","","0.000000","","","","","","","-5.440000","","","","","","","","-4.864545","-5.440000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108805504078","Nodes","5504078","21.000000","31.069161","DDS demands","Known Flow","620298.089942","168052.814939","","0.000000","","","","","","","-6.269999","","","","","","","","-5.606746","-6.269999","","","","","","","","","D1 PROFILE","","","","","","",""
"96108801462864","Nodes","1462864","21.000000","31.786246","DDS demands","Known Flow","620326.934950","168273.822999","","0.000000","","","","","","","-5.460000","","","","","","","","-4.882429","-5.460000","","","","","","","","","D1 PROFILE","","","","","","",""
"96108800002115","Nodes","2115","21.000000","31.934631","Default Known Flow Node","Known Flow","620226.306567","168275.293641","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96108800002050","Nodes","2050","21.000000","30.928366","Default Known Flow Node","Known Flow","620386.064966","168131.018960","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
