"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96123105503350","Nodes","5503350","21.000000","65.882439","Default Known Flow Node","Known Flow","615291.810000","167232.445000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503351","Nodes","5503351","21.000000","65.835939","Default Known Flow Node","Known Flow","615412.560000","167273.820000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503347","Nodes","5503347","21.000000","59.490394","Default Known Flow Node","Known Flow","614963.060000","167660.070000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123100006954","Nodes","Logger 6954","21.000000","59.346735","Val Log Cath","Known Flow","614957.185000","167617.570000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503330","Nodes","5503330","21.000000","59.298871","DDS demands","Known Flow","614956.060000","167606.445000","","0.000000","0.000000","","","","0.000000","0.000000","","","D1 PROFILE","","",""
"96123105503364","Nodes","5503364","21.000000","65.901483","DDS demands","Known Flow","615263.560000","167229.820000","","0.000000","-3.349999","","","","-2.995629","-3.349999","","","D1 PROFILE","","",""
"96123105503365","Nodes","5503365","21.000000","65.839773","Default Known Flow Node","Known Flow","615288.560000","167224.070000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503366","Nodes","5503366","21.000000","63.887941","DDS demands","Known Flow","615361.810000","167348.945000","","0.000000","-5.760000","","","","-5.150695","-5.760000","","","D1 PROFILE","","",""
"96123105503370","Nodes","5503370","21.000000","63.938929","Default Known Flow Node","Known Flow","615400.810000","167366.320000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503375","Nodes","5503375","21.000000","65.691671","Default Known Flow Node","Known Flow","615421.185000","167199.445000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503376","Nodes","5503376","21.000000","65.677641","Default Known Flow Node","Known Flow","615432.560000","167183.195000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503379","Nodes","5503379","21.000000","65.664371","Default Known Flow Node","Known Flow","615437.685000","167176.820000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503378","Nodes","5503378","21.000000","65.664466","DDS demands","Known Flow","615436.810000","167184.070000","","0.000000","-9.270000","","","","-8.289400","-9.270000","","","D1 PROFILE","","",""
"96123105503333","Nodes","5503333","21.000000","65.839987","DDS demands","Known Flow","615290.185000","167223.570000","","0.000000","-4.990000","","","","-4.462147","-4.990000","","","D1 PROFILE","","",""
"96123105503309","Nodes","5503309","21.000000","65.796676","DDS demands","Known Flow","615447.310000","167280.570000","","0.000000","-9.239999","","","","-8.262573","-9.239999","","","D1 PROFILE","","",""
"96123105503380","Nodes","5503380","21.000000","65.788999","Default Known Flow Node","Known Flow","615449.685000","167273.445000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503377","Nodes","5503377","21.000000","63.677719","DDS demands","Known Flow","615434.685000","167485.320000","","0.000000","-3.769999","","","","-3.371201","-3.769999","","","D1 PROFILE","","",""
"96123105503319","Nodes","5503319","21.000000","63.957332","DDS demands","Known Flow","615402.185000","167363.695000","","0.000000","-24.260000","","","","-21.693727","-24.260000","","","D1 PROFILE","","",""
"96123105503373","Nodes","5503373","21.000000","65.704756","Default Known Flow Node","Known Flow","615414.935000","167216.445000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503383","Nodes","5503383","21.000000","65.782703","Default Known Flow Node","Known Flow","615459.810000","167276.445000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503374","Nodes","5503374","21.000000","65.694158","Default Known Flow Node","Known Flow","615419.685000","167203.445000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503371","Nodes","5503371","21.000000","65.662189","DDS demands","Known Flow","615407.685000","167170.570000","","0.000000","-1.029999","","","","-0.921044","-1.029999","","","D1 PROFILE","","",""
"96123105503352","Nodes","5503352","21.000000","65.802450","Default Known Flow Node","Known Flow","615450.560000","167282.570000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503381","Nodes","5503381","21.000000","65.789048","Default Known Flow Node","Known Flow","615450.685000","167274.070000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503382","Nodes","5503382","21.000000","65.786089","Default Known Flow Node","Known Flow","615454.060000","167275.945000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123105503316","Nodes","5503316","21.000000","65.825817","DDS demands","Known Flow","615549.060000","167301.070000","","0.000000","-0.950000","","","","-0.849507","-0.950000","","","D1 PROFILE","","",""
"96123105503394","Nodes","5503394","21.000000","65.511309","DDS demands","Known Flow","615576.435000","167210.820000","","0.000000","-9.699999","","","","-8.673912","-9.699999","","","D1 PROFILE","","",""
