"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96110405903086","Nodes","5903086","21.000000","27.356038","DDS demands","Known Flow","572297.298913","154503.216325","","0.000000","","","","","","","-53.360001","","-6.000000","","","","","","-53.080774","-59.360002","","","","","","","","","D1 PROFILE","","I2 PROFILE","","","","",""
"96110459917618","Nodes","-85","21.000000","28.163432","Default Known Flow Node","Known Flow","572446.796924","154486.194247","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903079","Nodes","5903079","21.000000","29.713181","DDS demands","Known Flow","572595.544104","154491.672999","","0.000000","","","","","","","-8.749999","","","","","","","","-7.824406","-8.749999","","","","","","","","","D1 PROFILE","","","","","","",""
"96110459917636","Nodes","-90","21.000000","29.658267","Default Known Flow Node","Known Flow","572611.171969","154489.569248","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459914058","Nodes","-243","21.000000","27.395544","Default Known Flow Node","Known Flow","572715.796997","154928.694367","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903101","Nodes","5903101","21.000000","27.361134","DDS demands","Known Flow","572703.921994","154972.444379","","0.000000","","","","","","","-7.250000","","","","","","","","-6.483080","-7.250000","","","","","","","","","D1 PROFILE","","","","","","",""
"96110405903064","Nodes","5903064","21.000000","28.384629","DDS demands","Known Flow","573117.712950","154669.724757","","0.000000","","","","","","","-9.159999","","","","","","","","-8.191036","-9.159999","","","","","","","","","D1 PROFILE","","","","","","",""
"96110459913491","Nodes","-152","21.000000","28.583725","Default Known Flow Node","Known Flow","573139.172112","154653.194293","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903068","Nodes","5903068","21.000000","31.956161","DDS demands","Known Flow","572776.422013","154469.694243","","0.000000","","","","","","","-12.550000","","","","","","","","-11.222435","-12.550000","","","","","","","","","D1 PROFILE","","","","","","",""
"96110459917571","Nodes","-77","21.000000","31.694526","Default Known Flow Node","Known Flow","572814.422024","154480.694246","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110400017151","Nodes","","21.000000","27.597711","Default Known Flow Node","Known Flow","572830.675028","154753.618320","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110400017100","Nodes","","21.000000","27.599421","Default Known Flow Node","Known Flow","572831.327028","154750.062319","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459913909","Nodes","-223","21.000000","27.670044","Default Known Flow Node","Known Flow","572837.172030","154853.444347","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459913886","Nodes","-216","21.000000","27.751858","Default Known Flow Node","Known Flow","572879.922042","154836.819343","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459914004","Nodes","-236","21.000000","27.757965","Default Known Flow Node","Known Flow","572855.297035","154898.819359","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459912754","Nodes","-1463224","21.000000","27.757965","Default Known Flow Node","Known Flow","572868.297038","154893.819358","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459917585","Nodes","-79","21.000000","31.667446","Default Known Flow Node","Known Flow","572815.547024","154482.194246","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110400017157","Nodes","","21.000000","31.664760","Default Known Flow Node","Known Flow","572815.817956","154482.274013","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903069","Nodes","5903069","21.000000","30.729114","Default Known Flow Node","Known Flow","572926.797054","154520.694256","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459913875","Nodes","-213","21.000000","27.534058","Default Known Flow Node","Known Flow","573053.047089","154828.069340","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459913861","Nodes","-208","21.000000","27.403003","Default Known Flow Node","Known Flow","573105.922103","154817.069337","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903097","Nodes","5903097","21.000000","27.779173","DDS demands","Known Flow","572893.547045","154831.694341","","0.000000","","","","","","","-27.440001","","","","","","","","-24.537340","-27.440001","","","","","","","","","D1 PROFILE","","","","","","",""
"96110459913872","Nodes","-212","21.000000","27.822981","Default Known Flow Node","Known Flow","572908.047049","154825.194339","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459914011","Nodes","-237","21.000000","27.794670","Default Known Flow Node","Known Flow","572939.776445","154898.797726","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903096","Nodes","5903096","21.000000","27.918143","DDS demands","Known Flow","572947.672060","154795.319331","","0.000000","","","","","","","-8.819999","","","","","","","","-7.887001","-8.819999","","","","","","","","","D1 PROFILE","","","","","","",""
"96110400017177","Nodes","","21.000000","30.082426","Default Known Flow Node","Known Flow","572994.597073","154539.969262","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459912137","Nodes","-113","21.000000","30.070317","Default Known Flow Node","Known Flow","572996.547073","154540.944262","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459917590","Nodes","-81","21.000000","31.664643","Default Known Flow Node","Known Flow","572815.259915","154482.961040","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903072","Nodes","5903072","21.000000","27.485713","DDS demands","Known Flow","572969.510713","154636.928441","","0.000000","","","","","","","-16.950000","","","","","","","","-15.156994","-16.950000","","","","","","","","","D1 PROFILE","","","","","","",""
"96110405903070","Nodes","5903070","21.000000","27.472584","DDS demands","Known Flow","572996.297073","154568.569270","","0.000000","","","","","","","-15.800000","","","","","","","","-14.128643","-15.800000","","","","","","","","","D1 PROFILE","","","","","","",""
"96110400017206","Nodes","","21.000000","27.513886","Default Known Flow Node","Known Flow","572722.876999","154820.652338","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110400017218","Nodes","","21.000000","27.184381","Default Known Flow Node","Known Flow","572703.956139","154630.499431","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903059","Nodes","5903059","21.000000","27.795434","DDS demands","Known Flow","572933.047056","154893.194358","","0.000000","","","","","","","-27.189999","","","","","","","","-24.313783","-27.189999","","","","","","","","","D1 PROFILE","","","","","","",""
"96110405903080","Nodes","5903080","21.000000","29.607634","Default Known Flow Node","Known Flow","572642.421181","154485.438222","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110400017191","Nodes","","21.000000","29.690206","Default Known Flow Node","Known Flow","572706.337994","154495.224250","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110400017216","Nodes","","21.000000","28.510395","Default Known Flow Node","Known Flow","572765.496731","154622.051330","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110400017118","Nodes","","21.000000","27.697831","Default Known Flow Node","Known Flow","572774.792013","154666.411296","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903089","Nodes","5903089","21.000000","27.184754","DDS demands","Known Flow","572706.404816","154628.049714","","0.000000","","","","","","","-13.430000","","","","","","","","-12.009346","-13.430000","","","","","","","","","D1 PROFILE","","","","","","",""
"96110405903078","Nodes","5903078","21.000000","32.161035","Default Known Flow Node","Known Flow","572705.774325","154464.297699","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459913226","Nodes","-1464132","21.000000","32.161035","Default Known Flow Node","Known Flow","572708.546995","154464.194241","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459914593","Nodes","-324","21.000000","25.881902","Default Known Flow Node","Known Flow","572539.779686","155263.446890","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459914470","Nodes","-307","21.000000","25.794540","Default Known Flow Node","Known Flow","572627.171973","155169.694433","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459914205","Nodes","-264","21.000000","26.853766","Default Known Flow Node","Known Flow","572704.295457","155016.144439","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459913152","Nodes","-1464000","21.000000","26.853766","Default Known Flow Node","Known Flow","572710.796996","155015.944391","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110405903105","Nodes","5903105","21.000000","26.897800","DDS demands","Known Flow","572627.421973","155030.069395","","0.000000","","","","","","","-5.010000","","","","","","","","-4.480031","-5.010000","","","","","","","","","D1 PROFILE","","","","","","",""
"96110400000061","Nodes","","21.000000","26.853766","Default Known Flow Node","Known Flow","572676.205614","155017.694392","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96110459914454","Nodes","-305","21.000000","25.753230","Default Known Flow Node","Known Flow","572619.171971","155165.444432","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
