"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)"
"96113406701254","Nodes","6701254","21.000000","30.650843","DDS demands","Known Flow","557485.165000","145168.185000","","0.000000","-9.419999","-8.423532","-9.419999","","","D1 PROFILE"
"96113406701291","Nodes","-396996","21.000000","30.566438","DDS demands","Known Flow","557503.790000","145185.185000","","0.000000","-4.280000","-3.827252","-4.280000","","","D1 PROFILE"
"96113406701208","Nodes","6701208","21.000000","25.934587","DDS demands","Known Flow","558116.790000","145554.310000","","0.000000","-6.159999","-5.508382","-6.159999","","","D1 PROFILE"
"96113406701177","Nodes","6701177","21.000000","25.895772","DDS demands","Known Flow","558014.227500","145548.153750","","0.000000","-7.230000","-6.465195","-7.230000","","","D1 PROFILE"
"96113406701205","Nodes","6701205","21.000000","25.939561","Default Known Flow Node","Known Flow","557928.540000","145533.560000","","0.000000","","0.000000","0.000000","","",""
"96113406701255","Nodes","6701255","21.000000","31.421898","DDS demands","Known Flow","557545.915000","145285.685000","","0.000000","-5.260000","-4.703586","-5.260000","","","D1 PROFILE"
"96113406701256","Nodes","6701256","21.000000","31.505918","Default Known Flow Node","Known Flow","557570.290000","145320.810000","","0.000000","","0.000000","0.000000","","",""
"96113406701257","Nodes","6701257","21.000000","31.577803","DDS demands","Known Flow","557575.290000","145327.185000","","0.000000","-3.299999","-2.950918","-3.299999","","","D1 PROFILE"
"96113406701261","Nodes","-134166","21.000000","33.581521","DDS demands","Known Flow","557585.540000","145397.185000","","0.000000","-5.110000","-4.569453","-5.110000","","","D1 PROFILE"
"96113406701036","Nodes","6701036","21.000000","33.607385","DDS demands","Known Flow","557597.165000","145410.185000","","0.000000","-4.639999","-4.149170","-4.639999","","","D1 PROFILE"
"96113406701037","Nodes","6701037","21.000000","33.779326","DDS demands","Known Flow","557660.540000","145460.060000","","0.000000","-9.379999","-8.387763","-9.379999","","","D1 PROFILE"
"96113406701264","Nodes","-134177","21.000000","30.624698","DDS demands","Known Flow","557691.665000","145478.310000","","0.000000","-1.019999","-0.912102","-1.019999","","","D1 PROFILE"
"96113406701080","Nodes","6701080","21.000000","30.750803","DDS demands","Known Flow","557739.540000","145418.310000","","0.000000","-3.069999","-2.745248","-3.069999","","","D1 PROFILE"
"96113406701245","Nodes","6701245","21.000000","33.063124","DDS demands","Known Flow","557750.165000","145193.560000","","0.000000","-4.079999","-3.648408","-4.079999","","","D1 PROFILE"
"96113406701244","Nodes","6701244","21.000000","33.079604","Default Known Flow Node","Known Flow","557735.915000","145192.685000","","0.000000","","0.000000","0.000000","","",""
