"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"96111706104018","Nodes","6104018","21.000000","26.394750","DDS demands","Known Flow","566303.045252","148435.817601","","0.000000","","","","","-16.049999","","","-14.352197","-16.049999","","","","","","","D1 PROFILE","",""
"96111706104017","Nodes","6104017","21.000000","25.347580","DDS demands","Known Flow","566362.898551","148316.073554","","0.000000","","","","","-6.999999","","","-6.259525","-6.999999","","","","","","","D1 PROFILE","",""
"96111706104042","Nodes","6104042","21.000000","25.399090","DDS demands","Known Flow","567040.120557","148564.640181","","0.000000","","","","-5.310000","-24.769999","","","-26.898074","-30.079999","","","","","","C4 PROFILE","D1 PROFILE","",""
"96111700004758","Nodes","Logger 4758, 57 Old Road","21.000000","25.848203","Val Log Cath","Known Flow","567064.498152","148576.332133","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111701394546","Nodes","-1394546","21.000000","26.989563","Default Known Flow Node","Known Flow","567095.915468","148593.135644","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104059","Nodes","6104059","21.000000","34.650129","DDS demands","Known Flow","567294.972402","148978.078898","","0.000000","","","","","-6.869999","","","-6.143277","-6.869999","","","","","","","D1 PROFILE","",""
"96111700004757","Nodes","Logger 4757, 82 Hale Street","21.000000","27.785259","Val Log Cath","Known Flow","567290.011565","149003.313540","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111700383522","Nodes","-383522","21.000000","27.785259","Default Known Flow Node","Known Flow","567278.787047","149063.316107","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104038","Nodes","6104038","21.000000","25.150725","DDS demands","Known Flow","566527.878400","148365.641025","","0.000000","","","","","-4.190000","","","-3.746773","-4.190000","","","","","","","D1 PROFILE","",""
"96111700004756","Nodes","Logger 4756, 94 Snoll Hatch Road","21.000000","25.150194","Val Log Cath","Known Flow","566463.873686","148319.867216","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104016","Nodes","6104016","21.000000","25.124300","DDS demands","Known Flow","566427.166500","148300.879127","","0.000000","","","","","-20.879998","","","-18.671268","-20.879998","","","","","","","D1 PROFILE","",""
"96111706104033","Nodes","6104033","21.000000","28.498504","DDS demands","Known Flow","566708.170362","148671.817665","","0.000000","-4.659999","","","","-24.459999","-9.359999","","-26.039625","-29.120000","","","C1 PROFILE","","","","D1 PROFILE","DH PROFILE",""
"96111700004755","Nodes","Logger 4755, op 5 Old Road","21.000000","26.646792","Val Log Cath","Known Flow","566748.098264","148630.119585","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104081","Nodes","6104081","21.000000","25.975779","DDS demands","Known Flow","566762.295377","148614.692649","","0.000000","","","","","-2.289999","","","-2.047759","-2.289999","","","","","","","D1 PROFILE","",""
"96111706104083","Nodes","6104083","21.000000","25.500813","DDS demands","Known Flow","566717.545365","148566.067636","","0.000000","","","","","-27.079999","","","-24.215419","-27.079999","","","","","","","D1 PROFILE","",""
"96111706104085","Nodes","6104085","21.000000","25.163927","DDS demands","Known Flow","566386.670275","148284.192559","","0.000000","","","","","-9.659999","","","-8.638144","-9.659999","","","","","","","D1 PROFILE","",""
"96111706104066","Nodes","6104066","21.000000","28.345699","DDS demands","Known Flow","567284.545519","149263.817826","","0.000000","","","","","-5.500000","","","-4.918198","-5.500000","","","","","","","D1 PROFILE","",""
"96111706104014","Nodes","6104014","21.000000","28.238870","DDS demands","Known Flow","567278.345842","149244.668875","","0.000000","","","","","-9.890000","","","-8.843815","-9.890000","","","","","","","D1 PROFILE","",""
"96111706104015","Nodes","6104015","21.000000","27.828650","DDS demands","Known Flow","567276.545517","149098.317781","","0.000000","","","","-10.050000","-11.249999","","","-19.046840","-21.299998","","","","","","C4 PROFILE","D1 PROFILE","",""
"96111700176492","Nodes","-176492","21.000000","25.120338","Default Known Flow Node","Known Flow","566378.670273","148208.942539","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104041","Nodes","6104041","21.000000","24.760654","DDS demands","Known Flow","566892.920413","148459.817607","","0.000000","","","-2.289999","","-13.979999","","","-14.548924","-16.269999","","","","","C3 PROFILE","","D1 PROFILE","",""
"96111700176559","Nodes","-176559","21.000000","24.760654","Default Known Flow Node","Known Flow","566886.795411","148464.692609","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111700362646","Nodes","-362646","21.000000","27.364796","Default Known Flow Node","Known Flow","567423.045557","148157.067525","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104079","Nodes","6104079","21.000000","27.364796","DDS demands","Known Flow","567420.420556","148175.567530","","0.000000","","","","","-3.489999","","-57.799997","-54.806614","-61.289998","","","","","","","D1 PROFILE","","I2 PROFILE"
"96111700362647","Nodes","-362647","21.000000","29.485080","Default Known Flow Node","Known Flow","567430.045559","148314.817568","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111700362639","Nodes","-362639","21.000000","29.441829","Default Known Flow Node","Known Flow","567409.545553","148369.192583","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104077","Nodes","6104077","21.000000","29.510523","DDS demands","Known Flow","567433.545560","148315.692568","","0.000000","","","","","-7.109999","","-6.000000","-11.723197","-13.110000","","","","","","","D1 PROFILE","","I2 PROFILE"
"96111706104078","Nodes","6104078","21.000000","29.523195","DDS demands","Known Flow","567446.413021","148319.344145","","0.000000","-47.419996","","","","-6.869999","","-19.990000","-66.422501","-74.279996","","","C1 PROFILE","","","","D1 PROFILE","","I2 PROFILE"
"96111700362634","Nodes","-362634","21.000000","29.043136","Default Known Flow Node","Known Flow","567395.295549","148289.317561","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111700362633","Nodes","-362633","21.000000","29.161834","Default Known Flow Node","Known Flow","567391.420548","148305.692565","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111700362635","Nodes","-362635","21.000000","29.230694","Default Known Flow Node","Known Flow","567400.920551","148307.942566","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104080","Nodes","6104080","21.000000","28.687790","DDS demands","Known Flow","567408.170553","148234.317546","","0.000000","-3.829999","","","","","","-5.780000","-8.593434","-9.609999","","","C1 PROFILE","","","","","","I2 PROFILE"
"96111700362642","Nodes","-362642","21.000000","29.341033","Default Known Flow Node","Known Flow","567416.045555","148311.942567","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104056","Nodes","6104056","21.000000","29.857183","DDS demands","Known Flow","567435.545560","148440.442602","","0.000000","0.000000","","","","-4.530000","","-15.209999","-17.651861","-19.739999","","","C1 PROFILE","","","","D1 PROFILE","","I2 PROFILE"
"96111700362653","Nodes","-362653","21.000000","29.852630","Default Known Flow Node","Known Flow","567438.170561","148441.192602","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111700362657","Nodes","-362657","21.000000","29.514379","Default Known Flow Node","Known Flow","567456.420566","148325.192571","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111700362659","Nodes","-362659","21.000000","29.523195","Default Known Flow Node","Known Flow","567473.170571","148226.567544","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111700176472","Nodes","-176472","21.000000","27.402719","Default Known Flow Node","Known Flow","566197.545223","148771.817692","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96111706104019","Nodes","6104019","21.000000","27.359271","DDS demands","Known Flow","566208.045226","148692.317671","","0.000000","","","","-5.769999","-8.850000","","","-13.073466","-14.619999","","","","","","C4 PROFILE","D1 PROFILE","",""
