"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96113000011358","Nodes","11358,","21.000000","20.933277","Default Known Flow Node","Known Flow","559992.168535","149345.067848","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006703018","Nodes","6703018,","21.000000","20.800929","DDS demands","Known Flow","559970.418529","149307.067838","","0.000000","","","","","","-27.170000","","","","","","","","","","-24.295899","-27.170000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113006702187","Nodes","6702187,","21.000000","25.910790","DDS demands","Known Flow","559530.117410","149149.867968","","0.000000","","","","","","-23.540001","","","","","","","","","","-21.049891","-23.540001","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010227","Nodes","10227,","21.000000","28.623988","Default Known Flow Node","Known Flow","559557.043417","149006.692756","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006702183","Nodes","6702183,","21.000000","28.028068","DDS demands","Known Flow","559581.334209","149054.860628","","0.000000","","","","","","-28.969998","","","","","","","","","","-25.905491","-28.969998","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010751","Nodes","10751,","21.000000","28.097300","Default Known Flow Node","Known Flow","559577.708321","149047.736078","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010741","Nodes","10741,","21.000000","27.558138","Default Known Flow Node","Known Flow","559610.084993","149110.673336","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006702184","Nodes","6702184,","21.000000","27.450993","DDS demands","Known Flow","559616.293433","149123.567788","","0.000000","","","","","","-15.079999","","","","","","","","","","-13.484805","-15.079999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010731","Nodes","10731,","21.000000","21.587309","Default Known Flow Node","Known Flow","559743.418467","149209.317811","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010733","Nodes","10733,","21.000000","21.529482","Default Known Flow Node","Known Flow","559765.668473","149192.817807","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
