"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96123205902312","Nodes","5902312","21.000000","26.135530","DDS demands","Known Flow","574953.225000","143982.880000","","0.000000","","","","","-12.300000","","","-10.998880","-12.300000","","","","","","","D1 PROFILE","",""
"96123205902361","Nodes","5902361","21.000000","31.226016","Default Known Flow Node","Known Flow","575054.600000","144465.130000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96123205902150","Nodes","5902150","21.000000","31.294979","DDS demands","Known Flow","575063.725000","144465.380000","","0.000000","","","","0.000000","-10.150000","","","-9.076311","-10.150000","","","","","","C4 PROFILE","D1 PROFILE","",""
"96123205902316","Nodes","5902316","21.000000","31.043581","Default Known Flow Node","Known Flow","575055.725000","144441.005000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96123205902315","Nodes","5902315","21.000000","31.226016","Default Known Flow Node","Known Flow","575053.600000","144481.630000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96123205902007","Nodes","SELBY OAST DG,","21.000000","30.000000","Default Known Pressure Node","Known Pressure","575334.975000","144484.880000","","99999.988879","","","","","","","","10.757440","12.030000","","","","","","","","",""
"96123205902146","Nodes","5902146","21.000000","29.971050","DDS demands","Known Flow","575331.225000","144486.380000","","0.000000","","","","","-5.090000","","","-4.551569","-5.090000","","","","","","","D1 PROFILE","",""
"96123205902317","Nodes","5902317","21.000000","29.643852","DDS demands","Known Flow","575282.975000","144386.380000","","0.000000","","","","","-6.939999","","","-6.205872","-6.939999","","","","","","","D1 PROFILE","",""
"96123205902330","Nodes","5902330","21.000000","32.804651","DDS demands","Known Flow","574860.350000","144465.005000","","0.000000","","","","","-13.510000","","","-12.080884","-13.510000","","","","","","","D1 PROFILE","",""
"96123205902144","Nodes","5902144","21.000000","32.268010","DDS demands","Known Flow","575003.975000","144541.036250","","0.000000","","","","","-12.159999","","","-10.873689","-12.159999","","","","","","","D1 PROFILE","",""
