"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96115007314068","Nodes","-328899","21.000000","25.506184","Default Known Flow Node","Known Flow","583733.680000","177667.520000","","0.000000","","","-3.199999","","","","-2.861497","-3.199999","","","","","D1 PROFILE","","",""
"96115007314071","Nodes","-328905","21.000000","25.121164","Default Known Flow Node","Known Flow","583806.555000","177712.895000","","0.000000","","","-9.630000","","","","-8.611318","-9.630000","","","","","D1 PROFILE","","",""
"96115007314036","Nodes","7314036","21.000000","25.942886","DDS demands","Known Flow","583817.055000","177711.020000","","0.000000","","","-2.730000","","","","-2.441214","-2.730000","","","","","D1 PROFILE","","",""
"96115007314070","Nodes","-328904","21.000000","25.126710","Default Known Flow Node","Known Flow","583804.430000","177820.020000","","0.000000","","","-16.469999","","","","-14.727768","-16.469999","","","","","D1 PROFILE","","",""
"96115000001003","Nodes","Logger 1003","21.000000","26.687553","Val Log Post","Known Flow","583873.930000","177752.895000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314072","Nodes","-328907","21.000000","25.769023","Default Known Flow Node","Known Flow","583833.430000","177730.270000","","0.000000","","","-8.899999","","","","-7.958538","-8.899999","","","","","D1 PROFILE","","",""
"96115007314015","Nodes","7314015","21.000000","25.843900","DDS demands","Known Flow","583860.680000","177822.645000","","0.000000","","","-9.520000","","","","-8.512955","-9.520000","","","","","D1 PROFILE","","",""
"96115007314053","Nodes","7314053","21.000000","27.296431","DDS demands","Known Flow","583860.430000","177593.270000","","0.000000","","","-7.739999","","","","-6.921246","-7.739999","","","","","D1 PROFILE","","",""
"96115007314075","Nodes","-328913","21.000000","27.237587","Default Known Flow Node","Known Flow","583863.555000","177633.020000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314013","Nodes","7314013","21.000000","26.340874","DDS demands","Known Flow","583869.430000","177772.520000","","0.000000","","","-4.439999","","","","-3.970327","-4.439999","","","","","D1 PROFILE","","",""
"96115007314041","Nodes","7314041","21.000000","25.843806","DDS demands","Known Flow","583917.805000","177840.520000","","0.000000","","","-4.460000","","","","-3.988211","-4.460000","","","","","D1 PROFILE","","",""
"96115007314038","Nodes","7314038","21.000000","27.184828","DDS demands","Known Flow","583863.680000","177668.895000","","0.000000","","","-2.789999","","","","-2.494867","-2.789999","","","","","D1 PROFILE","","",""
"96115007314039","Nodes","7314039","21.000000","27.182235","Default Known Flow Node","Known Flow","583863.680000","177678.645000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314078","Nodes","-328921","21.000000","27.071428","Default Known Flow Node","Known Flow","583898.555000","177681.770000","","0.000000","","","-5.209999","","","","-4.658875","-5.209999","","","","","D1 PROFILE","","",""
