"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96114000004432","Nodes","-4432","21.000000","31.226515","Default Known Flow Node","Known Flow","576180.172940","170063.698486","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000001461","Nodes","-1461","21.000000","27.234041","Default Known Flow Node","Known Flow","575661.422798","161969.821283","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000001459","Nodes","-1459","21.000000","27.234041","Default Known Flow Node","Known Flow","575672.672802","161962.446281","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114007309280","Nodes","","21.000000","30.715133","DDS demands","Known Flow","574160.145467","167280.711244","","0.000000","","","","","","","-0.739999","","","","","","","","-0.661721","-0.739999","","","","","","","","","D1 PROFILE","","","","","","",""
"96114007309101","Nodes","","21.000000","31.421926","DDS demands","Known Flow","574161.580282","167282.116795","","0.000000","","","","","","","-0.479999","","","","","","","","-0.429224","-0.480000","","","","","","","","","D1 PROFILE","","","","","","",""
"96114007309094","Nodes","7309094","21.000000","30.352114","DDS demands","Known Flow","574091.922371","167310.947737","","0.000000","","","","","","","-49.919996","","","","","","","","-44.639356","-49.919996","","","","","","","","","D1 PROFILE","","","","","","",""
"96114000400001","Nodes","-96114001","21.000000","30.686413","Default Known Flow Node","Known Flow","574157.172121","167282.195319","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000056398","Nodes","P12130593, ROCHESTER RIVERSIDE (CP1) Doust Way, -17.72scmh","22.999998","28.115584","CSEP Unmatched","Known Flow","574879.197686","168146.866405","","0.000000","","","","","","","","","","","","","-17.719999","","-15.845541","-17.719999","","","","","","","","","","","","","","","DC PROFILE",""
"96114007016049","Nodes","7016049","21.000000","31.994751","DDS demands","Known Flow","576423.798006","168662.073104","","0.000000","-10.419999","","","","","","-26.370000","","","","","","","","-32.898276","-36.789999","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","","",""
"96114000004173","Nodes","-4173","21.000000","32.516597","Default Known Flow Node","Known Flow","576365.172990","168712.948118","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000063795","Nodes","-63795","21.000000","32.214137","Default Known Flow Node","Known Flow","576398.049476","168687.202862","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000004577","Nodes","MAXIMO 349190","21.000000","32.122012","Point Loads","Known Flow","574882.350554","165097.581590","","0.000000","","","","","","","","","","","","-1218.459996","","","-1089.568772","-1218.459996","","","","","","","","","","","","","","PL-AF PROFILE","",""
"96114001465509","Nodes","-1465509","21.000000","32.399874","Default Known Flow Node","Known Flow","576996.215319","162509.514683","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114007013164","Nodes","7013164","21.000000","27.051698","DDS demands","Known Flow","581172.704062","163472.758695","","0.000000","","","","","","","-21.950001","","","","","","","","-19.628084","-21.950001","","","","","","","","","D1 PROFILE","","","","","","",""
"96114000563321","Nodes","-563321","21.000000","27.013278","Default Known Flow Node","Known Flow","581228.049313","163500.571700","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000009786","Nodes","-9786","21.000000","27.040834","Default Known Flow Node","Known Flow","581253.299320","163513.821704","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114001062599","Nodes","-62599","21.000000","29.280548","Default Known Flow Node","Known Flow","576974.737156","162441.001412","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000063299","Nodes","P12129293, RUXTON SQUARE/CAZENEUVE STREET, -43.39SCMH","25.000000","33.294648","CSEP Unmatched","Known Flow","574464.105823","168054.189660","","0.000000","","","","","","","","","","","","","-43.389998","","-38.800112","-43.389998","","","","","","","","","","","","","","","DC PROFILE",""
"96114000056321","Nodes","-56321","21.000000","29.236034","Default Known Flow Node","Known Flow","576979.399157","162451.118414","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000004546","Nodes","-4546","21.000000","29.280548","Default Known Flow Node","Known Flow","577054.476798","162404.495603","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114007301257","Nodes","7301257","21.000000","29.531946","DDS demands","Known Flow","577210.836220","162496.296427","","0.000000","","","","","","","-8.430000","","","","","","","","-7.538257","-8.430000","","","","","","","","","D1 PROFILE","","","","","","",""
"96114007303134","Nodes","7303134","21.000000","26.178592","DDS demands","Known Flow","575078.547640","167173.197699","","0.000000","","","","","","","-50.440000","","","","","","","","-45.104352","-50.440000","","","","","","","","","D1 PROFILE","","","","","","",""
"96114007303022","Nodes","7303022","21.000000","26.639750","DDS demands","Known Flow","575189.562583","167367.203206","","0.000000","","","","","","","-47.180002","","","","","","","","-42.189203","-47.180002","","","","","","","","","D1 PROFILE","","","","","","",""
"96114004905318","Nodes","-4905318","21.000000","27.349011","Default Known Flow Node","Known Flow","575267.239115","167496.834625","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000466678","Nodes","-466678","21.000000","28.616575","Default Known Flow Node","Known Flow","575331.759370","165426.045051","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000566678","Nodes","-566678","21.000000","28.616575","Default Known Flow Node","Known Flow","575329.935351","165427.583195","","0.000000","","","","","","","-38.620000","","","","","","","","-34.534695","-38.620000","","","","","","","","","D1 PROFILE","","","","","","",""
"96114007303173","Nodes","7303173","21.000000","28.300158","DDS demands","Known Flow","575388.230011","165557.921957","","0.000000","","","","","","","-11.279999","","","","","","","","-10.086777","-11.279999","","","","","","","","","D1 PROFILE","","","","","","",""
"96114007303172","Nodes","7303172","21.000000","29.236943","DDS demands","Known Flow","575270.797692","165301.447190","","0.000000","","","","","","","-37.140000","","","","","","","","-33.211252","-37.140000","","","","","","","","","D1 PROFILE","","","","","","",""
"96114000000490","Nodes","-490","21.000000","28.662674","Default Known Flow Node","Known Flow","574853.797579","164360.446934","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96114000555693","Nodes","-555693","21.000000","28.663438","Default Known Flow Node","Known Flow","574857.925580","164367.196936","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
