"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)"
"96121609100147","Nodes","","21.000000","36.722199","Default Known Flow Node","Known Flow","591732.254751","120267.337305","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100158","Nodes","","21.000000","34.625973","Default Known Flow Node","Known Flow","591773.311658","120421.922939","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100136","Nodes","","21.000000","34.329763","Default Known Flow Node","Known Flow","591916.103472","120263.820184","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100192","Nodes","","21.000000","33.527287","Default Known Flow Node","Known Flow","591990.623216","120463.994229","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100304","Nodes","","21.000000","32.713950","Default Known Flow Node","Known Flow","592196.676402","120033.389127","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100314","Nodes","","21.000000","32.603534","Default Known Flow Node","Known Flow","592133.522732","120161.484437","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100184","Nodes","","21.000000","33.272350","Default Known Flow Node","Known Flow","592103.635818","120414.781540","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100326","Nodes","","21.000000","33.237839","Default Known Flow Node","Known Flow","592105.651477","120415.785013","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100317","Nodes","","21.000000","32.503586","Default Known Flow Node","Known Flow","592115.109592","120303.738554","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100363","Nodes","","21.000000","32.668989","DDS demands","Known Flow","592171.401645","120414.544445","","0.000000","","","","-7.430000","","","","","","-6.644039","-7.430000","","","","","","C4 PROFILE","","","","",""
"96121609100232","Nodes","","21.000000","29.472951","Default Known Flow Node","Known Flow","591552.220805","120739.106168","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100226","Nodes","","21.000000","32.676163","DDS demands","Known Flow","591688.250000","120611.334029","","0.000000","","","","","-3.430000","","","","","-3.067167","-3.430000","","","","","","","D1 PROFILE","","","",""
"96121609100351","Nodes","","21.000000","31.056809","DDS demands","Known Flow","592568.619574","120844.395239","","0.000000","","","","","-5.599999","","","","","-5.007620","-5.599999","","","","","","","D1 PROFILE","","","",""
"96121609100404","Nodes","","21.000000","32.145043","Default Known Flow Node","Known Flow","592325.470746","121042.571091","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100401","Nodes","","21.000000","31.760475","DDS demands","Known Flow","592341.396033","120952.623197","","0.000000","","","","","-6.939999","","","","","-6.205872","-6.939999","","","","","","","D1 PROFILE","","","",""
"96121609100198","Nodes","","21.000000","33.301088","Default Known Flow Node","Known Flow","592023.858720","120489.447646","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100246","Nodes","","21.000000","29.447646","Default Known Flow Node","Known Flow","591856.806868","120880.278479","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100150","Nodes","","21.000000","34.284151","Default Known Flow Node","Known Flow","591887.579313","120213.674789","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100204","Nodes","","21.000000","33.143477","Default Known Flow Node","Known Flow","592055.739351","120514.958084","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100190","Nodes","","21.000000","34.269504","Default Known Flow Node","Known Flow","591931.078081","120428.707556","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100002","Nodes","","21.000000","30.277042","Default Known Flow Node","Known Flow","591233.138035","120254.267932","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100007","Nodes","","21.000000","30.573667","Default Known Flow Node","Known Flow","590910.868948","119938.949847","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100009","Nodes","","21.000000","30.561642","Default Known Flow Node","Known Flow","591066.778990","120030.041871","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100005","Nodes","","21.000000","30.655123","DDS demands","Known Flow","591085.067995","120117.668895","","0.000000","","","","","-1.970000","","","","","-1.761609","-1.970000","","","","","","","D1 PROFILE","","","",""
"96121609100012","Nodes","","21.000000","30.655123","Default Known Flow Node","Known Flow","591086.508995","120116.281895","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100013","Nodes","","21.000000","30.655123","Default Known Flow Node","Known Flow","591111.259002","120092.470888","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100014","Nodes","","21.000000","29.056509","Default Known Flow Node","Known Flow","591205.599028","120360.648961","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100017","Nodes","","21.000000","29.056509","Default Known Flow Node","Known Flow","591205.084028","120363.024962","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100016","Nodes","","21.000000","29.064274","Default Known Flow Node","Known Flow","591211.073677","120363.757205","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100018","Nodes","","21.000000","29.064274","Default Known Flow Node","Known Flow","591211.667029","120361.537962","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100019","Nodes","","21.000000","29.363983","Default Known Flow Node","Known Flow","591337.476429","120520.297053","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100020","Nodes","","21.000000","30.318679","Default Known Flow Node","Known Flow","591216.406031","120333.778954","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100024","Nodes","","21.000000","30.318679","Default Known Flow Node","Known Flow","591255.454041","120294.249943","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100040","Nodes","","21.000000","30.398847","Default Known Flow Node","Known Flow","591337.551064","120311.654948","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100023","Nodes","","21.000000","30.255827","Default Known Flow Node","Known Flow","591236.110036","120250.741931","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100025","Nodes","","21.000000","30.318679","Default Known Flow Node","Known Flow","591293.579052","120316.471949","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100026","Nodes","","21.000000","30.323086","Default Known Flow Node","Known Flow","591262.068043","120209.530920","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100029","Nodes","","21.000000","30.323086","Default Known Flow Node","Known Flow","591332.711062","120178.282912","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100030","Nodes","","21.000000","30.295975","Default Known Flow Node","Known Flow","591295.783052","120353.320959","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100031","Nodes","","21.000000","30.295975","Default Known Flow Node","Known Flow","591366.363802","120355.521609","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100032","Nodes","","21.000000","30.386092","Default Known Flow Node","Known Flow","591323.289060","120294.480943","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121609100036","Nodes","","21.000000","30.396099","Default Known Flow Node","Known Flow","591332.853062","120305.210946","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
