"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-DC)"
"96112706324382","Nodes","-396","21.000000","29.895037","Default Known Flow Node","Known Flow","600709.027525","159901.855763","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706324518","Nodes","-57985","21.000000","29.876794","Default Known Flow Node","Known Flow","600707.170161","159900.420009","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322019","Nodes","6322019","21.000000","35.070520","Default Known Flow Node","Known Flow","594756.734275","157360.668118","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322018","Nodes","6322018","21.000000","34.505212","Default Known Flow Node","Known Flow","594497.741444","157233.463445","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322017","Nodes","6322017","21.000000","33.555406","Default Known Flow Node","Known Flow","594132.986645","157310.265829","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322016","Nodes","6322016","21.000000","33.047487","DDS demands","Known Flow","593814.550008","157322.335786","","0.000000","","","","","","","-11.459999","","","","","","","-10.247737","-11.459999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706324487","Nodes","-54","21.000000","32.794490","Default Known Flow Node","Known Flow","593588.796206","157271.710887","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706324450","Nodes","-4904569","21.000000","32.606969","Default Known Flow Node","Known Flow","593587.078775","157276.249925","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112700001770","Nodes","Logger 1770, Cr The Chequers Ph","21.000000","32.606969","Val Log Post","Known Flow","593511.801056","157256.593433","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322013","Nodes","6322013","21.000000","32.606969","DDS demands","Known Flow","593499.052652","157253.320000","","0.000000","-6.000000","","","","","","-44.630002","","","","","","","-45.274255","-50.630003","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","",""
"96112706324144","Nodes","-1813","21.000000","31.412980","Default Known Flow Node","Known Flow","606393.431160","159895.445719","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323619","Nodes","-143","21.000000","26.723816","Default Known Flow Node","Known Flow","599216.054207","158992.945473","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112700001774","Nodes","Logger 1774, Forstall House","21.000000","26.804132","Val Log Cath","Known Flow","599199.836485","159032.573701","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322043","Nodes","6322043","21.000000","26.820934","DDS demands","Known Flow","599198.923829","159041.569881","","0.000000","","","","","","","-12.050000","","","","","","","-10.775325","-12.050000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706324231","Nodes","-198","21.000000","29.485547","Default Known Flow Node","Known Flow","600329.429510","160868.445984","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112700001778","Nodes","Logger 1778, Butchers Shop","21.000000","29.616628","Val Log Cath","Known Flow","600346.300066","160866.961375","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323290","Nodes","6323290","21.000000","31.064170","DDS demands","Known Flow","600306.929504","161525.321162","","0.000000","","","","","","","-29.169999","","","","","","","-26.084336","-29.169999","","","","","","","","","D1 PROFILE","","","","","",""
"96112700001779","Nodes","Logger 1779, 175 Hazebrouck Road","21.000000","31.049352","Val Log Cath","Known Flow","600310.300000","161525.696163","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706324574","Nodes","-676545","21.000000","30.983527","Default Known Flow Node","Known Flow","600315.115334","161523.760334","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706324292","Nodes","-286","21.000000","30.850540","Default Known Flow Node","Known Flow","600325.304509","161505.946157","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322174","Nodes","6322174","21.000000","30.184747","DDS demands","Known Flow","601363.304791","160999.446019","","0.000000","","","","","","","-5.909999","","","","","","","-5.284827","-5.909999","","","","","","","","","D1 PROFILE","","","","","",""
"96112700001776","Nodes","Logger 1776, 7 Briton Road","21.000000","30.016905","Val Log Cath","Known Flow","601345.270810","161007.643283","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322103","Nodes","6322103","21.000000","29.928795","DDS demands","Known Flow","601335.804784","161011.946023","","0.000000","-18.559999","","","","","","-17.620001","","","","","","","-32.352804","-36.180000","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","",""
"96112706324371","Nodes","-381","21.000000","27.770908","Default Known Flow Node","Known Flow","601557.304844","159123.070509","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112700001773","Nodes","Logger 1773, Salters Lane / Ashford Road","21.000000","27.784427","Val Log Post","Known Flow","601557.091893","159140.069694","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322237","Nodes","6322237","21.000000","27.878187","Default Known Flow Node","Known Flow","601532.554837","159310.945560","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323170","Nodes","6323170","21.000000","35.559336","DDS demands","Known Flow","604586.805668","161238.571084","","0.000000","","","","","","","-4.060000","","","","","","","-3.630524","-4.060000","","","","","","","","","D1 PROFILE","","","","","",""
"96112700001768","Nodes","Logger 1768, Whitstable Road / Head Hill Road","21.000000","36.808324","Val Log Post","Known Flow","604488.122505","160881.020840","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323179","Nodes","6323179","21.000000","36.829694","Default Known Flow Node","Known Flow","604495.920526","160873.666896","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323232","Nodes","6323232","21.000000","29.432183","DDS demands","Known Flow","608070.478581","161534.502668","","0.000000","","","","-5.980000","","","-26.260000","","","","","","","-28.829585","-32.239999","","","","","","C4 PROFILE","","","D1 PROFILE","","","","","",""
"96112706323400","Nodes","-1136","21.000000","25.945434","Default Known Flow Node","Known Flow","604319.055595","159780.445688","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112700001766","Nodes","East of Brenley Corner, A2, Faversham","21.000000","25.947787","Val Log Cath","Known Flow","604313.174557","159782.428060","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706322212","Nodes","6322212","21.000000","25.949883","Default Known Flow Node","Known Flow","604307.930592","159784.195689","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323240","Nodes","6323240","21.000000","27.925622","DDS demands","Known Flow","606236.549524","158842.949357","","0.000000","","","","","","","-3.329999","","","","","","","-2.977745","-3.329999","","","","","","","","","D1 PROFILE","","","","","",""
"96112700001765","Nodes","Logger 1765, Colonel's Lane / Horselees Road","21.000000","28.114618","Val Log Post","Known Flow","606264.997143","158949.462320","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323239","Nodes","6323239","21.000000","28.137988","DDS demands","Known Flow","606273.681127","158953.820463","","0.000000","","","","","","","-7.479999","","","","","","","-6.688749","-7.479999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323264","Nodes","6323264","21.000000","26.424379","DDS demands","Known Flow","605975.181046","157499.445067","","0.000000","","","","","","","-11.899999","","","","","","","-10.641192","-11.899999","","","","","","","","","D1 PROFILE","","","","","",""
"96112700001764","Nodes","Logger 1764, Os The Old Chapel","21.000000","26.429263","Val Log Cath","Known Flow","605982.113434","157497.354347","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323270","Nodes","6323270","21.000000","27.095291","DDS demands","Known Flow","606188.355910","157645.665553","","0.000000","","","","","","","-2.480000","","","","","","","-2.217660","-2.480000","","","","","","","","","D1 PROFILE","","","","","",""
