"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"96111200002420","Nodes","","21.000000","30.742357","DDS demands","Known Flow","569832.171212","159226.195537","","0.000000","","","","","","","-4.999999","","","","","","","","","-4.471089","-4.999999","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"96111200002423","Nodes","","21.000000","30.070482","DDS demands","Known Flow","569974.421251","159183.445525","","0.000000","","","","","","","-6.820000","","","","","","","","","-6.098566","-6.820000","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"96111200002424","Nodes","","21.000000","30.232488","DDS demands","Known Flow","569990.296255","159246.820542","","0.000000","","","","","","","-6.969999","","","","","","","","","-6.232698","-6.969999","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"96111200002425","Nodes","","21.000000","30.527878","DDS demands","Known Flow","569924.546238","159256.070545","","0.000000","","","","","","","-5.110000","","","","","","","","","-4.569453","-5.110000","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"96111200002426","Nodes","","21.000000","30.616322","DDS demands","Known Flow","569932.171240","159285.820553","","0.000000","","","","","","","-6.020000","","","","","","","","","-5.383191","-6.020000","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"96111200002428","Nodes","","21.000000","31.205521","Default Known Flow Node","Known Flow","569881.546226","159345.695569","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"96111200002429","Nodes","","21.000000","31.155579","Default Known Flow Node","Known Flow","569886.921227","159339.570568","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"96111200002432","Nodes","","21.000000","30.408549","DDS demands","Known Flow","570094.421284","159375.820578","","0.000000","","","","","","","-3.950000","","","","","","","","","-3.532160","-3.950000","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"96111200002752","Nodes","","21.000000","30.446280","DDS demands","Known Flow","570082.546280","159400.945584","","0.000000","","","","","","","-1.960000","","","","","","","","","-1.752667","-1.960000","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"96111200002434","Nodes","","21.000000","31.797502","DDS demands","Known Flow","569855.296219","159351.070571","","0.000000","","","","","","","-5.960000","","","","","","","","","-5.329538","-5.960000","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"96111200002435","Nodes","","21.000000","31.663778","Default Known Flow Node","Known Flow","569860.171220","159356.695572","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"96111200002436","Nodes","","21.000000","31.663778","Default Known Flow Node","Known Flow","569856.046219","159360.070573","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"96111200002437","Nodes","","21.000000","31.663778","Default Known Flow Node","Known Flow","569846.921216","159366.195575","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"96111200002438","Nodes","","21.000000","30.785568","Default Known Flow Node","Known Flow","569808.046206","159224.195536","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"96111200002441","Nodes","","21.000000","30.051915","Default Known Flow Node","Known Flow","570159.296301","159360.070573","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"96111200002442","Nodes","","21.000000","30.008659","Default Known Flow Node","Known Flow","570172.546305","159379.945579","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"96111200002443","Nodes","","21.000000","30.785568","Default Known Flow Node","Known Flow","569893.046229","159196.070529","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"96111200002444","Nodes","","21.000000","31.037989","DDS demands","Known Flow","569941.157659","159377.985613","","0.000000","","","","","","","-3.829999","","","","","","","","","-3.424854","-3.829999","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"96111200002445","Nodes","","21.000000","30.987770","DDS demands","Known Flow","569962.421248","159343.820569","","0.000000","","","","","","","-3.849999","","","","","","","","","-3.442738","-3.849999","","","","","","","","","","D1 PROFILE","","","","","","","","",""
