"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"96123709707211","Nodes","","21.000000","52.879785","Default Known Flow Node","Known Flow","589129.245980","122639.947623","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707202","Nodes","9707202","21.000000","52.355861","DDS demands","Known Flow","589154.888467","122653.081579","","0.000000","","-13.319999","","","","-11.910982","-13.319999","","","","D1 PROFILE","","",""
"96123709707215","Nodes","","21.000000","53.679508","Default Known Flow Node","Known Flow","589011.478520","122631.619466","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707203","Nodes","P00014253, ""THE MALTINGS"", 14.31","49.200000","53.613397","CSEP DDS Matched","Known Flow","589016.636353","122638.361936","","0.000000","","-0.509999","-14.310000","","","-13.252309","-14.820001","","","","D1 PROFILE","DC PROFILE","",""
"96123709707218","Nodes","","21.000000","53.400265","Default Known Flow Node","Known Flow","589037.933711","122689.535010","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707005","Nodes","Wickets Main Street RRI","21.000000","55.000000","Default Known Pressure Node","Known Pressure","588826.625000","122789.359375","","419.999989","","","","","","5.606745","6.269999","","","","","","",""
"96123709707210","Nodes","","21.000000","54.911668","Default Known Flow Node","Known Flow","588859.125000","122831.953125","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707205","Nodes","9707205","21.000000","40.346152","DDS demands","Known Flow","588850.375000","122529.609375","","0.000000","","-13.350000","","","","-11.937809","-13.350000","","","","D1 PROFILE","","",""
"96123709707207","Nodes","","21.000000","40.346152","Default Known Flow Node","Known Flow","588857.625000","122561.109375","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707219","Nodes","","21.000000","53.583644","Default Known Flow Node","Known Flow","588924.340375","122794.344330","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96123709707201","Nodes","9707201","21.000000","53.375793","DDS demands","Known Flow","589009.625000","122712.000000","","0.000000","","-9.489999","","","","-8.486127","-9.489999","","","","D1 PROFILE","","",""
