"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"96109305511086","Nodes","5511086","21.000000","23.969729","Default Known Flow Node","Known Flow","609082.855891","154898.720359","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96109305511085","Nodes","5511085, P12129901, SHALMSFORD STREET, SCH 31.66","24.000000","24.013429","CSEP Unmatched","Known Flow","609142.697871","154860.323542","","0.000000","","","","","","","-31.659999","-28.310937","-31.659999","","","","","","","","","DC PROFILE"
"96109305511072","Nodes","5511072","21.000000","33.599718","DDS demands","Known Flow","610130.096633","154603.821514","","0.000000","","-43.439998","","","","","","-38.844823","-43.439998","","","","C2 PROFILE","","","","",""
"96109300004406","Nodes","","21.000000","33.667416","Default Known Flow Node","Known Flow","610138.594355","154598.593940","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96109305511108","Nodes","-379576","21.000000","33.826993","Default Known Flow Node","Known Flow","610158.627184","154586.270274","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96109305511022","Nodes","5511022","21.000000","30.267773","DDS demands","Known Flow","610056.463156","154863.654350","","0.000000","","","","-1.909999","-14.009999","-38.590002","","-48.743821","-54.510001","","","","","","C4 PROFILE","D1 PROFILE","I2 PROFILE",""
"96109305511036","Nodes","5511036","21.000000","32.701198","DDS demands","Known Flow","610168.222187","154992.035385","","0.000000","","","","","-1.869999","","","-1.672187","-1.869999","","","","","","","D1 PROFILE","",""
"96109305511026","Nodes","5511026","21.000000","29.820723","DDS demands","Known Flow","610678.477326","154575.772271","","0.000000","","","","","-1.609999","","","-1.439690","-1.609999","","","","","","","D1 PROFILE","",""
"96109300004403","Nodes","","21.000000","25.651584","Default Known Flow Node","Known Flow","610810.965854","154746.672284","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96109305511042","Nodes","5511042","21.000000","25.452272","DDS demands","Known Flow","610820.078110","154754.568998","","0.000000","","","","","-2.170000","","","-1.940452","-2.170000","","","","","","","D1 PROFILE","",""
