"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96107005212002","Nodes","","21.000000","28.107373","Default Known Flow Node","Known Flow","637232.497548","147731.083409","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107055210292","Nodes","","21.000000","28.019841","Default Known Flow Node","Known Flow","637260.584556","147704.051402","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107005212048","Nodes","","21.000000","36.919908","DDS demands","Known Flow","637924.298680","148457.691421","","0.000000","","","","","","","-7.949999","","","","","-7.109032","-7.949999","","","","","","","","","D1 PROFILE","","","",""
"96107000004614","Nodes","Logger 4614, 1 South Road","21.000000","36.620466","Val Log Cath","Known Flow","637943.389073","148462.000973","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107000004616","Nodes","Logger 4616, 105 St.Richards Road","21.000000","32.493154","Val Log Cath","Known Flow","636200.433488","150988.787305","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107005210170","Nodes","","21.000000","31.227738","DDS demands","Known Flow","636143.939252","151046.318311","","0.000000","","","","","","","-9.130000","","","","","-8.164209","-9.130000","","","","","","","","","D1 PROFILE","","","",""
"96107005209542","Nodes","","21.000000","26.579171","DDS demands","Known Flow","636850.271399","151693.284431","","0.000000","","","","","","","-21.719999","","","","","-19.422411","-21.719999","","","","","","","","","D1 PROFILE","","","",""
"96107005209543","Nodes","","21.000000","26.419757","Default Known Flow Node","Known Flow","636994.843199","151591.616689","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107055209565","Nodes","","21.000000","26.419192","Default Known Flow Node","Known Flow","636995.583674","151591.057208","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107055210232","Nodes","","21.000000","29.285006","Default Known Flow Node","Known Flow","636878.314452","152144.818610","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107005209119","Nodes","","21.000000","29.331102","DDS demands","Known Flow","636942.043751","152210.865523","","0.000000","","","","","","","-32.700001","","","","","-29.240927","-32.700001","","","","","","","","","D1 PROFILE","","","",""
"96107005209117","Nodes","","21.000000","29.530567","DDS demands","Known Flow","637069.293627","152360.396332","","0.000000","","","-1.929999","","","","-26.459999","","","","","-25.386846","-28.389999","","","","","C3 PROFILE","","","","D1 PROFILE","","","",""
"96107005209460","Nodes","","21.000000","29.681823","Default Known Flow Node","Known Flow","637116.189517","152415.443684","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107005211109","Nodes","","21.000000","37.323371","DDS demands","Known Flow","637252.689554","150654.943205","","0.000000","","","","","","","-10.220000","","","","","-9.138907","-10.220000","","","","","","","","","D1 PROFILE","","","",""
"96107005211108","Nodes","","21.000000","37.517768","DDS demands","Known Flow","637219.741923","150676.123825","","0.000000","","","","","","","-3.579999","","","","","-3.201299","-3.579999","","","","","","","","","D1 PROFILE","","","",""
"96107055210086","Nodes","","21.000000","29.817998","Default Known Flow Node","Known Flow","636203.019272","150842.833698","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107005210084","Nodes","","21.000000","29.013118","DDS demands","Known Flow","636184.968107","150790.236337","","0.000000","","","","","","","-17.879999","","","","","-15.988615","-17.879999","","","","","","","","","D1 PROFILE","","","",""
"96107005210085","Nodes","","21.000000","27.411074","DDS demands","Known Flow","636152.623136","150649.819994","","0.000000","","","","","","","-26.120001","","","","","-23.356973","-26.120001","","","","","","","","","D1 PROFILE","","","",""
"96107005209180","Nodes","","21.000000","29.785115","DDS demands","Known Flow","637523.835884","152272.272310","","0.000000","","","-2.480000","","","","-23.250000","","","","","-23.008227","-25.730001","","","","","C3 PROFILE","","","","D1 PROFILE","","","",""
"96107000001002","Nodes","","21.000000","30.340944","Default Known Flow Node","Known Flow","637506.684961","152412.831624","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107005209172","Nodes","","21.000000","30.507580","DDS demands","Known Flow","637496.500608","152453.849740","","0.000000","","","-5.469999","","","","-35.610000","","","","","-36.734473","-41.080001","","","","","C3 PROFILE","","","","D1 PROFILE","","","",""
