"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-PL)"
"96106005007045","Nodes","5007045","21.000000","27.170630","DDS demands","Known Flow","608904.459843","139457.621158","","0.000000","","","-2.640000","","-2.360735","-2.640000","","","","","D1 PROFILE",""
"96106005007073","Nodes","P14133751 Dev @ Ashford Road, Sellinge 672.75 scmhs","21.000000","27.082818","CSEP Unmatched","Known Flow","608968.266860","139474.148162","","0.000000","","","","0.000000","0.000000","0.000000","","","","","","PL-PL PROFILE"
"96106005007020","Nodes","5007020","21.000000","28.942811","DDS demands","Known Flow","608207.211653","140199.840360","","0.000000","","","-53.419997","","-47.769118","-53.419997","","","","","D1 PROFILE",""
"96106000006504","Nodes","","21.000000","29.099425","Default Known Flow Node","Known Flow","608200.712329","140197.072925","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007019","Nodes","5007019","21.000000","32.111644","DDS demands","Known Flow","608078.704835","140248.455290","","0.000000","","","-37.740000","","-33.747783","-37.740000","","","","","D1 PROFILE",""
"96106000006505","Nodes","","21.000000","27.973450","Default Known Flow Node","Known Flow","608654.659507","139968.527108","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007022","Nodes","5007022","21.000000","27.973602","DDS demands","Known Flow","608646.373175","139957.862296","","0.000000","","","-33.019999","","-29.527074","-33.019999","","","","","D1 PROFILE",""
"96106005007018","Nodes","5007018","21.000000","28.954221","DDS demands","Known Flow","607656.025503","140111.375336","","0.000000","","","-41.459998","","-37.074272","-41.459998","","","","","D1 PROFILE",""
"96106000006502","Nodes","","21.000000","28.951050","Default Known Flow Node","Known Flow","607651.571297","140104.778548","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007036","Nodes","5007036","21.000000","28.902761","DDS demands","Known Flow","607558.028818","140026.645096","","0.000000","","","-3.700000","","-3.308606","-3.700000","","","","","D1 PROFILE",""
"96106005007028","Nodes","5007028","21.000000","33.140530","DDS demands","Known Flow","607929.933578","140401.923415","","0.000000","","","-5.379999","","-4.810892","-5.379999","","","","","D1 PROFILE",""
"96106005007017","Nodes","5007017","21.000000","30.241872","DDS demands","Known Flow","607739.894758","140268.953642","","0.000000","","","-36.429999","","-32.576357","-36.429999","","","","","D1 PROFILE",""
"96106005007048","Nodes","5007048","21.000000","29.953163","DDS demands","Known Flow","607724.349522","140237.790370","","0.000000","","","-3.660000","","-3.272837","-3.660000","","","","","D1 PROFILE",""
"96106005007042","Nodes","5007042","21.000000","28.115280","DDS demands","Known Flow","608576.084535","140015.901113","","0.000000","","","-1.070000","","-0.956813","-1.070000","","","","","D1 PROFILE",""
"96106005007021","Nodes","5007021","21.000000","28.062872","DDS demands","Known Flow","608502.989045","140088.024418","","0.000000","","","-21.409999","","-19.145205","-21.409999","","","","","D1 PROFILE",""
"96106005007041","Nodes","5007041","21.000000","28.728571","DDS demands","Known Flow","608269.575289","140176.740332","","0.000000","","","-2.840000","","-2.539578","-2.840000","","","","","D1 PROFILE",""
"96106005007049","Nodes","5007049","21.000000","36.276423","Default Known Flow Node","Known Flow","608170.830643","140446.340427","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007014","Nodes","5007014","21.000000","36.213637","DDS demands","Known Flow","608170.211258","140469.993916","","0.000000","","","-24.760001","","-22.140835","-24.760001","","","","","D1 PROFILE",""
"96106005007026","Nodes","5007026","21.000000","36.269001","DDS demands","Known Flow","608165.402642","140482.696437","","0.000000","","","-1.450000","","-1.296616","-1.450000","","","","","D1 PROFILE",""
"96106005007044","Nodes","5007044","21.000000","27.852048","DDS demands","Known Flow","608802.895815","139825.370258","","0.000000","","","-1.139999","","-1.019408","-1.139999","","","","","D1 PROFILE",""
"96106005007067","Nodes","-163715","21.000000","27.764070","Default Known Flow Node","Known Flow","608814.149818","139815.364255","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007072","Nodes","","21.000000","27.852048","Default Known Flow Node","Known Flow","608896.414841","139732.022232","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007066","Nodes","-163711","21.000000","27.973505","Default Known Flow Node","Known Flow","608649.312774","139955.350293","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007037","Nodes","5007037","21.000000","28.642617","DDS demands","Known Flow","607232.004388","140048.445318","","0.000000","","","-3.690000","","-3.299664","-3.690000","","","","","D1 PROFILE",""
"96106005007088","Nodes","-184507","21.000000","28.894856","Default Known Flow Node","Known Flow","607489.312458","140038.171316","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007089","Nodes","-184508","21.000000","28.895967","Default Known Flow Node","Known Flow","607497.975460","140044.317317","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96106005007091","Nodes","-184515","21.000000","28.297919","Default Known Flow Node","Known Flow","607773.496535","139971.344297","","0.000000","","","","","0.000000","0.000000","","","","","",""
