"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)"
"96121209603201","Nodes","","21.000000","30.273658","DDS demands","Known Flow","578702.500000","111888.000000","","0.000000","-19.889998","-17.785992","-19.889998","","","D1 PROFILE"
"96121209603251","Nodes","","21.000000","30.303551","Default Known Flow Node","Known Flow","578739.000000","111905.250000","","0.000000","","0.000000","0.000000","","",""
"96121209603252","Nodes","","21.000000","30.303190","Default Known Flow Node","Known Flow","578740.500000","111908.882812","","0.000000","","0.000000","0.000000","","",""
"96121209603254","Nodes","","21.000000","30.093452","Default Known Flow Node","Known Flow","578796.500000","111901.000000","","0.000000","","0.000000","0.000000","","",""
"96121209603361","Nodes","","21.000000","30.126054","DDS demands","Known Flow","578718.625000","111917.382812","","0.000000","-2.819999","-2.521694","-2.819999","","","D1 PROFILE"
"96121209603253","Nodes","","21.000000","30.522017","Default Known Flow Node","Known Flow","578749.625000","111934.382812","","0.000000","","0.000000","0.000000","","",""
"96121209603365","Nodes","","21.000000","30.522017","Default Known Flow Node","Known Flow","578782.875000","111932.250000","","0.000000","","0.000000","0.000000","","",""
"96121209603362","Nodes","","21.000000","30.522017","Default Known Flow Node","Known Flow","578729.625000","111935.500000","","0.000000","","0.000000","0.000000","","",""
"96121209603277","Nodes","","21.000000","30.261432","DDS demands","Known Flow","578797.000000","111805.000000","","0.000000","-4.530000","-4.050807","-4.530000","","","D1 PROFILE"
"96121209603367","Nodes","","21.000000","30.063378","Default Known Flow Node","Known Flow","578790.875000","111681.750000","","0.000000","","0.000000","0.000000","","",""
"96121209603219","Nodes","","21.000000","29.938779","DDS demands","Known Flow","578785.750000","111671.382812","","0.000000","-15.739999","-14.074989","-15.739999","","","D1 PROFILE"
"96121209603363","Nodes","","21.000000","30.019726","Default Known Flow Node","Known Flow","578749.500000","111690.382812","","0.000000","","0.000000","0.000000","","",""
"96121209603234","Nodes","","21.000000","30.092113","DDS demands","Known Flow","578800.750000","111899.500000","","0.000000","-5.059999","-4.524742","-5.059999","","","D1 PROFILE"
"96121209603255","Nodes","","21.000000","30.089363","DDS demands","Known Flow","578799.250000","111908.250000","","0.000000","-1.809999","-1.618534","-1.809999","","","D1 PROFILE"
"96121209603368","Nodes","","21.000000","30.092113","Default Known Flow Node","Known Flow","578792.375000","111879.382812","","0.000000","","0.000000","0.000000","","",""
"96121209603220","Nodes","","21.000000","30.039002","DDS demands","Known Flow","578805.500000","111723.382812","","0.000000","-10.699999","-9.568131","-10.699999","","","D1 PROFILE"
"96121209603364","Nodes","","21.000000","30.126327","Default Known Flow Node","Known Flow","578754.125000","111742.132812","","0.000000","","0.000000","0.000000","","",""
"96121209603369","Nodes","","21.000000","30.089363","Default Known Flow Node","Known Flow","578804.250000","111921.882812","","0.000000","","0.000000","0.000000","","",""
"96121209603256","Nodes","","21.000000","30.085455","Default Known Flow Node","Known Flow","578804.000000","111906.632812","","0.000000","","0.000000","0.000000","","",""
"96121209603258","Nodes","","21.000000","29.932724","DDS demands","Known Flow","578834.000000","111892.882812","","0.000000","-12.220000","-10.927343","-12.220000","","","D1 PROFILE"
"96121209603370","Nodes","","21.000000","29.888965","Default Known Flow Node","Known Flow","578808.500000","111827.132812","","0.000000","","0.000000","0.000000","","",""
"96121209603260","Nodes","","21.000000","29.932609","DDS demands","Known Flow","578854.750000","111881.250000","","0.000000","-0.150000","-0.134132","-0.150000","","","D1 PROFILE"
"96121209603372","Nodes","","21.000000","29.758294","Default Known Flow Node","Known Flow","578891.500000","111922.382812","","0.000000","","0.000000","0.000000","","",""
"96121209603373","Nodes","","21.000000","30.029542","Default Known Flow Node","Known Flow","578721.500000","111719.632812","","0.000000","","0.000000","0.000000","","",""
"96121209603375","Nodes","","21.000000","30.201699","Default Known Flow Node","Known Flow","578729.500000","111812.132812","","0.000000","","0.000000","0.000000","","",""
"96121209603374","Nodes","","21.000000","29.896017","Default Known Flow Node","Known Flow","578721.750000","111757.382812","","0.000000","","0.000000","0.000000","","",""
"96121209603378","Nodes","","21.000000","30.201699","Default Known Flow Node","Known Flow","578750.875000","111777.882812","","0.000000","","0.000000","0.000000","","",""
"96121209602279","Nodes","","21.000000","30.201699","DDS demands","Known Flow","578761.500000","111794.382812","","0.000000","-4.320000","-3.863021","-4.320000","","","D1 PROFILE"
"96121209603379","Nodes","","21.000000","30.201699","Default Known Flow Node","Known Flow","578751.500000","111820.000000","","0.000000","","0.000000","0.000000","","",""
"96121209603329","Nodes","","21.000000","29.627289","Default Known Flow Node","Known Flow","578752.000000","111556.000000","","0.000000","","0.000000","0.000000","","",""
"96121209603278","Nodes","","21.000000","30.246448","DDS demands","Known Flow","578775.500000","111792.000000","","0.000000","-12.060000","-10.784268","-12.060000","","","D1 PROFILE"
"96121209603382","Nodes","","21.000000","30.246448","Default Known Flow Node","Known Flow","578781.500000","111788.882812","","0.000000","","0.000000","0.000000","","",""
"96121209603384","Nodes","","21.000000","29.746664","Default Known Flow Node","Known Flow","578793.500000","111614.000000","","0.000000","","0.000000","0.000000","","",""
"96121209603386","Nodes","","21.000000","29.790427","Default Known Flow Node","Known Flow","578834.875000","111646.132812","","0.000000","","0.000000","0.000000","","",""
"96121209603269","Nodes","","21.000000","29.882083","Default Known Flow Node","Known Flow","578799.875000","111662.000000","","0.000000","","0.000000","0.000000","","",""
"96121209603265","Nodes","","21.000000","29.728759","DDS demands","Known Flow","578851.875000","111740.250000","","0.000000","-11.039999","-9.872165","-11.039999","","","D1 PROFILE"
"96121209603268","Nodes","","21.000000","29.593617","Default Known Flow Node","Known Flow","578849.500000","111722.750000","","0.000000","","0.000000","0.000000","","",""
"96121209603385","Nodes","","21.000000","29.593617","Default Known Flow Node","Known Flow","578834.250000","111686.250000","","0.000000","","0.000000","0.000000","","",""
"96121209603387","Nodes","","21.000000","29.462627","Default Known Flow Node","Known Flow","578839.875000","111673.882812","","0.000000","","0.000000","0.000000","","",""
"96121209603266","Nodes","","21.000000","29.724657","DDS demands","Known Flow","578857.125000","111737.000000","","0.000000","-7.060000","-6.313178","-7.060000","","","D1 PROFILE"
"96121209603276","Nodes","","21.000000","29.728759","Default Known Flow Node","Known Flow","578864.375000","111764.500000","","0.000000","","0.000000","0.000000","","",""
"96121209603267","Nodes","","21.000000","29.506286","Default Known Flow Node","Known Flow","578885.125000","111721.132812","","0.000000","","0.000000","0.000000","","",""
"96121209603390","Nodes","","21.000000","29.859848","Default Known Flow Node","Known Flow","578874.250000","111783.750000","","0.000000","","0.000000","0.000000","","",""
"96121209603391","Nodes","","21.000000","29.597720","Default Known Flow Node","Known Flow","578878.750000","111756.750000","","0.000000","","0.000000","0.000000","","",""
"96121209603392","Nodes","","21.000000","29.506286","Default Known Flow Node","Known Flow","578892.625000","111717.132812","","0.000000","","0.000000","0.000000","","",""
"96121209603393","Nodes","","21.000000","29.593617","Default Known Flow Node","Known Flow","578911.625000","111768.132812","","0.000000","","0.000000","0.000000","","",""
"96121209603389","Nodes","","21.000000","29.462627","Default Known Flow Node","Known Flow","578860.125000","111654.882812","","0.000000","","0.000000","0.000000","","",""
"96121209603309","Nodes","","21.000000","30.258079","Default Known Flow Node","Known Flow","578819.750000","111972.382812","","0.000000","","0.000000","0.000000","","",""
"96121209603366","Nodes","","21.000000","29.947445","Default Known Flow Node","Known Flow","578784.250000","111668.382812","","0.000000","","0.000000","0.000000","","",""
"96121209603261","Nodes","","21.000000","29.702619","DDS demands","Known Flow","578841.375000","111842.500000","","0.000000","-3.160000","-2.825728","-3.160000","","","D1 PROFILE"
"96121209603311","Nodes","","21.000000","29.702619","Default Known Flow Node","Known Flow","578853.875000","111833.132812","","0.000000","","0.000000","0.000000","","",""
"96121209603310","Nodes","","21.000000","29.702619","Default Known Flow Node","Known Flow","578828.750000","111829.500000","","0.000000","","0.000000","0.000000","","",""
"96121209603224","Nodes","","21.000000","29.613636","DDS demands","Known Flow","578973.125000","111881.132812","","0.000000","-12.680000","-11.338683","-12.680000","","","D1 PROFILE"
"96121209603281","Nodes","","21.000000","29.515522","Default Known Flow Node","Known Flow","578977.375000","111862.250000","","0.000000","","0.000000","0.000000","","",""
