"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"96111907105431","Nodes","","21.000000","25.982918","Default Known Flow Node","Known Flow","558974.875000","155408.250000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105265","Nodes","","21.000000","25.670042","DDS demands","Known Flow","559068.250000","155421.750000","","0.000000","","","","","-19.270001","","-17.231579","-19.270001","","","","","","","D1 PROFILE",""
"96111906105287","Nodes","","21.000000","27.747194","DDS demands","Known Flow","559728.375000","156881.296875","","0.000000","","","","","-10.960000","","-9.800629","-10.960000","","","","","","","D1 PROFILE",""
"96111906105290","Nodes","SEP00191, Borough Green Road, -7.68","25.569999","27.892267","CSEP DDS Matched","Known Flow","559757.375000","156902.437500","","0.000000","","","","","-2.650000","-7.679999","-9.237270","-10.329999","","","","","","","D1 PROFILE","DC PROFILE"
"96111907105485","Nodes","","21.000000","28.234639","Default Known Flow Node","Known Flow","559809.125000","156938.875000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105269","Nodes","","21.000000","28.847554","DDS demands","Known Flow","558743.375000","155634.250000","","0.000000","","","","-6.170000","-16.829999","","-20.567011","-22.999999","","","","","","C4 PROFILE","D1 PROFILE",""
"96111906105268","Nodes","","21.000000","25.860160","DDS demands","Known Flow","558998.125000","155840.750000","","0.000000","","","","","-17.049999","","-15.246414","-17.049999","","","","","","","D1 PROFILE",""
"96111906105267","Nodes","","21.000000","25.567575","DDS demands","Known Flow","559057.750000","155894.250000","","0.000000","","","","","-19.190000","","-17.160042","-19.190000","","","","","","","D1 PROFILE",""
"96111906105264","Nodes","","21.000000","25.734271","DDS demands","Known Flow","559153.875000","155575.093750","","0.000000","","","","","-17.410000","","-15.568333","-17.410000","","","","","","","D1 PROFILE",""
"96111907105416","Nodes","","21.000000","25.651345","Default Known Flow Node","Known Flow","559137.500000","155552.000000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111907105495","Nodes","","21.000000","27.416918","Default Known Flow Node","Known Flow","559728.250000","156880.125000","","0.000000","","","","","-8.409999","","-7.520372","-8.409999","","","","","","","D1 PROFILE",""
"96111906105288","Nodes","","21.000000","27.296501","DDS demands","Known Flow","559644.875000","156831.000000","","0.000000","","","","","-4.489999","","-4.015038","-4.489999","","","","","","","D1 PROFILE",""
"96111906105188","Nodes","","21.000000","29.708239","Default Known Flow Node","Known Flow","559955.312500","157194.375000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105045","Nodes","","21.000000","33.014931","Default Known Flow Node","Known Flow","558716.225798","155749.243128","","0.000000","","","","","-10.979999","","-9.818512","-10.979999","","","","","","","D1 PROFILE",""
"96111907105492","Nodes","","21.000000","28.540000","Default Known Flow Node","Known Flow","559876.000000","157023.375000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105286","Nodes","","21.000000","29.737557","Default Known Flow Node","Known Flow","559957.062500","157196.500000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105187","Nodes","","21.000000","29.746769","DDS demands","Known Flow","559957.625000","157197.750000","","0.000000","","","","","-10.640000","","-9.514479","-10.640000","","","","","","","D1 PROFILE",""
"96111906105292","Nodes","","21.000000","27.806532","DDS demands","Known Flow","559471.250000","156603.500000","","0.000000","","","","-5.619999","-15.789999","","-19.145205","-21.409999","","","","","","C4 PROFILE","D1 PROFILE",""
"96111900005804","Nodes","","21.000000","27.804683","Default Known Flow Node","Known Flow","559471.187500","156607.687500","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105307","Nodes","","21.000000","27.446889","DDS demands","Known Flow","559540.625000","156698.875000","","0.000000","0.000000","","","0.000000","-15.899999","","-14.218064","-15.899999","","","C1 PROFILE","","","C4 PROFILE","D1 PROFILE",""
"96111906105376","Nodes","","21.000000","25.454771","DDS demands","Known Flow","559026.500000","155223.375000","","0.000000","","","","","-20.569998","","-18.394061","-20.569998","","","","","","","D1 PROFILE",""
"96111906105266","Nodes","","21.000000","25.416122","DDS demands","Known Flow","559038.875000","155280.000000","","0.000000","","","","","-10.840000","","-9.693321","-10.840000","","","","","","","D1 PROFILE",""
"96111900005806","Nodes","","21.000000","26.394689","Default Known Flow Node","Known Flow","559325.125000","155800.750000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111907105483","Nodes","","21.000000","27.487340","Default Known Flow Node","Known Flow","559561.875000","156796.250000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111907105480","Nodes","","21.000000","27.474836","Default Known Flow Node","Known Flow","559559.250000","156794.750000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111907105452","Nodes","","21.000000","27.806222","Default Known Flow Node","Known Flow","559459.875000","156585.875000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105278","Nodes","","21.000000","28.194782","DDS demands","Known Flow","559433.625000","156491.906250","","0.000000","","","","","-16.770000","","-14.996035","-16.770000","","","","","","","D1 PROFILE",""
"96111906105382","Nodes","","21.000000","28.773588","DDS demands","Known Flow","559417.750000","156281.000000","","0.000000","","","-5.320000","","-3.039999","","-7.475661","-8.360000","","","","","C3 PROFILE","","D1 PROFILE",""
"96111907105426","Nodes","","21.000000","26.895143","Default Known Flow Node","Known Flow","559387.125000","155899.625000","","0.000000","","","-2.490000","","-14.100000","","-14.835075","-16.590001","","","","","C3 PROFILE","","D1 PROFILE",""
"96111906105294","Nodes","","21.000000","27.595422","DDS demands","Known Flow","559427.000000","156018.000000","","0.000000","","","-6.370000","","-9.840000","","-14.495272","-16.209999","","","","","C3 PROFILE","","D1 PROFILE",""
"96111907105448","Nodes","","21.000000","28.956247","Default Known Flow Node","Known Flow","559414.375000","156273.500000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105383","Nodes","","21.000000","30.220270","DDS demands","Known Flow","559242.125000","156334.250000","","0.000000","","","","","-12.229999","","-10.936285","-12.229999","","","","","","","D1 PROFILE",""
"96111906105302","Nodes","","21.000000","30.773999","DDS demands","Known Flow","559210.187500","156397.906250","","0.000000","","","","","-9.489999","","-8.486127","-9.489999","","","","","","","D1 PROFILE",""
"96111907105418","Nodes","","21.000000","31.649318","Default Known Flow Node","Known Flow","559138.000000","156436.125000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105390","Nodes","","21.000000","30.670166","DDS demands","Known Flow","558686.625000","156513.375000","","0.000000","0.000000","","","","-15.670000","","-14.012395","-15.670000","","","C1 PROFILE","","","","D1 PROFILE",""
"96111906105297","Nodes","","21.000000","30.571086","DDS demands","Known Flow","558858.875000","156548.500000","","0.000000","","-28.979999","","","0.000000","","-25.914434","-28.979999","","","","C2 PROFILE","","","D1 PROFILE",""
"96111907105443","Nodes","","21.000000","30.357594","Default Known Flow Node","Known Flow","559184.000000","156549.500000","","0.000000","","","","","-14.609999","","-13.064523","-14.609999","","","","","","","D1 PROFILE",""
"96111907105391","Nodes","","21.000000","25.186924","Default Known Flow Node","Known Flow","559163.500000","155279.000000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105378","Nodes","","21.000000","25.142302","Default Known Flow Node","Known Flow","559165.625000","155252.125000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111906105377","Nodes","","21.000000","25.365465","Default Known Flow Node","Known Flow","559112.000000","155219.000000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111907105435","Nodes","","21.000000","25.454771","Default Known Flow Node","Known Flow","559030.000000","155218.750000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111907105392","Nodes","","21.000000","25.142302","Default Known Flow Node","Known Flow","559173.000000","155251.000000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96111907105433","Nodes","","21.000000","25.499432","Default Known Flow Node","Known Flow","559023.750000","155216.625000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
