"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"96120509703461","Nodes","-310259","21.000000","47.468278","Default Known Flow Node","Known Flow","573446.525000","123490.550000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703460","Nodes","-310258","21.000000","47.552130","Default Known Flow Node","Known Flow","573415.650000","123482.182812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703467","Nodes","-310268","21.000000","48.153438","Default Known Flow Node","Known Flow","573632.525000","123150.550000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703468","Nodes","-310269","21.000000","48.153438","Default Known Flow Node","Known Flow","573637.525000","123143.300000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703485","Nodes","-310288","21.000000","48.763080","Default Known Flow Node","Known Flow","573752.400000","123177.182812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703411","Nodes","9703411","21.000000","48.763105","DDS demands","Known Flow","573753.775000","123186.682812","","0.000000","","","-5.160000","","-4.614164","-5.160000","","","","","D1 PROFILE",""
"96120509703462","Nodes","-310261","21.000000","47.754059","Default Known Flow Node","Known Flow","573546.900000","123157.800000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703465","Nodes","-310264","21.000000","48.138183","Default Known Flow Node","Known Flow","573599.150000","123097.932812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703463","Nodes","-310262","21.000000","47.905683","DDS demands","Known Flow","573573.025000","123114.800000","","0.000000","","","-5.030000","","-4.497916","-5.030000","","","","","D1 PROFILE",""
"96120509703466","Nodes","-310265","21.000000","48.158805","Default Known Flow Node","Known Flow","573606.650000","123087.550000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703464","Nodes","-310263","21.000000","48.149994","Default Known Flow Node","Known Flow","573581.775000","123083.050000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703413","Nodes","9703413","21.000000","48.105089","DDS demands","Known Flow","573618.775000","123172.182812","","0.000000","","","-4.780000","","-4.274362","-4.780000","","","","","D1 PROFILE",""
"96120509703412","Nodes","9703412","21.000000","48.170176","DDS demands","Known Flow","573642.900000","123160.300000","","0.000000","","","-21.519999","","-19.243569","-21.519999","","","","","D1 PROFILE",""
"96120509703469","Nodes","-310270","21.000000","48.334190","Default Known Flow Node","Known Flow","573639.275000","123117.300000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703470","Nodes","-310272","21.000000","48.327451","Default Known Flow Node","Known Flow","573643.400000","123111.432812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703477","Nodes","-310279","21.000000","47.759246","Default Known Flow Node","Known Flow","573670.650000","123464.550000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703481","Nodes","-310283","21.000000","47.885102","Default Known Flow Node","Known Flow","573683.525000","123416.932812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703478","Nodes","-310280","21.000000","47.801192","Default Known Flow Node","Known Flow","573674.900000","123470.800000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703479","Nodes","-310281","21.000000","47.969036","Default Known Flow Node","Known Flow","573676.775000","123367.050000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703471","Nodes","-310273","21.000000","47.801192","Default Known Flow Node","Known Flow","573643.900000","123401.050000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703480","Nodes","-310282","21.000000","47.969036","Default Known Flow Node","Known Flow","573679.650000","123350.550000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703482","Nodes","-310284","21.000000","47.885102","Default Known Flow Node","Known Flow","573685.400000","123386.800000","","0.000000","","","","","0.000000","0.000000","","","","","",""
