"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"96109905706026","Nodes","-352509","21.000000","24.328193","DDS demands","Known Flow","591970.420000","144692.555000","","0.000000","","-3.710000","","-3.317548","-3.710000","","","","D1 PROFILE",""
"96109905706030","Nodes","-352514","21.000000","35.622126","DDS demands","Known Flow","592378.670000","144365.680000","","0.000000","","-4.010000","","-3.585814","-4.010000","","","","D1 PROFILE",""
"96109905706017","Nodes","5706017","21.000000","24.275278","DDS demands","Known Flow","592135.795000","144613.180000","","0.000000","","-12.279999","","-10.980995","-12.279999","","","","D1 PROFILE",""
"96109905706027","Nodes","-352510","21.000000","23.588427","DDS demands","Known Flow","592021.420000","144765.555000","","0.000000","","-12.529999","","-11.204550","-12.529999","","","","D1 PROFILE",""
"96109905706028","Nodes","-352512","21.000000","26.649852","DDS demands","Known Flow","592204.170000","144574.055000","","0.000000","","-4.280000","","-3.827252","-4.280000","","","","D1 PROFILE",""
"96109905706029","Nodes","-352513","21.000000","32.347637","Default Known Flow Node","Known Flow","592350.420000","144546.430000","","0.000000","","","","0.000000","0.000000","","","","",""
"96109905706033","Nodes","-441121","21.000000","34.030219","DDS demands","Known Flow","592441.670000","145427.805000","","0.000000","","-5.800000","","-5.186464","-5.800000","","","","D1 PROFILE",""
"96109905706013","Nodes","5706013","21.000000","34.497839","DDS demands","Known Flow","592526.295000","145383.930000","","0.000000","","-3.670000","","-3.281779","-3.670000","","","","D1 PROFILE",""
"96109905706038","Nodes","-441128","21.000000","34.810288","Default Known Flow Node","Known Flow","592592.670000","145462.180000","","0.000000","","","","0.000000","0.000000","","","","",""
"96109905706039","Nodes","-441129","21.000000","34.810288","Default Known Flow Node","Known Flow","592594.170000","145463.680000","","0.000000","","","","0.000000","0.000000","","","","",""
"96109905706045","Nodes","-441135","21.000000","36.122995","DDS demands","Known Flow","592641.420000","145375.180000","","0.000000","","-4.530000","","-4.050807","-4.530000","","","","D1 PROFILE",""
"96109905706001","Nodes","5706001, ""PLUCKLEY STATION ROAD""","21.000000","38.000000","Default Known Pressure Node","Known Pressure","592720.295000","145221.555000","","5149.999957","","","","183.421958","205.120005","","","","",""
"96109905706032","Nodes","-352518","21.000000","37.956031","Default Known Flow Node","Known Flow","592711.045000","145222.805000","","0.000000","","","","0.000000","0.000000","","","","",""
"96109905706049","Nodes","-441141","21.000000","37.555716","Default Known Flow Node","Known Flow","592706.545000","145268.305000","","0.000000","","","","0.000000","0.000000","","","","",""
"96109905706037","Nodes","-441125","21.000000","34.270560","Default Known Flow Node","Known Flow","592525.045000","145379.555000","","0.000000","","","","0.000000","0.000000","","","","",""
"96109905706050","Nodes","-441753","21.000000","34.834822","Default Known Flow Node","Known Flow","592573.295000","145439.430000","","0.000000","","","","0.000000","0.000000","","","","",""
"96109905706034","Nodes","-441122","21.000000","26.352933","DDS demands","Known Flow","592450.795000","145832.055000","","0.000000","","-6.370000","","-5.696168","-6.370000","","","","D1 PROFILE",""
"96109905706035","Nodes","-441123","21.000000","26.534234","Default Known Flow Node","Known Flow","592496.795000","145801.180000","","0.000000","","","","0.000000","0.000000","","","","",""
"96109905706021","Nodes","5706021","21.000000","30.179834","DDS demands","Known Flow","592723.295000","145594.305000","","0.000000","","-8.050000","","-7.198454","-8.050000","","","","D1 PROFILE",""
"96109905706036","Nodes","-441124","21.000000","26.565143","DDS demands","Known Flow","592501.045000","145789.680000","","0.000000","","-6.320000","","-5.651457","-6.320000","","","","D1 PROFILE",""
"96109905706046","Nodes","-441136","21.000000","30.103233","DDS demands","Known Flow","592652.545000","145572.805000","","0.000000","","-1.919999","","-1.716898","-1.919999","","","","D1 PROFILE",""
