"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96109405601011","Nodes","5601011","21.000000","27.076968","DDS demands","Known Flow","629691.937497","168400.073033","","0.000000","","","","","","","-23.140000","","","","","","-20.692202","-23.140000","","","","","","","","","D1 PROFILE","","","","",""
"96109405608146","Nodes","5608146","21.000000","43.993874","DDS demands","Known Flow","637099.836316","166804.262387","","0.000000","","","","","","","-22.930000","","","","","","-20.504417","-22.930000","","","","","","","","","D1 PROFILE","","","","",""
"96109400025801","Nodes","","21.000000","44.629969","Point Loads","Known Flow","637132.686668","166749.693697","","0.000000","","","","","","","","-12.090000","","","","","-10.811094","-12.090000","","","","","","","","","","DC PROFILE","","","",""
"96109400025087","Nodes","","21.000000","35.620696","Default Known Flow Node","Known Flow","636770.944834","167348.576220","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109405608166","Nodes","5608166","21.000000","35.373331","DDS demands","Known Flow","636810.970541","167284.767800","","0.000000","","","","","","","-23.500000","","","","","","-21.014121","-23.500000","","","","","","","","","D1 PROFILE","","","","",""
"96109400025090","Nodes","","21.000000","35.129423","Default Known Flow Node","Known Flow","636896.435456","167123.892673","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109405608164","Nodes","5608164","21.000000","35.258895","DDS demands","Known Flow","636800.021331","167279.670535","","0.000000","-39.300000","","","","","","-47.290002","","","","","","-77.430333","-86.589998","","","C1 PROFILE","","","","","","D1 PROFILE","","","","",""
"96109400025083","Nodes","","21.000000","35.132982","Default Known Flow Node","Known Flow","636687.442400","167188.822704","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025921","Nodes","","21.000000","35.132982","Default Known Flow Node","Known Flow","636633.781601","167239.305646","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025080","Nodes","","21.000000","35.176153","Default Known Flow Node","Known Flow","636652.663381","167310.922109","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025086","Nodes","","21.000000","35.176210","Default Known Flow Node","Known Flow","636768.478422","167262.292723","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025959","Nodes","","21.000000","35.219378","Default Known Flow Node","Known Flow","636589.202965","167355.336340","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025079","Nodes","","21.000000","35.219378","Default Known Flow Node","Known Flow","636574.138422","167371.296441","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025098","Nodes","","21.000000","35.841155","Default Known Flow Node","Known Flow","637149.224526","167322.552740","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025987","Nodes","","21.000000","35.841155","Default Known Flow Node","Known Flow","637147.479525","167316.946738","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109405608279","Nodes","5608279","21.000000","35.798576","DDS demands","Known Flow","637179.081209","167337.547127","","0.000000","","","","","","","-39.740002","","","","","","-35.536222","-39.740002","","","","","","","","","D1 PROFILE","","","","",""
"96109400025092","Nodes","","21.000000","36.981490","Default Known Flow Node","Known Flow","636909.469996","167002.738775","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400026009","Nodes","","21.000000","36.981490","Default Known Flow Node","Known Flow","636881.334453","167021.371658","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025851","Nodes","","21.000000","35.531481","Default Known Flow Node","Known Flow","636852.044469","167316.349256","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025847","Nodes","","21.000000","35.841607","Default Known Flow Node","Known Flow","636975.697014","167337.071328","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025850","Nodes","","21.000000","35.798469","Default Known Flow Node","Known Flow","636896.471468","167324.827765","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025849","Nodes","","21.000000","35.798469","Default Known Flow Node","Known Flow","636978.383479","167302.921735","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025096","Nodes","","21.000000","35.841607","Default Known Flow Node","Known Flow","636977.889479","167344.443746","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400025097","Nodes","","21.000000","38.116577","Default Known Flow Node","Known Flow","636986.379250","166999.096350","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96109400023500","Nodes","","21.000000","37.367188","Default Known Flow Node","Known Flow","632282.724354","170133.988962","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
