"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"96108105308024","Nodes","5308024","21.000000","43.656291","DDS demands","Known Flow","622041.125531","139484.051848","","0.000000","","","","","-9.310000","","-8.325168","-9.310000","","","","","","","D1 PROFILE",""
"96108105308650","Nodes","5308650","21.000000","29.812748","DDS demands","Known Flow","621106.553162","139722.833230","","0.000000","","","","","-8.609999","","-7.699215","-8.609999","","","","","","","D1 PROFILE",""
"96108100478409","Nodes","478409","21.000000","65.219080","DDS demands","Known Flow","621583.180292","140176.704353","","0.000000","","","","","-6.969999","","-6.232698","-6.969999","","","","","","","D1 PROFILE",""
"96108100005552","Nodes","5552","21.000000","65.578797","Default Known Flow Node","Known Flow","621535.204224","140112.779308","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96108105308013","Nodes","5308013","21.000000","65.632370","DDS demands","Known Flow","621530.201278","140102.776333","","0.000000","","","","","-22.089999","","-19.753273","-22.089999","","","","","","","D1 PROFILE",""
"96108100478445","Nodes","478445","21.000000","54.407556","Default Known Flow Node","Known Flow","622014.452409","140453.677429","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96108100478439","Nodes","478439","21.000000","54.466936","Default Known Flow Node","Known Flow","621995.431295","140428.286537","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96108100478401","Nodes","478401","21.000000","65.787770","DDS demands","Known Flow","621517.896274","140102.320333","","0.000000","","","","","-6.910000","","-6.179045","-6.910000","","","","","","","D1 PROFILE",""
"96108105308001","Nodes","Barnhurst Lane DG, No Clocks/Constant, Site ID 5551","21.000000","67.999998","Default Known Pressure Node","Known Pressure","621448.027255","140080.842327","","3500.000071","","","","","","","1043.726898","1167.195293","","","","","","","",""
"96108100478441","Nodes","478441","21.000000","54.590910","Default Known Flow Node","Known Flow","621998.199405","140607.788471","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96108105308017","Nodes","5308017","21.000000","54.437774","DDS demands","Known Flow","622006.924266","140613.871950","","0.000000","","","","","-16.989999","","-15.192761","-16.989999","","","","","","","D1 PROFILE",""
"96108100478447","Nodes","478447","21.000000","54.322109","DDS demands","Known Flow","622015.851410","140620.096474","","0.000000","","","","","-1.990000","","-1.779493","-1.990000","","","","","","","D1 PROFILE",""
"96108100478830","Nodes","478830","21.000000","59.196883","DDS demands","Known Flow","621370.443234","139992.967303","","0.000000","","","","","-3.130000","","-2.798902","-3.130000","","","","","","","D1 PROFILE",""
"96108105308009","Nodes","5308009","21.000000","59.204901","DDS demands","Known Flow","621379.593969","139994.068759","","0.000000","","","","","-12.170000","","-10.882632","-12.170000","","","","","","","D1 PROFILE",""
"96108100478394","Nodes","478394","21.000000","60.159412","DDS demands","Known Flow","621417.812975","139998.670949","","0.000000","","","","","-11.270000","","-10.077835","-11.270000","","","","","","","D1 PROFILE",""
"96108100478832","Nodes","478832","21.000000","55.497154","DDS demands","Known Flow","621397.239241","139856.156266","","0.000000","","","","","-8.569999","","-7.663447","-8.569999","","","","","","","D1 PROFILE",""
"96108100478833","Nodes","478833","21.000000","55.763525","DDS demands","Known Flow","621397.184241","139915.346282","","0.000000","","","","","-14.060000","","-12.572704","-14.060000","","","","","","","D1 PROFILE",""
"96108100449272","Nodes","449272","21.000000","47.475683","DDS demands","Known Flow","621467.181260","139581.887191","","0.000000","","","","","-2.049999","","-1.833146","-2.049999","","","","","","","D1 PROFILE",""
"96108100449271","Nodes","449271","21.000000","47.424005","DDS demands","Known Flow","621446.161255","139565.810187","","0.000000","","","","","-2.150000","","-1.922568","-2.150000","","","","","","","D1 PROFILE",""
"96108100449273","Nodes","449273","21.000000","47.421835","DDS demands","Known Flow","621471.352262","139561.882186","","0.000000","","","","","-2.450000","","-2.190834","-2.450000","","","","","","","D1 PROFILE",""
"96108100449274","Nodes","449274","21.000000","47.495808","DDS demands","Known Flow","621472.566262","139587.822193","","0.000000","","","","","-1.460000","","-1.305558","-1.460000","","","","","","","D1 PROFILE",""
"96108100449276","Nodes","449276","21.000000","47.496141","Default Known Flow Node","Known Flow","621473.859200","139585.973372","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96108100449278","Nodes","449278","21.000000","47.474245","DDS demands","Known Flow","621487.662266","139596.440195","","0.000000","","","","","-4.309999","","-3.854079","-4.309999","","","","","","","D1 PROFILE",""
"96108100478824","Nodes","478824","21.000000","57.717404","DDS demands","Known Flow","621294.109033","139916.586188","","0.000000","","","","","-8.600000","","-7.690274","-8.600000","","","","","","","D1 PROFILE",""
"96108100478826","Nodes","478826","21.000000","57.717404","Default Known Flow Node","Known Flow","621297.176214","139912.057281","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96108100478829","Nodes","478829","21.000000","57.222465","Default Known Flow Node","Known Flow","621366.456233","139914.784282","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96108100478825","Nodes","478825","21.000000","58.433723","Default Known Flow Node","Known Flow","621294.062213","139985.518301","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96108100478827","Nodes","478827","21.000000","57.717404","Default Known Flow Node","Known Flow","621302.021216","139870.945270","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
