"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"96108900002034","Nodes","","21.000000","23.324470","Default Known Flow Node","Known Flow","612065.307703","161174.696067","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002035","Nodes","","21.000000","23.063566","Default Known Flow Node","Known Flow","612039.182696","161159.571063","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002036","Nodes","","21.000000","23.063566","Default Known Flow Node","Known Flow","612066.182703","161161.196063","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002038","Nodes","","21.000000","29.573831","DDS demands","Known Flow","612293.064765","160651.563925","","0.000000","","","","","-11.910000","","","-10.650135","-11.910000","","","","","","","D1 PROFILE","",""
"96108900002039","Nodes","","21.000000","32.926620","Default Known Flow Node","Known Flow","612294.432765","160811.445968","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002040","Nodes","","21.000000","32.846898","DDS demands","Known Flow","612283.432762","160769.570957","","0.000000","","","-0.600000","","-11.640000","","","-10.945227","-12.240000","","","","","C3 PROFILE","","D1 PROFILE","",""
"96108900002041","Nodes","","21.000000","27.468691","DDS demands","Known Flow","612198.307739","161003.321020","","0.000000","","","","","-11.660000","","","-10.426580","-11.660000","","","","","","","D1 PROFILE","",""
"96108900002049","Nodes","","21.000000","27.897496","Default Known Flow Node","Known Flow","612303.125350","161000.049902","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002043","Nodes","","21.000000","22.944554","Default Known Flow Node","Known Flow","612109.307715","160929.196000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002063","Nodes","","21.000000","22.855924","Default Known Flow Node","Known Flow","612127.057720","160837.695975","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002045","Nodes","","21.000000","29.257482","DDS demands","Known Flow","612256.932755","160595.070909","","0.000000","","","","","-15.630000","","","-13.976626","-15.630000","","","","","","","D1 PROFILE","",""
"96108900002046","Nodes","","21.000000","29.249348","DDS demands","Known Flow","612247.807752","160607.445913","","0.000000","","","","","-12.789999","","","-11.437046","-12.789999","","","","","","","D1 PROFILE","",""
"96108900002047","Nodes","","21.000000","29.468973","Default Known Flow Node","Known Flow","612188.932736","160714.570942","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002052","Nodes","","21.000000","29.468973","Default Known Flow Node","Known Flow","612248.543226","160676.113435","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002059","Nodes","","21.000000","27.907657","Default Known Flow Node","Known Flow","612313.151724","160999.107574","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900002051","Nodes","","21.000000","26.868406","DDS demands","Known Flow","612146.307725","161001.321020","","0.000000","","","","","-12.399999","","","-11.088301","-12.399999","","","","","","","D1 PROFILE","",""
