"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64302300000704","Nodes","-227","21.000000","44.975167","Default Known Flow Node","Known Flow","339958.477662","671936.346050","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000545","Nodes","545","21.000000","45.018116","Default Known Flow Node","Known Flow","339942.493207","671923.074440","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000743","Nodes","-529","21.000000","26.684742","Default Known Flow Node","Known Flow","341182.983995","672369.835167","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300001004","Nodes","Logger 10109, 36 Muirpark Terrace","21.000000","26.597787","Val Log Cath","Known Flow","341168.738628","672362.337606","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000390","Nodes","390","21.000000","26.480812","DDS demands","Known Flow","341149.733986","672351.960163","","0.000000","","","","","","-7.610000","","","","","-6.804998","-7.610000","","","","","","","","D1 PROFILE","","","",""
"64302300000075","Nodes","75","21.000000","29.046151","DDS demands","Known Flow","341054.233960","672966.460330","","0.000000","","","","","","-17.110001","","","","","-15.300069","-17.110001","","","","","","","","D1 PROFILE","","","",""
"64302300001000","Nodes","Logger 10128, 15 Coalgate Rd","21.000000","28.584212","Val Log Cath","Known Flow","341023.861965","673051.958922","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000257","Nodes","257","21.000000","28.423214","DDS demands","Known Flow","341014.358949","673078.710360","","0.000000","","","","","","-12.380000","","","","","-11.070417","-12.380000","","","","","","","","D1 PROFILE","","","",""
"64302300000800","Nodes","-696","21.000000","29.050527","Default Known Flow Node","Known Flow","341229.734007","672771.835277","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300001002","Nodes","1002","21.000000","29.229044","Default Known Flow Node","Known Flow","341241.918471","672739.755428","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000795","Nodes","-678","21.000000","29.396037","Default Known Flow Node","Known Flow","341251.067560","672717.061036","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000541","Nodes","541","21.000000","41.565522","DDS demands","Known Flow","340271.108747","672739.460268","","0.000000","","","","","","-3.690000","","","","","-3.299664","-3.690000","","","","","","","","D1 PROFILE","","","",""
"64302300001001","Nodes","Logger 10309, 59 Meeting House Drive","21.000000","41.594930","Val Log Cath","Known Flow","340242.072861","672728.056735","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000463","Nodes","463","21.000000","44.960894","DDS demands","Known Flow","339965.235663","671975.078060","","0.000000","","","","","","-2.170000","","","","","-1.940452","-2.170000","","","","","","","","D1 PROFILE","","","",""
"64302300000705","Nodes","-293","21.000000","45.595835","Default Known Flow Node","Known Flow","339985.108669","671998.460066","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000706","Nodes","-298","21.000000","45.595835","Default Known Flow Node","Known Flow","339983.483668","672017.085072","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000334","Nodes","334","21.000000","43.904831","DDS demands","Known Flow","339969.733665","672425.710183","","0.000000","","","","","","-12.770000","","","","","-11.419162","-12.770000","","","","","","","","D1 PROFILE","","","",""
"64302300000332","Nodes","332","21.000000","44.559798","DDS demands","Known Flow","339993.358671","672329.210156","","0.000000","","","","","","-6.650000","","","","","-5.946549","-6.650000","","","","","","","","D1 PROFILE","","","",""
"64302300000336","Nodes","336","21.000000","43.625605","DDS demands","Known Flow","339972.858665","672488.335200","","0.000000","","","","","","-8.020000","","","","","-7.171628","-8.020000","","","","","","","","D1 PROFILE","","","",""
"64302300000756","Nodes","-577","21.000000","43.801919","Default Known Flow Node","Known Flow","339968.983664","672453.085190","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000461","Nodes","461","21.000000","47.370724","Default Known Flow Node","Known Flow","339971.608665","672118.210099","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000547","Nodes","547","21.000000","46.161850","DDS demands","Known Flow","339931.733654","672004.085068","","0.000000","","","","","","-2.869999","","","","","-2.566405","-2.869999","","","","","","","","D1 PROFILE","","","",""
"64302300000635","Nodes","-1462603","21.000000","45.595835","Default Known Flow Node","Known Flow","339971.608665","672015.960071","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000610","Nodes","-1462506","21.000000","45.595835","Default Known Flow Node","Known Flow","339991.733671","672017.960072","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000714","Nodes","-393","21.000000","47.380665","Default Known Flow Node","Known Flow","339972.888077","672123.327747","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000375","Nodes","375","21.000000","29.552036","DDS demands","Known Flow","339784.733614","672954.710327","","0.000000","","","","","","-6.730000","","","","","-6.018086","-6.730000","","","","","","","","D1 PROFILE","","","",""
"64302300000374","Nodes","374","21.000000","29.638089","DDS demands","Known Flow","339720.233597","672950.960326","","0.000000","","","","","","-9.750000","","","","","-8.718624","-9.750000","","","","","","","","D1 PROFILE","","","",""
"64302300000819","Nodes","-754","21.000000","30.338158","Default Known Flow Node","Known Flow","339925.496530","672956.960186","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000023","Nodes","23","21.000000","30.338158","DDS demands","Known Flow","339929.234333","672955.838065","","0.000000","","","","","","-16.139999","","","","","-14.432676","-16.139999","","","","","","","","D1 PROFILE","","","",""
"64302300000024","Nodes","24","21.000000","30.323212","DDS demands","Known Flow","339976.108666","672944.210324","","0.000000","","","","","","-18.989999","","","","","-16.981198","-18.989999","","","","","","","","D1 PROFILE","","","",""
"64302300000021","Nodes","21","21.000000","29.899325","DDS demands","Known Flow","339804.358620","672988.210336","","0.000000","","","-1.420000","","","-14.250000","","","","","-14.012395","-15.670000","","","","","C3 PROFILE","","","D1 PROFILE","","","",""
"64302300000824","Nodes","-770","21.000000","29.895846","Default Known Flow Node","Known Flow","339797.358618","672989.835336","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000825","Nodes","-771","21.000000","29.896317","Default Known Flow Node","Known Flow","339803.483619","672993.710337","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000702","Nodes","-1462816","21.000000","29.895846","Default Known Flow Node","Known Flow","339797.358618","672988.335336","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302300000691","Nodes","-1462773","21.000000","29.896317","Default Known Flow Node","Known Flow","339803.233619","672992.210337","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
