"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"64301600000311","Nodes","311","21.000000","35.470445","DDS demands","Known Flow","368369.236392","678512.925839","","0.000000","","","","","-8.699999","","","","-7.779695","-8.699999","","","","","","","D1 PROFILE","","",""
"64301601462538","Nodes","1462538","21.000000","33.659416","DDS demands","Known Flow","368224.831353","678700.648890","","0.000000","","","","","-3.170000","","","","-2.834670","-3.170000","","","","","","","D1 PROFILE","","",""
"64301601462625","Nodes","1462625","21.000000","35.440014","Default Known Flow Node","Known Flow","368336.031383","678521.554841","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64301600000284","Nodes","284","21.000000","31.028519","DDS demands","Known Flow","368357.688389","678562.487853","","0.000000","","-64.999999","","","-15.899999","","","","-72.342227","-80.900001","","","","C2 PROFILE","","","D1 PROFILE","","",""
"64301601462572","Nodes","1462572","21.000000","31.028519","Default Known Flow Node","Known Flow","368361.399390","678573.389856","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64301600000403","Nodes","403","21.000000","31.736732","DDS demands","Known Flow","368891.328518","678422.352882","","0.000000","","","","","-0.739999","","","","-0.661721","-0.739999","","","","","","","D1 PROFILE","","",""
"64301600000404","Nodes","404 - Golf club - 16","21.000000","31.213841","DDS demands","Known Flow","368921.279543","678428.257816","","0.000000","-15.999999","","","","-0.970000","","","","-15.174877","-16.970000","","","C1 PROFILE","","","","D1 PROFILE","","",""
"64301601462582","Nodes","1462582","21.000000","48.911116","Default Known Flow Node","Known Flow","365694.624665","678013.091703","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64301600000075","Nodes","75","21.000000","46.270245","Default Known Flow Node","Known Flow","365715.224670","678121.920733","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64301601462522","Nodes","1462522","21.000000","47.739930","Default Known Flow Node","Known Flow","365536.978622","678121.851733","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
