"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"64305000001005","Nodes","-199571",21.000000,49.619590,"Default Known Flow Node","Known Flow",314221.351658,670050.209536,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000000059","Nodes","Ransfield Farm RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",314222.689659,670045.725535,,499.999994,,,,,,6.858651,7.669999,,"",,,,,
"64305000001018","Nodes","Easter Hatton RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",314189.611650,669067.443269,,499.999994,,,,,,2.155065,2.409999,,"",,,,,
"64305000000005","Nodes","5",21.000000,49.962026,"DDS","Known Flow",314102.444209,669034.817853,,0.000000,,,,-0.049999,,-0.044710,-0.049999,,"",,,,"D1 PROFILE",
"64305000000075","Nodes","75",21.000000,49.861501,"DDS","Known Flow",313961.001587,668985.832247,,0.000000,,,,-2.359999,,-2.110354,-2.359999,,"",,,,"D1 PROFILE",
"64305000001007","Nodes","-2169477",21.000000,26.111532,"Default Known Flow Node","Known Flow",313589.961486,670702.198714,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000001006","Nodes","-2169476",21.000000,26.139306,"Default Known Flow Node","Known Flow",313472.775454,670669.236705,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000000022","Nodes","22",21.000000,25.553385,"DDS","Known Flow",313396.486434,670697.743712,,0.000000,,,,-10.359999,,-9.264096,-10.359999,,"",,,,"D1 PROFILE",
"64305000000024","Nodes","24",21.000000,26.136723,"DDS","Known Flow",313469.840454,670667.336704,,0.000000,,,,-24.169999,,-21.613245,-24.169999,,"",,,,"D1 PROFILE",
"64305000000021","Nodes","P14133902, WILKIESTON ROAD CSEP, 122.40 SCMH",24.000000,24.948670,"CSEP Unmatched","Known Flow",313226.611387,670608.329688,,0.000000,,,,-21.329999,-38.580001,-53.572595,-59.910000,,"",,,,"D1 PROFILE","DC PROFILE"
"64305000000023","Nodes","23",21.000000,25.936381,"DDS","Known Flow",313414.935439,670644.267698,,0.000000,,,,-4.670000,,-4.175997,-4.670000,,"",,,,"D1 PROFILE",
"64305000001008","Nodes","-220750",21.000000,26.007331,"Default Known Flow Node","Known Flow",313475.568455,670662.115703,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000000025","Nodes","25",21.000000,26.623063,"DDS","Known Flow",313522.218908,670598.130588,,0.000000,-3.099999,,,-29.879998,,-29.491305,-32.979998,,"","C1 PROFILE",,,"D1 PROFILE",
"64305000000030","Nodes","30",21.000000,26.818489,"DDS","Known Flow",313540.882580,670535.109981,,0.000000,,,,-27.540000,,-24.626761,-27.540000,,"",,,,"D1 PROFILE",
"64305000001009","Nodes","-220752",21.000000,26.799564,"Default Known Flow Node","Known Flow",313535.601492,670538.380160,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000000029","Nodes","29",21.000000,26.724478,"DDS","Known Flow",313502.404463,670503.617660,,0.000000,,,,-11.449999,,-10.238795,-11.449999,,"",,,,"D1 PROFILE",
"64305000001002","Nodes","1002",21.000000,26.724478,"Default Known Flow Node","Known Flow",313475.203455,670504.661660,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000001010","Nodes","-220753",21.000000,27.625441,"Default Known Flow Node","Known Flow",313570.414084,670611.664185,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000000031","Nodes","31",21.000000,33.432643,"DDS","Known Flow",313883.391566,670628.671694,,0.000000,,,,-7.040000,,-6.295294,-7.040000,,"",,,,"D1 PROFILE",
"64305000000036","Nodes","36",21.000000,32.755979,"DDS","Known Flow",313787.127540,670694.899712,,0.000000,,,,-19.310000,,-17.267347,-19.310000,,"",,,,"D1 PROFILE",
"64305000000066","Nodes","66",21.000000,26.134009,"DDS","Known Flow",313597.277488,670704.821714,,0.000000,,-33.630000,,-15.609999,,-44.031289,-49.240000,,"",,"C2 PROFILE",,"D1 PROFILE",
"64305000001019","Nodes","-963517",21.000000,38.525206,"Default Known Flow Node","Known Flow",313979.956237,670803.440794,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000001000","Nodes","1000",21.000000,38.513449,"Default Known Flow Node","Known Flow",313961.129406,670808.114903,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000000076","Nodes","76",21.000000,38.670419,"Default Known Flow Node","Known Flow",313983.391809,670778.609260,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000000081","Nodes","81",21.000000,38.913214,"Default Known Flow Node","Known Flow",314034.190108,670701.582334,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305000000057","Nodes","57",21.000000,38.942149,"DDS","Known Flow",313994.803408,670752.011540,,0.000000,,,,-27.379998,,-24.483685,-27.379998,,"",,,,"D1 PROFILE",
"64305000000056","Nodes","56",21.000000,39.089351,"DDS","Known Flow",313993.307582,670769.484486,,0.000000,,,,-21.280001,,-19.028959,-21.280001,,"",,,,"D1 PROFILE",
"64305000000054","Nodes","54",21.000000,43.544399,"DDS","Known Flow",314173.476645,670718.853718,,0.000000,,,,-21.219998,,-18.975303,-21.219998,,"",,,,"D1 PROFILE",
