"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"64402900003048","Nodes","-2925874",21.000000,40.609712,"Default Known Flow Node","Known Flow",280386.959723,679783.569539,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900002989","Nodes","-263171",21.000000,23.315979,"Default Known Flow Node","Known Flow",280827.337545,681104.188276,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003093","Nodes","-592865",21.000000,40.517444,"Default Known Flow Node","Known Flow",280407.756327,679730.687981,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003095","Nodes","-593733",21.000000,43.730408,"Default Known Flow Node","Known Flow",280942.592603,680060.337260,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000402","Nodes","402",21.000000,43.730408,"DDS demands","Known Flow",280945.717604,680061.837261,,0.000000,,,,-8.300000,,,,,-7.422008,-8.300000,,"",,,,"D1 PROFILE",,,,
"64402900000093","Nodes","93",21.000000,45.838034,"DDS demands","Known Flow",280920.842597,680055.715259,,0.000000,-4.159999,,-1.860000,-3.640000,,,,,-8.638145,-9.660000,,"","C1 PROFILE",,"C4 PROFILE","D1 PROFILE",,,,
"64402900002992","Nodes","-263186",21.000000,45.121925,"Default Known Flow Node","Known Flow",280926.501598,680045.330256,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900002994","Nodes","-263189",21.000000,44.096942,"Default Known Flow Node","Known Flow",280942.217603,680056.962259,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900002993","Nodes","-263187",21.000000,44.096942,"Default Known Flow Node","Known Flow",280943.217603,680055.087259,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900002998","Nodes","-263203",21.000000,45.972365,"Default Known Flow Node","Known Flow",281086.592642,680302.962326,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003053","Nodes","-454",21.000000,45.887625,"Default Known Flow Node","Known Flow",281121.092651,680260.212315,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003124","Nodes","-594630",21.000000,45.718215,"Default Known Flow Node","Known Flow",281163.217663,680238.337309,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003125","Nodes","-594631",21.000000,45.887625,"Default Known Flow Node","Known Flow",281074.842639,680273.587318,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000151","Nodes","151",21.000000,24.948397,"DDS demands","Known Flow",280911.092594,680814.087465,,0.000000,-7.170000,,,-5.480000,,,,,-11.311856,-12.650000,,"","C1 PROFILE",,,"D1 PROFILE",,,,
"64402900000150","Nodes","150",21.000000,24.816935,"DDS demands","Known Flow",280997.967618,680831.462470,,0.000000,,,,-7.499999,,,,,-6.706634,-7.499999,,"",,,,"D1 PROFILE",,,,
"64402900000534","Nodes","534",21.000000,21.825581,"DDS demands","Known Flow",280887.467588,680578.712401,,0.000000,,,,-1.970000,,,,,-1.761609,-1.970000,,"",,,,"D1 PROFILE",,,,
"64402900000535","Nodes","535",21.000000,21.781242,"Default Known Flow Node","Known Flow",280945.592603,680565.587398,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000224","Nodes","224",21.000000,21.883910,"DDS demands","Known Flow",280691.967534,680600.337407,,0.000000,,,,-8.239999,,,,,-7.368355,-8.239999,,"",,,,"D1 PROFILE",,,,
"64402900000223","Nodes","223",21.000000,22.172636,"DDS demands","Known Flow",280701.217537,680640.087418,,0.000000,,,,-12.749999,,,,,-11.401277,-12.749999,,"",,,,"D1 PROFILE",,,,
"64402900003107","Nodes","-593757",21.000000,24.119991,"Default Known Flow Node","Known Flow",280994.967617,680762.087451,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
