"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64400200001015","Nodes","1015","21.000000","33.496493","Default Known Flow Node","Known Flow","272539.000000","677375.187500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-379","Nodes","-379","21.000000","33.037392","Default Known Flow Node","Known Flow","272588.125000","677358.000000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-861","Nodes","-861","21.000000","37.026219","Default Known Flow Node","Known Flow","271896.000000","678113.125000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200001006","Nodes","1006","21.000000","36.570654","Default Known Flow Node","Known Flow","271882.625000","678181.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-910","Nodes","-910","21.000000","36.558662","Default Known Flow Node","Known Flow","271867.125000","678179.000000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-423","Nodes","-423","21.000000","33.441474","Default Known Flow Node","Known Flow","272255.750000","677408.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200001005","Nodes","1005","21.000000","33.493076","Default Known Flow Node","Known Flow","272258.593750","677409.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000251","Nodes","251","21.000000","34.029436","Default Known Flow Node","Known Flow","272288.250000","677419.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-844","Nodes","-844","21.000000","42.480823","Default Known Flow Node","Known Flow","271476.750000","678090.125000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200001008","Nodes","1008, Logger-9757-30 Parkfoot Street","21.000000","42.272450","Val Log Post","Known Flow","271520.093750","678099.187500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000372","Nodes","372","21.000000","42.097345","DDS demands","Known Flow","271547.625000","678105.000000","0.000000","-6.449999","","","","","-12.319999","","","","","","","","-16.784469","-18.769999","","C1 PROFILE","","","","","D1 PROFILE","","","","","","",""
"64400200000165","Nodes","165","21.000000","37.497125","DDS demands","Known Flow","271851.125000","677694.375000","0.000000","","","","","","-2.779999","","","","","","","","-2.485925","-2.779999","","","","","","","D1 PROFILE","","","","","","",""
"64400200001009","Nodes","881","21.000000","37.896261","Default Known Flow Node","Known Flow","271869.250000","677768.250000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-563","Nodes","-563","21.000000","36.975432","Default Known Flow Node","Known Flow","271918.125000","677636.250000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000330","Nodes","330","21.000000","32.678873","DDS demands","Known Flow","271794.750000","677146.000000","0.000000","","","","","","-11.839999","","","","","","","","-10.587540","-11.839999","","","","","","","D1 PROFILE","","","","","","",""
"64400200001010","Nodes","1010, Logger-9774-7 Kelvin Gardens","21.000000","32.760212","Val Log Post","Known Flow","271825.156250","677151.562500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000329","Nodes","329","21.000000","32.755735","DDS demands","Known Flow","271849.875000","677156.125000","0.000000","","","","","","-10.300000","","","","","","","","-9.210445","-10.300000","","","","","","","D1 PROFILE","","","","","","",""
"644002-1462473","Nodes","-1462473","21.000000","27.580147","Default Known Flow Node","Known Flow","270121.000000","677696.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200001011","Nodes","1011,334403 Self Lay DIY","21.000000","28.401920","CSEP Unmatched","Known Flow","270253.537934","677741.190757","0.000000","","","","","","-0.850000","","","","","-30.500000","","","-28.033731","-31.349999","","","","","","","D1 PROFILE","","","","","PL-AF PROFILE","",""
"64400200000352","Nodes","352","21.000000","28.617068","DDS demands","Known Flow","270285.915770","677749.066447","0.000000","","","","","","-6.880000","","","","","","","","-6.152219","-6.880000","","","","","","","D1 PROFILE","","","","","","",""
"644002-1014","Nodes","-1014","21.000000","34.722585","Default Known Flow Node","Known Flow","272012.918439","677762.316331","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200001013","Nodes","1013, ""322717 PGT"", ""HIGH CRAIGENDS"", 27.78 scmh","30.000000","34.726982","CSEP DDS Matched","Known Flow","272013.531250","677761.625000","0.000000","","","","","","","-26.999998","","","","","","","-24.143882","-26.999998","","","","","","","","DC PROFILE","","","","","",""
"644002-1462904","Nodes","-1462904","21.000000","34.751241","Default Known Flow Node","Known Flow","272015.375000","677759.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000337","Nodes","337","21.000000","34.699296","DDS demands","Known Flow","272008.000000","677767.750000","0.000000","-44.720001","","","","","-12.910000","","","","","","","","-51.533780","-57.630001","","C1 PROFILE","","","","","D1 PROFILE","","","","","","",""
"644002-889","Nodes","-889","21.000000","34.780604","Default Known Flow Node","Known Flow","272361.125000","678149.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200001016","Nodes","1016, P10124961, Stirling road, -36.65 SCMHS","24.000000","34.568977","CSEP Unmatched","Known Flow","272389.906250","678151.125000","0.000000","","","","","","","","","","","","-36.650000","","-32.773087","-36.650000","","","","","","","","","","","","","PL-DC PROFILE",""
"64400200001029","Nodes","1029","21.000000","34.568315","Default Known Flow Node","Known Flow","272390.093750","678151.125000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000853","Nodes","853","21.000000","34.297690","DDS demands","Known Flow","272491.875000","678155.875000","0.000000","","","","","","-1.249999","","","","-24.999999","","","","-23.473219","-26.249999","","","","","","","D1 PROFILE","","","","I2 PROFILE","","",""
"644002-828","Nodes","-828","21.000000","41.927910","Default Known Flow Node","Known Flow","271696.000000","678049.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200001022","Nodes","1022","21.000000","41.874005","Default Known Flow Node","Known Flow","271698.843750","678050.062500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-820","Nodes","-820","21.000000","41.565411","Default Known Flow Node","Known Flow","271710.375000","678033.125000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000970","Nodes","970","21.000000","41.725772","Default Known Flow Node","Known Flow","271691.375000","678062.375000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200001021","Nodes","1021","21.000000","41.031961","Default Known Flow Node","Known Flow","271705.812500","678066.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-836","Nodes","-836","21.000000","40.224664","Default Known Flow Node","Known Flow","271723.000000","678069.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000642","Nodes","642","21.000000","32.451035","DDS demands","Known Flow","271959.750000","677298.625000","0.000000","","","","","","-12.930000","","","","","","","","-11.562238","-12.930000","","","","","","","D1 PROFILE","","","","","","",""
"64400200000194","Nodes","194","21.000000","32.448329","DDS demands","Known Flow","271962.500000","677299.562500","0.000000","","","","","","-2.200000","","","","","","","","-1.967279","-2.200000","","","","","","","D1 PROFILE","","","","","","",""
"644002-351","Nodes","-351","21.000000","32.446654","Default Known Flow Node","Known Flow","271964.500000","677300.250000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000249","Nodes","249","21.000000","31.907999","DDS demands","Known Flow","272130.375000","677475.500000","0.000000","-1.739999","","","","","-22.590000","","","","","","","","-21.756322","-24.329999","","C1 PROFILE","","","","","D1 PROFILE","","","","","","",""
"64400200000545","Nodes","545","21.000000","32.004603","Default Known Flow Node","Known Flow","272137.218750","677470.187500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"644002-435","Nodes","-435","21.000000","32.476907","Default Known Flow Node","Known Flow","272178.250000","677438.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200000140","Nodes","140","21.000000","43.317110","DDS demands","Known Flow","270928.375000","677945.250000","0.000000","","","","","","-18.299999","","","","","","","","-16.364187","-18.299999","","","","","","","D1 PROFILE","","","","","","",""
"64400200001014","Nodes","1014","21.000000","43.317640","Default Known Flow Node","Known Flow","270931.625000","677939.812500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64400200001017","Nodes","1017","21.000000","43.316715","Default Known Flow Node","Known Flow","270932.968750","677937.562500","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
