"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64303800000058","Nodes","58",21.000000,22.595493,"DDS demands","Known Flow",289946.092328,666481.998123,,0.000000,,,,-11.620000,,,,,,,-10.390811,-11.620000,,"",,,,"D1 PROFILE",,,,,,
"64303801462503","Nodes","-1462503",21.000000,27.989265,"Default Known Flow Node","Known Flow",290277.596685,667249.507521,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303800001005","Nodes",,21.000000,23.270558,"Default Known Flow Node","Known Flow",289131.764831,666872.822672,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303800000060","Nodes","60",21.000000,23.199727,"DDS demands","Known Flow",289132.258581,666875.646115,,0.000000,,,,-17.799998,,,,,,,-15.917077,-17.799998,,"",,,,"D1 PROFILE",,,,,,
"64303800000123","Nodes","123",21.000000,39.911266,"DDS demands","Known Flow",289221.530855,667093.494732,,0.000000,-11.830000,,-3.280000,-19.680000,,,,,,,-31.109842,-34.790002,,"","C1 PROFILE",,"C4 PROFILE","D1 PROFILE",,,,,,
"64303800001006","Nodes","1006, P07112064, Blackridge Farm Site, -42scm/h",22.999998,24.911378,"CSEP DDS Matched","Known Flow",289322.305883,667205.831762,,0.000000,,,,,-20.549999,,,,,,-18.376177,-20.549999,,"",,,,,"DC PROFILE",,,,,
"64303800000021","Nodes","21",21.000000,24.873773,"DDS demands","Known Flow",288798.134589,667207.888021,,0.000000,,,,-11.539999,,,,-6.000000,,,-15.684582,-17.540000,,"",,,,"D1 PROFILE",,,,"I2 PROFILE",,
"64303800000022","Nodes","-22",21.000000,23.782903,"DDS demands","Known Flow",288995.068794,666855.060667,,0.000000,,,,-13.290000,,,,,,,-11.884156,-13.290000,,"",,,,"D1 PROFILE",,,,,,
"64303800000143","Nodes","143",21.000000,23.619530,"DDS demands","Known Flow",289009.109798,666879.595674,,0.000000,,,,-2.900000,,,,,,,-2.593232,-2.900000,,"",,,,"D1 PROFILE",,,,,,
"64303800000057","Nodes","57",21.000000,23.242208,"DDS demands","Known Flow",290021.595850,666492.438396,,0.000000,,,,-19.810000,,,,,,,-17.714457,-19.810000,,"",,,,"D1 PROFILE",,,,,,
