"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)"
"64400401463479","Nodes","1463479",21.000000,37.670817,"Default Known Flow Node","Known Flow",293851.096115,681549.087665,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001348","Nodes","P09121368, CSEP, CRAIGLEITH RD, -24.37 SCMH",24.000000,34.293886,"CSEP DDS Matched","Known Flow",292742.425819,680516.820337,,0.000000,,,,,,,-24.370001,,,,,-21.792091,-24.370001,,"",,,,,,,"DC PROFILE",,,,
"64400401000982","Nodes","1000982",21.000000,32.405924,"DDS demands","Known Flow",291346.345434,682244.712855,,0.000000,,,,,,-16.360000,,,,,,-14.629405,-16.360000,,"",,,,,,"D1 PROFILE",,,,,
"64400400001002","Nodes","1002",21.000000,30.491845,"DDS demands","Known Flow",292919.720862,680106.212273,,0.000000,,,,,,-12.629999,,,,,,-11.293971,-12.629999,,"",,,,,,"D1 PROFILE",,,,,
"64400400001119","Nodes",,21.000000,32.513123,"Default Known Flow Node","Known Flow",292905.002439,680154.147448,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001001","Nodes","1001",21.000000,33.654402,"DDS demands","Known Flow",292904.470858,680193.712296,,0.000000,,,,,,-12.610000,,,,,,-11.276088,-12.610000,,"",,,,,,"D1 PROFILE",,,,,
"64400400000026","Nodes","26",21.000000,32.243338,"DDS demands","Known Flow",291266.095412,682230.212851,,0.000000,,,,,,-13.470000,,,,,,-12.045115,-13.470000,,"",,,,,,"D1 PROFILE",,,,,
"64400400001118","Nodes","Logger 10256, 40 Don Street",21.000000,32.463768,"Val Log Post","Known Flow",291277.690298,682197.021293,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400095010","Nodes","95010",21.000000,33.101017,"Default Known Flow Node","Known Flow",291294.839018,682097.083546,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000519","Nodes","519",21.000000,31.986108,"DDS demands","Known Flow",293391.845990,680167.837289,,0.000000,,,,,,-11.579999,,,,,,-10.355043,-11.579999,,"",,,,,,"D1 PROFILE",,,,,
"64400400001117","Nodes","Logger 10257 9 Cuillin Place",21.000000,31.974556,"Val Log Cath","Known Flow",293437.251638,680125.767742,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000520","Nodes","520",21.000000,31.969405,"DDS demands","Known Flow",293456.721008,680106.212273,,0.000000,,,,,,-9.409999,,,,,,-8.414590,-9.409999,,"",,,,,,"D1 PROFILE",,,,,
"64400400060110","Nodes","60110",21.000000,26.280808,"Default Known Flow Node","Known Flow",292289.992794,680873.346791,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400001116","Nodes",,21.000000,26.238489,"Default Known Flow Node","Known Flow",292298.275851,680860.847239,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000262","Nodes",,21.000000,26.135320,"DDS demands","Known Flow",292318.804441,680830.609043,,0.000000,-2.079999,,,,,-30.870000,,,,,,-29.464480,-32.950000,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
"64400400000175","Nodes","175",21.000000,25.818739,"DDS demands","Known Flow",293309.845968,681630.462687,,0.000000,,,,,,-29.340001,,,,,,-26.236353,-29.340001,,"",,,,,,"D1 PROFILE",,,,,
"64400400001114","Nodes",,21.000000,25.665903,"Default Known Flow Node","Known Flow",293366.293455,681639.296949,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000179","Nodes","179",21.000000,25.553196,"DDS demands","Known Flow",293393.595991,681635.337689,,0.000000,,,,,,-11.039999,,,,,,-9.872165,-11.039999,,"",,,,,,"D1 PROFILE",,,,,
"64400400000728","Nodes","728",21.000000,34.333047,"DDS demands","Known Flow",292651.643789,680495.624379,,0.000000,-1.529999,,,,,-23.649999,,,,,,-22.516406,-25.179999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
"64400400068110","Nodes","68110",21.000000,28.773189,"Default Known Flow Node","Known Flow",292222.333672,681134.715552,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000628","Nodes","628",21.000000,28.773189,"Default Known Flow Node","Known Flow",292068.032640,681182.643070,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000021","Nodes","21",21.000000,28.773189,"Default Known Flow Node","Known Flow",292052.258626,681167.725561,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64400400000695","Nodes",,21.000000,25.748132,"DDS demands","Known Flow",292920.095862,681767.212725,,0.000000,-5.050000,,,,,-6.630000,,,,,,-10.444465,-11.679999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
"64400400001061","Nodes","Logger 10028, 2 Abbotts Road",21.000000,25.838365,"Val Log Post","Known Flow",292943.540997,681850.584016,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
