"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"64300800000570","Nodes","570","21.000000","24.869299","DDS demands","Known Flow","335385.232417","670746.959726","","0.000000","","","-22.980000","","","-1.249999","","","","","","","","-21.666898","-24.230000","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","",""
"64300800020199","Nodes","-452","21.000000","24.869299","Default Known Flow Node","Known Flow","335402.232422","670758.084729","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"64300800000815","Nodes","815","21.000000","32.801386","Default Known Flow Node","Known Flow","335966.482575","672745.960270","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"64300800000004","Nodes","4","21.000000","32.901126","Default Known Flow Node","Known Flow","335962.339729","672743.010061","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"64300800020191","Nodes","Pinkie Brae DG, Clocked, Site ID 5741","21.000000","32.999999","Default Known Pressure Node","Known Pressure","335958.232573","672740.085268","","1699.239931","","","","","","","","","","","","","","922.241295","1031.338433","","","","","","","","","","","","","","",""
"64300800020160","Nodes","Bogpark Road RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","333289.106847","672630.460238","","499.999994","","","","","","","","","","","","","","11.061474","12.369999","","","","","","","","","","","","","","",""
"64300800002000","Nodes","2000","21.000000","49.940750","DDS demands","Known Flow","333281.639817","672633.478825","","0.000000","","","","","","","","","","-8.239999","","","","-7.368355","-8.239999","","","","","","","","","","","","I2 PROFILE","","",""
"64300800000684","Nodes","684","21.000000","49.935416","Default Known Flow Node","Known Flow","333277.356843","672635.210240","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"64300800000812","Nodes","812","21.000000","32.818178","Default Known Flow Node","Known Flow","336163.357629","672859.335301","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"64300800001143","Nodes","1143","21.000000","32.649446","Default Known Flow Node","Known Flow","336061.417355","672867.902613","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"64300800000809","Nodes","809,","21.000000","32.650155","DDS demands","Known Flow","336038.357595","672868.585303","","0.000000","","","","-3.119999","","-28.589999","","","","-0.239999","","","","-28.570260","-31.949999","","","","","","C4 PROFILE","","D1 PROFILE","","","","I2 PROFILE","","",""
