"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64304800000083","Nodes","83",21.000000,26.411045,"DDS demands","Known Flow",333562.970921,637954.999803,,0.000000,,,,,-10.260000,,,,,,-9.174676,-10.260000,,"",,,,,"D1 PROFILE",,,,,
"64304800000087","Nodes","87",21.000000,21.598148,"DDS demands","Known Flow",332736.918696,636547.274420,,0.000000,,,,,-7.450000,,,,,,-6.661923,-7.450000,,"",,,,,"D1 PROFILE",,,,,
"64304800000371","Nodes","371",21.000000,28.977054,"Default Known Flow Node","Known Flow",333232.120831,636764.112479,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304800000284","Nodes","284",21.000000,28.992549,"DDS demands","Known Flow",333518.689909,636890.395513,,0.000000,,,,,-11.360000,,,,,,-10.158315,-11.360000,,"",,,,,"D1 PROFILE",,,,,
"64304800000285","Nodes","285",21.000000,28.007508,"DDS demands","Known Flow",333595.543930,636903.261517,,0.000000,,,,,-9.509999,,,,,,-8.504012,-9.509999,,"",,,,,"D1 PROFILE",,,,,
"64304800000289","Nodes","289",21.000000,27.687839,"DDS demands","Known Flow",333644.938944,636945.511528,,0.000000,,,,,-16.889998,,,,,,-15.103339,-16.889998,,"",,,,,"D1 PROFILE",,,,,
"64304800004758","Nodes","4758",21.000000,28.052031,"Default Known Flow Node","Known Flow",333586.232928,636925.883523,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304800004761","Nodes","4761",21.000000,28.903589,"Default Known Flow Node","Known Flow",333539.586915,636922.516522,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304800000375","Nodes","375",21.000000,24.667701,"Default Known Flow Node","Known Flow",333691.211956,636740.541472,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304800004756","Nodes","4756",21.000000,24.667701,"Default Known Flow Node","Known Flow",333675.716952,636726.059469,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304800000326","Nodes","326",21.000000,24.526771,"DDS demands","Known Flow",333650.785945,636775.104482,,0.000000,,,,,-6.429999,,,,,,-5.749820,-6.429999,,"",,,,,"D1 PROFILE",,,,,
"64304800000382","Nodes","382",21.000000,22.233456,"DDS demands","Known Flow",333164.442813,636238.308336,,0.000000,,,,,-4.460000,,,,,,-3.988211,-4.460000,,"",,,,,"D1 PROFILE",,,,,
"64304800000385","Nodes","385",21.000000,22.170670,"DDS demands","Known Flow",333218.360827,636195.726324,,0.000000,,,,,-12.979999,,,,,,-11.606948,-12.979999,,"",,,,,"D1 PROFILE",,,,,
"64304800000384","Nodes","384",21.000000,22.233456,"Default Known Flow Node","Known Flow",333143.890807,636241.466337,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304800004768","Nodes","4768",21.000000,29.934875,"Default Known Flow Node","Known Flow",333470.474896,636786.710485,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304800004772","Nodes","4772",21.000000,29.205547,"Default Known Flow Node","Known Flow",333535.098914,636838.145499,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304800004762","Nodes","4762",21.000000,29.249995,"Default Known Flow Node","Known Flow",333516.966909,636856.131504,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
