"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"64402800000482","Nodes","482","21.000000","29.670345","Default Known Flow Node","Known Flow","279396.378182","678520.939841","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001007","Nodes","1007","21.000000","29.749021","DDS demands","Known Flow","279470.954262","678559.853138","","0.000000","","","","","","","-11.490000","","","","-10.274563","-11.490000","","","","","","","","","D1 PROFILE","","",""
"64402800000043","Nodes","43","21.000000","39.350672","DDS demands","Known Flow","281938.511874","680412.870356","","0.000000","","","","","","","-9.699999","","","","-8.673912","-9.699999","","","","","","","","","D1 PROFILE","","",""
"64402800001045","Nodes","1045","21.000000","39.298192","DDS demands","Known Flow","281951.688127","680409.915230","","0.000000","","","","","","","-13.919999","","","","-12.447512","-13.919999","","","","","","","","","D1 PROFILE","","",""
"64402800000616","Nodes","616","21.000000","39.024251","DDS demands","Known Flow","282073.282910","680390.337350","","0.000000","","","","","","","-0.899999","","","","-0.804796","-0.899999","","","","","","","","","D1 PROFILE","","",""
"64402800001041","Nodes","1041","21.000000","38.449442","Default Known Flow Node","Known Flow","282003.092891","680235.712308","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001044","Nodes","1044","21.000000","38.133192","DDS demands","Known Flow","282053.217905","680270.962317","","0.000000","","","","","","","-6.000000","","","","-5.365307","-6.000000","","","","","","","","","D1 PROFILE","","",""
"64402800001042","Nodes","1042","21.000000","38.451698","DDS demands","Known Flow","281995.107312","680237.890193","","0.000000","","","","","","","-0.999999","","","","-0.894217","-0.999999","","","","","","","","","D1 PROFILE","","",""
"64402800001043","Nodes","1043","21.000000","37.423798","DDS demands","Known Flow","281989.092887","680280.462320","","0.000000","","","","","","","-17.809999","","","","-15.926020","-17.809999","","","","","","","","","D1 PROFILE","","",""
"64402800001035","Nodes","1035","21.000000","32.159619","Default Known Flow Node","Known Flow","280892.807108","679077.458388","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001033","Nodes","1033","21.000000","32.333024","Default Known Flow Node","Known Flow","281056.209377","679179.801968","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001008","Nodes","1008","21.000000","32.166410","Default Known Flow Node","Known Flow","280918.627596","679091.243996","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800000207","Nodes","207","21.000000","32.337624","DDS demands","Known Flow","281059.756822","679182.849982","","0.000000","","","","","","","-0.550000","","","","-0.491819","-0.550000","","","","","","","","","D1 PROFILE","","",""
"64402800001028","Nodes","1028","21.000000","33.708727","Default Known Flow Node","Known Flow","281551.203373","679420.881116","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001031","Nodes","1031","21.000000","33.707914","Default Known Flow Node","Known Flow","281549.717768","679420.087086","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001023","Nodes","1023","21.000000","34.991020","Default Known Flow Node","Known Flow","282298.717972","679721.712168","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001024","Nodes","1024","21.000000","34.991020","Default Known Flow Node","Known Flow","282306.842974","679701.337162","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800000613","Nodes","613","21.000000","34.991020","Default Known Flow Node","Known Flow","282293.092970","679717.087167","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800000612","Nodes","612","21.000000","34.947902","DDS demands","Known Flow","282288.092969","679741.337173","","0.000000","-0.990000","","","","","","","","","-14.049999","-13.449037","-15.039999","","","C1 PROFILE","","","","","","","","","I2 PROFILE"
"64402800001019","Nodes","1019","21.000000","34.948317","DDS demands","Known Flow","283300.968244","680723.212441","","0.000000","","","","","","","-10.150000","","","","-9.076311","-10.150000","","","","","","","","","D1 PROFILE","","",""
"64402800001022","Nodes","1022","21.000000","34.862291","Default Known Flow Node","Known Flow","283323.093250","680750.462448","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001020","Nodes","1020","21.000000","34.994755","DDS demands","Known Flow","283335.593254","680707.962436","","0.000000","","","","","","","-9.699999","","","","-8.673912","-9.699999","","","","","","","","","D1 PROFILE","","",""
"64402800001021","Nodes","1021","21.000000","34.908717","Default Known Flow Node","Known Flow","283347.343257","680740.212445","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800000141","Nodes","141","21.000000","35.057949","DDS demands","Known Flow","283363.196257","680655.527676","","0.000000","","-105.859999","","","","","-9.899999","","","","-103.514667","-115.760000","","","","C2 PROFILE","","","","","D1 PROFILE","","",""
"64402800000139","Nodes","139","21.000000","34.840945","DDS demands","Known Flow","283195.338173","680699.220643","","0.000000","","","","","","","-7.999999","","","","-7.153743","-7.999999","","","","","","","","","D1 PROFILE","","",""
"64402800001017","Nodes","1017","21.000000","34.013043","Default Known Flow Node","Known Flow","283242.218228","680782.212457","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001018","Nodes","1018","21.000000","33.927070","Default Known Flow Node","Known Flow","283212.218220","680784.337457","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001015","Nodes","1015","21.000000","34.099036","DDS demands","Known Flow","283215.218221","680762.837451","","0.000000","","","","","","","-6.989999","","","","-6.250582","-6.989999","","","","","","","","","D1 PROFILE","","",""
"64402800001013","Nodes","1013","21.000000","34.013043","Default Known Flow Node","Known Flow","283264.593235","680788.962458","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001016","Nodes","1016","21.000000","34.314124","Default Known Flow Node","Known Flow","283235.218227","680730.712443","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64402800001011","Nodes","1011","21.000000","34.529089","DDS demands","Known Flow","283198.593217","680721.462440","","0.000000","","","","","","","-10.399999","","","","-9.299865","-10.399999","","","","","","","","","D1 PROFILE","","",""
"64402800001014","Nodes","1014","21.000000","34.227995","Default Known Flow Node","Known Flow","283188.843214","680750.587448","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
